Nov. 16, 2023   13:57:53
Cyclic Voltammetry
File: c:\users\pku\desktop\zqm\mor.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.2
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.433V
ip = 1.812e-6A
Ah = 1.165e-6C

Ep = -0.191V
ip = 9.355e-7A
Ah = 7.972e-7C

Segment 2:
Ep = -0.172V
ip = -1.908e-8A
Ah = -2.588e-8C

Ep = 0.482V
ip = -4.214e-6A
Ah = -2.904e-6C

Segment 3:
Ep = 0.430V
ip = 2.069e-6A
Ah = 1.469e-6C

Ep = -0.194V
ip = 8.781e-7A
Ah = 7.736e-7C

Segment 4:
Ep = 0.486V
ip = -4.038e-6A
Ah = -2.612e-6C

Segment 5:
Ep = 0.430V
ip = 2.061e-6A
Ah = 1.470e-6C

Ep = -0.194V
ip = 8.498e-7A
Ah = 7.482e-7C

Segment 6:
Ep = -0.175V
ip = -3.230e-9A
Ah = -1.697e-8C

Ep = 0.485V
ip = -4.036e-6A
Ah = -2.478e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 1.951e-7, 1.951e-9
0.648, 2.275e-7, 4.225e-9
0.647, 2.462e-7, 6.688e-9
0.646, 2.489e-7, 9.176e-9
0.645, 2.754e-7, 1.193e-8
0.644, 2.835e-7, 1.476e-8
0.643, 2.939e-7, 1.770e-8
0.642, 2.942e-7, 2.065e-8
0.641, 2.996e-7, 2.364e-8
0.640, 2.990e-7, 2.663e-8
0.639, 3.146e-7, 2.978e-8
0.638, 3.179e-7, 3.296e-8
0.637, 3.370e-7, 3.633e-8
0.636, 3.373e-7, 3.970e-8
0.635, 3.431e-7, 4.313e-8
0.634, 3.428e-7, 4.656e-8
0.633, 3.449e-7, 5.001e-8
0.632, 3.456e-7, 5.346e-8
0.631, 3.552e-7, 5.702e-8
0.630, 3.567e-7, 6.058e-8
0.629, 3.772e-7, 6.435e-8
0.628, 3.722e-7, 6.808e-8
0.627, 3.888e-7, 7.196e-8
0.626, 3.878e-7, 7.584e-8
0.625, 3.925e-7, 7.977e-8
0.624, 3.919e-7, 8.369e-8
0.623, 3.957e-7, 8.764e-8
0.622, 3.955e-7, 9.160e-8
0.621, 4.083e-7, 9.568e-8
0.620, 4.074e-7, 9.976e-8
0.619, 4.297e-7, 1.041e-7
0.618, 4.288e-7, 1.083e-7
0.617, 4.387e-7, 1.127e-7
0.616, 4.391e-7, 1.171e-7
0.615, 4.414e-7, 1.215e-7
0.614, 4.399e-7, 1.259e-7
0.613, 4.442e-7, 1.304e-7
0.612, 4.442e-7, 1.348e-7
0.611, 4.620e-7, 1.394e-7
0.610, 4.571e-7, 1.440e-7
0.609, 4.811e-7, 1.488e-7
0.608, 4.778e-7, 1.536e-7
0.607, 4.882e-7, 1.585e-7
0.606, 4.888e-7, 1.634e-7
0.605, 4.912e-7, 1.683e-7
0.604, 4.905e-7, 1.732e-7
0.603, 5.016e-7, 1.782e-7
0.602, 4.986e-7, 1.832e-7
0.601, 5.213e-7, 1.884e-7
0.600, 5.231e-7, 1.936e-7
0.599, 5.368e-7, 1.990e-7
0.598, 5.364e-7, 2.044e-7
0.597, 5.391e-7, 2.098e-7
0.596, 5.388e-7, 2.151e-7
0.595, 5.458e-7, 2.206e-7
0.594, 5.460e-7, 2.261e-7
0.593, 5.697e-7, 2.318e-7
0.592, 5.693e-7, 2.374e-7
0.591, 5.846e-7, 2.433e-7
0.590, 5.858e-7, 2.492e-7
0.589, 5.889e-7, 2.550e-7
0.588, 5.885e-7, 2.609e-7
0.587, 6.044e-7, 2.670e-7
0.586, 6.040e-7, 2.730e-7
0.585, 6.292e-7, 2.793e-7
0.584, 6.305e-7, 2.856e-7
0.583, 6.362e-7, 2.920e-7
0.582, 6.365e-7, 2.983e-7
0.581, 6.449e-7, 3.048e-7
0.580, 6.460e-7, 3.112e-7
0.579, 6.726e-7, 3.180e-7
0.578, 6.742e-7, 3.247e-7
0.577, 6.845e-7, 3.316e-7
0.576, 6.849e-7, 3.384e-7
0.575, 6.898e-7, 3.453e-7
0.574, 6.924e-7, 3.522e-7
0.573, 7.158e-7, 3.594e-7
0.572, 7.217e-7, 3.666e-7
0.571, 7.333e-7, 3.739e-7
0.570, 7.336e-7, 3.813e-7
0.569, 7.381e-7, 3.887e-7
0.568, 7.430e-7, 3.961e-7
0.567, 7.677e-7, 4.038e-7
0.566, 7.734e-7, 4.115e-7
0.565, 7.830e-7, 4.193e-7
0.564, 7.833e-7, 4.272e-7
0.563, 8.024e-7, 4.352e-7
0.562, 8.060e-7, 4.432e-7
0.561, 8.293e-7, 4.515e-7
0.560, 8.306e-7, 4.598e-7
0.559, 8.356e-7, 4.682e-7
0.558, 8.412e-7, 4.766e-7
0.557, 8.700e-7, 4.853e-7
0.556, 8.749e-7, 4.941e-7
0.555, 8.810e-7, 5.029e-7
0.554, 8.814e-7, 5.117e-7
0.553, 9.035e-7, 5.207e-7
0.552, 9.151e-7, 5.299e-7
0.551, 9.287e-7, 5.392e-7
0.550, 9.296e-7, 5.485e-7
0.549, 9.441e-7, 5.579e-7
0.548, 9.531e-7, 5.674e-7
0.547, 9.764e-7, 5.772e-7
0.546, 9.781e-7, 5.870e-7
0.545, 9.957e-7, 5.969e-7
0.544, 1.008e-6, 6.070e-7
0.543, 1.026e-6, 6.173e-7
0.542, 1.027e-6, 6.275e-7
0.541, 1.045e-6, 6.380e-7
0.540, 1.060e-6, 6.486e-7
0.539, 1.076e-6, 6.593e-7
0.538, 1.077e-6, 6.701e-7
0.537, 1.099e-6, 6.811e-7
0.536, 1.116e-6, 6.923e-7
0.535, 1.125e-6, 7.035e-7
0.534, 1.128e-6, 7.148e-7
0.533, 1.160e-6, 7.264e-7
0.532, 1.171e-6, 7.381e-7
0.531, 1.181e-6, 7.499e-7
0.530, 1.194e-6, 7.619e-7
0.529, 1.221e-6, 7.741e-7
0.528, 1.223e-6, 7.863e-7
0.527, 1.245e-6, 7.987e-7
0.526, 1.266e-6, 8.114e-7
0.525, 1.274e-6, 8.241e-7
0.524, 1.283e-6, 8.370e-7
0.523, 1.318e-6, 8.502e-7
0.522, 1.320e-6, 8.634e-7
0.521, 1.337e-6, 8.767e-7
0.520, 1.361e-6, 8.903e-7
0.519, 1.374e-6, 9.041e-7
0.518, 1.389e-6, 9.180e-7
0.517, 1.417e-6, 9.321e-7
0.516, 1.426e-6, 9.464e-7
0.515, 1.464e-6, 9.610e-7
0.514, 1.473e-6, 9.758e-7
0.513, 1.512e-6, 9.909e-7
0.512, 1.517e-6, 1.006e-6
0.511, 1.548e-6, 1.022e-6
0.510, 1.563e-6, 1.037e-6
0.509, 1.580e-6, 1.053e-6
0.508, 1.606e-6, 1.069e-6
0.507, 1.621e-6, 1.085e-6
0.506, 1.644e-6, 1.102e-6
0.505, 1.662e-6, 1.118e-6
0.504, 1.674e-6, 1.135e-6
0.503, 1.708e-6, 1.152e-6
0.502, 1.714e-6, 1.169e-6
0.501, 1.753e-6, 1.187e-6
0.500, 1.760e-6, 1.204e-6
0.499, 1.794e-6, 1.222e-6
0.498, 1.808e-6, 1.240e-6
0.497, 1.839e-6, 1.259e-6
0.496, 1.856e-6, 1.277e-6
0.495, 1.878e-6, 1.296e-6
0.494, 1.903e-6, 1.315e-6
0.493, 1.921e-6, 1.334e-6
0.492, 1.947e-6, 1.354e-6
0.491, 1.968e-6, 1.374e-6
0.490, 1.996e-6, 1.393e-6
0.489, 2.015e-6, 1.414e-6
0.488, 2.047e-6, 1.434e-6
0.487, 2.061e-6, 1.455e-6
0.486, 2.091e-6, 1.476e-6
0.485, 2.109e-6, 1.497e-6
0.484, 2.141e-6, 1.518e-6
0.483, 2.161e-6, 1.540e-6
0.482, 2.191e-6, 1.562e-6
0.481, 2.212e-6, 1.584e-6
0.480, 2.242e-6, 1.606e-6
0.479, 2.260e-6, 1.629e-6
0.478, 2.293e-6, 1.652e-6
0.477, 2.314e-6, 1.675e-6
0.476, 2.343e-6, 1.698e-6
0.475, 2.368e-6, 1.722e-6
0.474, 2.392e-6, 1.746e-6
0.473, 2.425e-6, 1.770e-6
0.472, 2.443e-6, 1.795e-6
0.471, 2.476e-6, 1.819e-6
0.470, 2.492e-6, 1.844e-6
0.469, 2.524e-6, 1.869e-6
0.468, 2.541e-6, 1.895e-6
0.467, 2.580e-6, 1.921e-6
0.466, 2.591e-6, 1.947e-6
0.465, 2.634e-6, 1.973e-6
0.464, 2.641e-6, 1.999e-6
0.463, 2.681e-6, 2.026e-6
0.462, 2.690e-6, 2.053e-6
0.461, 2.732e-6, 2.080e-6
0.460, 2.742e-6, 2.108e-6
0.459, 2.783e-6, 2.136e-6
0.458, 2.792e-6, 2.164e-6
0.457, 2.832e-6, 2.192e-6
0.456, 2.839e-6, 2.220e-6
0.455, 2.879e-6, 2.249e-6
0.454, 2.884e-6, 2.278e-6
0.453, 2.920e-6, 2.307e-6
0.452, 2.932e-6, 2.336e-6
0.451, 2.965e-6, 2.366e-6
0.450, 2.979e-6, 2.396e-6
0.449, 3.009e-6, 2.426e-6
0.448, 3.025e-6, 2.456e-6
0.447, 3.033e-6, 2.486e-6
0.446, 3.053e-6, 2.517e-6
0.445, 3.076e-6, 2.548e-6
0.444, 3.078e-6, 2.579e-6
0.443, 3.101e-6, 2.610e-6
0.442, 3.114e-6, 2.641e-6
0.441, 3.126e-6, 2.672e-6
0.440, 3.127e-6, 2.703e-6
