Nov. 16, 2023   13:43:32
Cyclic Voltammetry
File: c:\users\pku\desktop\zqm\o2 jingzhi.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.2
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.356V
ip = 1.280e-5A
Ah = 9.103e-6C

Ep = -0.092V
ip = 6.122e-7A
Ah = 2.088e-7C

Segment 2:
Segment 3:
Ep = 0.359V
ip = 9.053e-6A
Ah = 6.398e-6C

Ep = -0.103V
ip = 7.617e-7A
Ah = 3.452e-7C

Segment 4:
Segment 5:
Ep = 0.363V
ip = 8.282e-6A
Ah = 5.826e-6C

Ep = -0.104V
ip = 8.233e-7A
Ah = 3.910e-7C

Segment 6:
Potential/V, Current/A, Charge/C

Segment 1:
0.649, 1.972e-7, 1.972e-9
0.648, 2.438e-7, 4.409e-9
0.647, 2.457e-7, 6.866e-9
0.646, 2.637e-7, 9.503e-9
0.645, 2.683e-7, 1.219e-8
0.644, 2.919e-7, 1.511e-8
0.643, 2.925e-7, 1.803e-8
0.642, 2.949e-7, 2.098e-8
0.641, 2.949e-7, 2.393e-8
0.640, 3.021e-7, 2.695e-8
0.639, 3.003e-7, 2.995e-8
0.638, 3.233e-7, 3.319e-8
0.637, 3.188e-7, 3.637e-8
0.636, 3.383e-7, 3.976e-8
0.635, 3.366e-7, 4.312e-8
0.634, 3.427e-7, 4.655e-8
0.633, 3.424e-7, 4.997e-8
0.632, 3.441e-7, 5.341e-8
0.631, 3.438e-7, 5.685e-8
0.630, 3.495e-7, 6.035e-8
0.629, 3.489e-7, 6.384e-8
0.628, 3.636e-7, 6.747e-8
0.627, 3.593e-7, 7.106e-8
0.626, 3.809e-7, 7.487e-8
0.625, 3.778e-7, 7.865e-8
0.624, 3.901e-7, 8.255e-8
0.623, 3.868e-7, 8.642e-8
0.622, 3.924e-7, 9.034e-8
0.621, 3.917e-7, 9.426e-8
0.620, 3.956e-7, 9.822e-8
0.619, 3.948e-7, 1.022e-7
0.618, 4.061e-7, 1.062e-7
0.617, 4.025e-7, 1.102e-7
0.616, 4.262e-7, 1.145e-7
0.615, 4.194e-7, 1.187e-7
0.614, 4.279e-7, 1.230e-7
0.613, 4.319e-7, 1.273e-7
0.612, 4.405e-7, 1.317e-7
0.611, 4.397e-7, 1.361e-7
0.610, 4.421e-7, 1.405e-7
0.609, 4.419e-7, 1.449e-7
0.608, 4.499e-7, 1.494e-7
0.607, 4.471e-7, 1.539e-7
0.606, 4.743e-7, 1.587e-7
0.605, 4.664e-7, 1.633e-7
0.604, 4.853e-7, 1.682e-7
0.603, 4.848e-7, 1.730e-7
0.602, 4.895e-7, 1.779e-7
0.601, 4.894e-7, 1.828e-7
0.600, 4.921e-7, 1.877e-7
0.599, 4.919e-7, 1.927e-7
0.598, 5.064e-7, 1.977e-7
0.597, 5.042e-7, 2.028e-7
0.596, 5.287e-7, 2.080e-7
0.595, 5.273e-7, 2.133e-7
0.594, 5.372e-7, 2.187e-7
0.593, 5.371e-7, 2.241e-7
0.592, 5.394e-7, 2.295e-7
0.591, 5.392e-7, 2.348e-7
0.590, 5.498e-7, 2.403e-7
0.589, 5.482e-7, 2.458e-7
0.588, 5.718e-7, 2.515e-7
0.587, 5.739e-7, 2.573e-7
0.586, 5.865e-7, 2.631e-7
0.585, 5.856e-7, 2.690e-7
0.584, 5.905e-7, 2.749e-7
0.583, 5.900e-7, 2.808e-7
0.582, 6.083e-7, 2.869e-7
0.581, 6.086e-7, 2.930e-7
0.580, 6.317e-7, 2.993e-7
0.579, 6.325e-7, 3.056e-7
0.578, 6.368e-7, 3.120e-7
0.577, 6.370e-7, 3.184e-7
0.576, 6.490e-7, 3.248e-7
0.575, 6.483e-7, 3.313e-7
0.574, 6.798e-7, 3.381e-7
0.573, 6.772e-7, 3.449e-7
0.572, 6.852e-7, 3.518e-7
0.571, 6.855e-7, 3.586e-7
0.570, 6.954e-7, 3.656e-7
0.569, 6.963e-7, 3.725e-7
0.568, 7.274e-7, 3.798e-7
0.567, 7.268e-7, 3.871e-7
0.566, 7.339e-7, 3.944e-7
0.565, 7.349e-7, 4.018e-7
0.564, 7.468e-7, 4.092e-7
0.563, 7.563e-7, 4.168e-7
0.562, 7.795e-7, 4.246e-7
0.561, 7.808e-7, 4.324e-7
0.560, 7.859e-7, 4.402e-7
0.559, 7.880e-7, 4.481e-7
0.558, 8.194e-7, 4.563e-7
0.557, 8.219e-7, 4.645e-7
0.556, 8.318e-7, 4.729e-7
0.555, 8.331e-7, 4.812e-7
0.554, 8.544e-7, 4.897e-7
0.553, 8.591e-7, 4.983e-7
0.552, 8.796e-7, 5.071e-7
0.551, 8.801e-7, 5.159e-7
0.550, 8.909e-7, 5.248e-7
0.549, 8.985e-7, 5.338e-7
0.548, 9.270e-7, 5.431e-7
0.547, 9.281e-7, 5.524e-7
0.546, 9.336e-7, 5.617e-7
0.545, 9.393e-7, 5.711e-7
0.544, 9.750e-7, 5.808e-7
0.543, 9.762e-7, 5.906e-7
0.542, 9.889e-7, 6.005e-7
0.541, 9.989e-7, 6.105e-7
0.540, 1.026e-6, 6.207e-7
0.539, 1.027e-6, 6.310e-7
0.538, 1.044e-6, 6.415e-7
0.537, 1.055e-6, 6.520e-7
0.536, 1.076e-6, 6.628e-7
0.535, 1.077e-6, 6.735e-7
0.534, 1.104e-6, 6.846e-7
0.533, 1.116e-6, 6.957e-7
0.532, 1.125e-6, 7.070e-7
0.531, 1.132e-6, 7.183e-7
0.530, 1.169e-6, 7.300e-7
0.529, 1.173e-6, 7.417e-7
0.528, 1.193e-6, 7.537e-7
0.527, 1.208e-6, 7.658e-7
0.526, 1.223e-6, 7.780e-7
0.525, 1.230e-6, 7.903e-7
0.524, 1.268e-6, 8.030e-7
0.523, 1.272e-6, 8.157e-7
0.522, 1.299e-6, 8.287e-7
0.521, 1.313e-6, 8.418e-7
0.520, 1.324e-6, 8.550e-7
0.519, 1.334e-6, 8.684e-7
0.518, 1.368e-6, 8.821e-7
0.517, 1.378e-6, 8.958e-7
0.516, 1.415e-6, 9.100e-7
0.515, 1.421e-6, 9.242e-7
0.514, 1.461e-6, 9.388e-7
0.513, 1.472e-6, 9.535e-7
0.512, 1.514e-6, 9.687e-7
0.511, 1.519e-6, 9.839e-7
0.510, 1.560e-6, 9.995e-7
0.509, 1.565e-6, 1.015e-6
0.508, 1.600e-6, 1.031e-6
0.507, 1.613e-6, 1.047e-6
0.506, 1.651e-6, 1.064e-6
0.505, 1.661e-6, 1.080e-6
0.504, 1.693e-6, 1.097e-6
0.503, 1.709e-6, 1.114e-6
0.502, 1.744e-6, 1.132e-6
0.501, 1.759e-6, 1.149e-6
0.500, 1.793e-6, 1.167e-6
0.499, 1.809e-6, 1.185e-6
0.498, 1.849e-6, 1.204e-6
0.497, 1.859e-6, 1.222e-6
0.496, 1.902e-6, 1.242e-6
0.495, 1.910e-6, 1.261e-6
0.494, 1.954e-6, 1.280e-6
0.493, 1.971e-6, 1.300e-6
0.492, 2.006e-6, 1.320e-6
0.491, 2.043e-6, 1.340e-6
0.490, 2.071e-6, 1.361e-6
0.489, 2.100e-6, 1.382e-6
0.488, 2.143e-6, 1.403e-6
0.487, 2.160e-6, 1.425e-6
0.486, 2.201e-6, 1.447e-6
0.485, 2.236e-6, 1.469e-6
0.484, 2.276e-6, 1.492e-6
0.483, 2.299e-6, 1.515e-6
0.482, 2.345e-6, 1.539e-6
0.481, 2.382e-6, 1.562e-6
0.480, 2.432e-6, 1.587e-6
0.479, 2.453e-6, 1.611e-6
0.478, 2.498e-6, 1.636e-6
0.477, 2.539e-6, 1.662e-6
0.476, 2.589e-6, 1.688e-6
0.475, 2.631e-6, 1.714e-6
0.474, 2.679e-6, 1.741e-6
0.473, 2.711e-6, 1.768e-6
0.472, 2.773e-6, 1.796e-6
0.471, 2.809e-6, 1.824e-6
0.470, 2.867e-6, 1.852e-6
0.469, 2.903e-6, 1.881e-6
0.468, 2.971e-6, 1.911e-6
0.467, 3.020e-6, 1.941e-6
0.466, 3.077e-6, 1.972e-6
0.465, 3.127e-6, 2.003e-6
0.464, 3.195e-6, 2.035e-6
0.463, 3.241e-6, 2.068e-6
0.462, 3.312e-6, 2.101e-6
0.461, 3.369e-6, 2.134e-6
0.460, 3.438e-6, 2.169e-6
0.459, 3.494e-6, 2.204e-6
0.458, 3.568e-6, 2.239e-6
0.457, 3.629e-6, 2.276e-6
0.456, 3.707e-6, 2.313e-6
0.455, 3.773e-6, 2.351e-6
0.454, 3.854e-6, 2.389e-6
0.453, 3.923e-6, 2.428e-6
0.452, 4.007e-6, 2.468e-6
0.451, 4.077e-6, 2.509e-6
0.450, 4.169e-6, 2.551e-6
0.449, 4.244e-6, 2.593e-6
0.448, 4.337e-6, 2.637e-6
0.447, 4.416e-6, 2.681e-6
0.446, 4.519e-6, 2.726e-6
0.445, 4.616e-6, 2.772e-6
0.444, 4.720e-6, 2.819e-6
0.443, 4.813e-6, 2.867e-6
0.442, 4.919e-6, 2.917e-6
0.441, 5.011e-6, 2.967e-6
0.440, 5.123e-6, 3.018e-6
0.439, 5.221e-6, 3.070e-6
0.438, 5.341e-6, 3.124e-6
0.437, 5.442e-6, 3.178e-6
0.436, 5.564e-6, 3.234e-6
0.435, 5.671e-6, 3.290e-6
0.434, 5.793e-6, 3.348e-6
0.433, 5.907e-6, 3.407e-6
0.432, 6.036e-6, 3.468e-6
0.431, 6.172e-6, 3.529e-6
