Nov. 16, 2023   13:34:42
Cyclic Voltammetry
File: c:\users\pku\desktop\zqm\o2 kuaisu.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.2
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = -0.003V
ip = 7.538e-6A
Ah = 3.244e-6C

Ep = -0.197V
ip = 8.534e-6A
Ah = 1.408e-6C

Segment 2:

Segment 3:
Ep = 0.249V
ip = 1.245e-5A
Ah = 1.472e-5C

Segment 4:
Segment 5:
Ep = 0.209V
ip = 1.409e-5A
Ah = 1.867e-5C

Ep = -0.192V
ip = 7.264e-6A
Ah = 2.776e-6C

Segment 6:
Potential/V, Current/A, Charge/C

Segment 1:
0.649, 4.266e-7, 4.266e-9
0.648, 4.422e-7, 8.688e-9
0.647, 4.453e-7, 1.314e-8
0.646, 4.561e-7, 1.770e-8
0.645, 4.670e-7, 2.237e-8
0.644, 4.726e-7, 2.710e-8
0.643, 4.804e-7, 3.190e-8
0.642, 4.850e-7, 3.675e-8
0.641, 4.880e-7, 4.163e-8
0.640, 4.888e-7, 4.652e-8
0.639, 4.896e-7, 5.142e-8
0.638, 4.904e-7, 5.632e-8
0.637, 4.908e-7, 6.123e-8
0.636, 4.913e-7, 6.614e-8
0.635, 4.952e-7, 7.109e-8
0.634, 4.951e-7, 7.604e-8
0.633, 4.963e-7, 8.100e-8
0.632, 4.979e-7, 8.598e-8
0.631, 4.986e-7, 9.097e-8
0.630, 5.018e-7, 9.599e-8
0.629, 5.086e-7, 1.011e-7
0.628, 5.115e-7, 1.062e-7
0.627, 5.171e-7, 1.114e-7
0.626, 5.227e-7, 1.166e-7
0.625, 5.307e-7, 1.219e-7
0.624, 5.337e-7, 1.272e-7
0.623, 5.369e-7, 1.326e-7
0.622, 5.380e-7, 1.380e-7
0.621, 5.386e-7, 1.434e-7
0.620, 5.386e-7, 1.488e-7
0.619, 5.397e-7, 1.541e-7
0.618, 5.403e-7, 1.596e-7
0.617, 5.423e-7, 1.650e-7
0.616, 5.435e-7, 1.704e-7
0.615, 5.451e-7, 1.759e-7
0.614, 5.417e-7, 1.813e-7
0.613, 5.506e-7, 1.868e-7
0.612, 5.571e-7, 1.924e-7
0.611, 5.667e-7, 1.980e-7
0.610, 5.739e-7, 2.038e-7
0.609, 5.822e-7, 2.096e-7
0.608, 5.844e-7, 2.154e-7
0.607, 5.870e-7, 2.213e-7
0.606, 5.896e-7, 2.272e-7
0.605, 5.906e-7, 2.331e-7
0.604, 5.941e-7, 2.390e-7
0.603, 6.054e-7, 2.451e-7
0.602, 6.060e-7, 2.512e-7
0.601, 6.161e-7, 2.573e-7
0.600, 6.216e-7, 2.635e-7
0.599, 6.284e-7, 2.698e-7
0.598, 6.292e-7, 2.761e-7
0.597, 6.350e-7, 2.825e-7
0.596, 6.354e-7, 2.888e-7
0.595, 6.365e-7, 2.952e-7
0.594, 6.371e-7, 3.015e-7
0.593, 6.431e-7, 3.080e-7
0.592, 6.506e-7, 3.145e-7
0.591, 6.664e-7, 3.211e-7
0.590, 6.760e-7, 3.279e-7
0.589, 6.837e-7, 3.347e-7
0.588, 6.839e-7, 3.416e-7
0.587, 6.860e-7, 3.484e-7
0.586, 6.868e-7, 3.553e-7
0.585, 6.917e-7, 3.622e-7
0.584, 6.954e-7, 3.692e-7
0.583, 7.049e-7, 3.762e-7
0.582, 7.118e-7, 3.833e-7
0.581, 7.264e-7, 3.906e-7
0.580, 7.291e-7, 3.979e-7
0.579, 7.331e-7, 4.052e-7
0.578, 7.340e-7, 4.126e-7
0.577, 7.372e-7, 4.199e-7
0.576, 7.423e-7, 4.274e-7
0.575, 7.619e-7, 4.350e-7
0.574, 7.723e-7, 4.427e-7
0.573, 7.815e-7, 4.505e-7
0.572, 7.824e-7, 4.584e-7
0.571, 7.881e-7, 4.662e-7
0.570, 7.922e-7, 4.742e-7
0.569, 8.077e-7, 4.822e-7
0.568, 8.137e-7, 4.904e-7
0.567, 8.261e-7, 4.986e-7
0.566, 8.293e-7, 5.069e-7
0.565, 8.318e-7, 5.152e-7
0.564, 8.331e-7, 5.236e-7
0.563, 8.448e-7, 5.320e-7
0.562, 8.552e-7, 5.406e-7
0.561, 8.753e-7, 5.493e-7
0.560, 8.779e-7, 5.581e-7
0.559, 8.807e-7, 5.669e-7
0.558, 8.865e-7, 5.758e-7
0.557, 9.039e-7, 5.848e-7
0.556, 9.121e-7, 5.939e-7
0.555, 9.286e-7, 6.032e-7
0.554, 9.290e-7, 6.125e-7
0.553, 9.317e-7, 6.218e-7
0.552, 9.380e-7, 6.312e-7
0.551, 9.542e-7, 6.407e-7
0.550, 9.652e-7, 6.504e-7
0.549, 9.769e-7, 6.602e-7
0.548, 9.788e-7, 6.700e-7
0.547, 9.853e-7, 6.798e-7
0.546, 9.992e-7, 6.898e-7
0.545, 1.022e-6, 7.000e-7
0.544, 1.025e-6, 7.103e-7
0.543, 1.029e-6, 7.206e-7
0.542, 1.046e-6, 7.310e-7
0.541, 1.070e-6, 7.417e-7
0.540, 1.074e-6, 7.525e-7
0.539, 1.078e-6, 7.632e-7
0.538, 1.087e-6, 7.741e-7
0.537, 1.111e-6, 7.852e-7
0.536, 1.119e-6, 7.964e-7
0.535, 1.124e-6, 8.077e-7
0.534, 1.127e-6, 8.189e-7
0.533, 1.141e-6, 8.303e-7
0.532, 1.157e-6, 8.419e-7
0.531, 1.172e-6, 8.536e-7
0.530, 1.175e-6, 8.654e-7
0.529, 1.192e-6, 8.773e-7
0.528, 1.209e-6, 8.894e-7
0.527, 1.222e-6, 9.016e-7
0.526, 1.228e-6, 9.139e-7
0.525, 1.257e-6, 9.265e-7
0.524, 1.268e-6, 9.391e-7
0.523, 1.274e-6, 9.519e-7
0.522, 1.287e-6, 9.648e-7
0.521, 1.315e-6, 9.779e-7
0.520, 1.319e-6, 9.911e-7
0.519, 1.322e-6, 1.004e-6
0.518, 1.332e-6, 1.018e-6
0.517, 1.362e-6, 1.031e-6
0.516, 1.369e-6, 1.045e-6
0.515, 1.384e-6, 1.059e-6
0.514, 1.402e-6, 1.073e-6
0.513, 1.418e-6, 1.087e-6
0.512, 1.436e-6, 1.101e-6
0.511, 1.465e-6, 1.116e-6
0.510, 1.483e-6, 1.131e-6
0.509, 1.513e-6, 1.146e-6
0.508, 1.517e-6, 1.161e-6
0.507, 1.543e-6, 1.177e-6
0.506, 1.560e-6, 1.192e-6
0.505, 1.567e-6, 1.208e-6
0.504, 1.587e-6, 1.224e-6
0.503, 1.611e-6, 1.240e-6
0.502, 1.617e-6, 1.256e-6
0.501, 1.651e-6, 1.272e-6
0.500, 1.661e-6, 1.289e-6
0.499, 1.670e-6, 1.306e-6
0.498, 1.692e-6, 1.323e-6
0.497, 1.711e-6, 1.340e-6
0.496, 1.724e-6, 1.357e-6
0.495, 1.758e-6, 1.375e-6
0.494, 1.767e-6, 1.392e-6
0.493, 1.805e-6, 1.410e-6
0.492, 1.813e-6, 1.428e-6
0.491, 1.852e-6, 1.447e-6
0.490, 1.858e-6, 1.466e-6
0.489, 1.888e-6, 1.484e-6
0.488, 1.904e-6, 1.504e-6
0.487, 1.916e-6, 1.523e-6
0.486, 1.944e-6, 1.542e-6
0.485, 1.960e-6, 1.562e-6
0.484, 1.986e-6, 1.582e-6
0.483, 2.005e-6, 1.602e-6
0.482, 2.029e-6, 1.622e-6
0.481, 2.053e-6, 1.642e-6
0.480, 2.075e-6, 1.663e-6
0.479, 2.102e-6, 1.684e-6
0.478, 2.134e-6, 1.706e-6
0.477, 2.158e-6, 1.727e-6
0.476, 2.191e-6, 1.749e-6
0.475, 2.222e-6, 1.771e-6
0.474, 2.246e-6, 1.794e-6
0.473, 2.277e-6, 1.816e-6
0.472, 2.297e-6, 1.839e-6
0.471, 2.331e-6, 1.863e-6
0.470, 2.348e-6, 1.886e-6
0.469, 2.388e-6, 1.910e-6
0.468, 2.405e-6, 1.934e-6
0.467, 2.443e-6, 1.959e-6
0.466, 2.464e-6, 1.983e-6
0.465, 2.494e-6, 2.008e-6
0.464, 2.530e-6, 2.033e-6
0.463, 2.565e-6, 2.059e-6
0.462, 2.595e-6, 2.085e-6
0.461, 2.639e-6, 2.111e-6
0.460, 2.675e-6, 2.138e-6
0.459, 2.714e-6, 2.165e-6
0.458, 2.743e-6, 2.193e-6
0.457, 2.785e-6, 2.221e-6
0.456, 2.823e-6, 2.249e-6
0.455, 2.856e-6, 2.277e-6
0.454, 2.884e-6, 2.306e-6
0.453, 2.930e-6, 2.336e-6
0.452, 2.969e-6, 2.365e-6
0.451, 3.020e-6, 2.395e-6
0.450, 3.043e-6, 2.426e-6
0.449, 3.085e-6, 2.457e-6
0.448, 3.126e-6, 2.488e-6
0.447, 3.175e-6, 2.520e-6
0.446, 3.221e-6, 2.552e-6
0.445, 3.273e-6, 2.585e-6
0.444, 3.316e-6, 2.618e-6
0.443, 3.371e-6, 2.652e-6
0.442, 3.417e-6, 2.686e-6
0.441, 3.467e-6, 2.720e-6
0.440, 3.510e-6, 2.755e-6
0.439, 3.563e-6, 2.791e-6
0.438, 3.602e-6, 2.827e-6
0.437, 3.659e-6, 2.864e-6
0.436, 3.701e-6, 2.901e-6
0.435, 3.757e-6, 2.938e-6
0.434, 3.801e-6, 2.976e-6
0.433, 3.857e-6, 3.015e-6
0.432, 3.904e-6, 3.054e-6
0.431, 3.959e-6, 3.094e-6
0.430, 4.016e-6, 3.134e-6
