Nov. 16, 2023   13:41:02
Cyclic Voltammetry
File: c:\users\pku\desktop\zqm\o2 mansu.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.2
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.358V
ip = 1.113e-5A
Ah = 8.174e-6C

Ep = -0.245V
ip = 8.635e-7A
Ah = 4.021e-7C

Segment 2:
Segment 3:
Ep = 0.355V
ip = 1.153e-5A
Ah = 8.002e-6C

Ep = -0.246V
ip = 8.092e-7A
Ah = 3.700e-7C

Segment 4:
Segment 5:
Ep = 0.355V
ip = 1.196e-5A
Ah = 8.229e-6C

Ep = -0.103V
ip = 6.328e-7A
Ah = 2.836e-7C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 5.352e-7, 5.352e-9
0.648, 5.644e-7, 1.100e-8
0.647, 5.717e-7, 1.671e-8
0.646, 5.829e-7, 2.254e-8
0.645, 5.795e-7, 2.834e-8
0.644, 5.856e-7, 3.419e-8
0.643, 5.833e-7, 4.003e-8
0.642, 5.854e-7, 4.588e-8
0.641, 5.842e-7, 5.172e-8
0.640, 5.857e-7, 5.758e-8
0.639, 5.829e-7, 6.341e-8
0.638, 5.862e-7, 6.927e-8
0.637, 5.845e-7, 7.512e-8
0.636, 5.864e-7, 8.098e-8
0.635, 5.859e-7, 8.684e-8
0.634, 5.867e-7, 9.271e-8
0.633, 5.862e-7, 9.857e-8
0.632, 5.870e-7, 1.044e-7
0.631, 5.866e-7, 1.103e-7
0.630, 5.871e-7, 1.162e-7
0.629, 5.868e-7, 1.220e-7
0.628, 5.872e-7, 1.279e-7
0.627, 5.871e-7, 1.338e-7
0.626, 5.875e-7, 1.397e-7
0.625, 5.874e-7, 1.455e-7
0.624, 5.885e-7, 1.514e-7
0.623, 5.881e-7, 1.573e-7
0.622, 5.922e-7, 1.632e-7
0.621, 5.909e-7, 1.691e-7
0.620, 5.972e-7, 1.751e-7
0.619, 5.994e-7, 1.811e-7
0.618, 6.069e-7, 1.872e-7
0.617, 6.076e-7, 1.932e-7
0.616, 6.222e-7, 1.995e-7
0.615, 6.215e-7, 2.057e-7
0.614, 6.167e-7, 2.118e-7
0.613, 6.251e-7, 2.181e-7
0.612, 6.347e-7, 2.244e-7
0.611, 6.346e-7, 2.308e-7
0.610, 6.360e-7, 2.372e-7
0.609, 6.360e-7, 2.435e-7
0.608, 6.370e-7, 2.499e-7
0.607, 6.374e-7, 2.563e-7
0.606, 6.463e-7, 2.627e-7
0.605, 6.478e-7, 2.692e-7
0.604, 6.591e-7, 2.758e-7
0.603, 6.655e-7, 2.824e-7
0.602, 6.774e-7, 2.892e-7
0.601, 6.774e-7, 2.960e-7
0.600, 6.844e-7, 3.028e-7
0.599, 6.841e-7, 3.097e-7
0.598, 6.848e-7, 3.165e-7
0.597, 6.854e-7, 3.234e-7
0.596, 6.872e-7, 3.302e-7
0.595, 6.894e-7, 3.371e-7
0.594, 7.015e-7, 3.442e-7
0.593, 7.071e-7, 3.512e-7
0.592, 7.248e-7, 3.585e-7
0.591, 7.266e-7, 3.657e-7
0.590, 7.331e-7, 3.731e-7
0.589, 7.334e-7, 3.804e-7
0.588, 7.347e-7, 3.878e-7
0.587, 7.389e-7, 3.951e-7
0.586, 7.533e-7, 4.027e-7
0.585, 7.604e-7, 4.103e-7
0.584, 7.786e-7, 4.181e-7
0.583, 7.786e-7, 4.259e-7
0.582, 7.823e-7, 4.337e-7
0.581, 7.825e-7, 4.415e-7
0.580, 7.842e-7, 4.493e-7
0.579, 7.887e-7, 4.572e-7
0.578, 8.053e-7, 4.653e-7
0.577, 8.163e-7, 4.734e-7
0.576, 8.295e-7, 4.817e-7
0.575, 8.301e-7, 4.900e-7
0.574, 8.318e-7, 4.984e-7
0.573, 8.353e-7, 5.067e-7
0.572, 8.479e-7, 5.152e-7
0.571, 8.606e-7, 5.238e-7
0.570, 8.771e-7, 5.326e-7
0.569, 8.785e-7, 5.414e-7
0.568, 8.803e-7, 5.502e-7
0.567, 8.816e-7, 5.590e-7
0.566, 8.943e-7, 5.679e-7
0.565, 9.053e-7, 5.770e-7
0.564, 9.254e-7, 5.862e-7
0.563, 9.285e-7, 5.955e-7
0.562, 9.312e-7, 6.048e-7
0.561, 9.385e-7, 6.142e-7
0.560, 9.633e-7, 6.238e-7
0.559, 9.699e-7, 6.335e-7
0.558, 9.777e-7, 6.433e-7
0.557, 9.786e-7, 6.531e-7
0.556, 9.849e-7, 6.630e-7
0.555, 1.003e-6, 6.730e-7
0.554, 1.024e-6, 6.832e-7
0.553, 1.026e-6, 6.935e-7
0.552, 1.032e-6, 7.038e-7
0.551, 1.043e-6, 7.142e-7
0.550, 1.072e-6, 7.250e-7
0.549, 1.074e-6, 7.357e-7
0.548, 1.076e-6, 7.464e-7
0.547, 1.079e-6, 7.572e-7
0.546, 1.104e-6, 7.683e-7
0.545, 1.119e-6, 7.795e-7
0.544, 1.125e-6, 7.907e-7
0.543, 1.132e-6, 8.020e-7
0.542, 1.163e-6, 8.137e-7
0.541, 1.170e-6, 8.254e-7
0.540, 1.173e-6, 8.371e-7
0.539, 1.181e-6, 8.489e-7
0.538, 1.209e-6, 8.610e-7
0.537, 1.219e-6, 8.732e-7
0.536, 1.223e-6, 8.854e-7
0.535, 1.234e-6, 8.978e-7
0.534, 1.264e-6, 9.104e-7
0.533, 1.270e-6, 9.231e-7
0.532, 1.275e-6, 9.358e-7
0.531, 1.293e-6, 9.488e-7
0.530, 1.319e-6, 9.620e-7
0.529, 1.322e-6, 9.752e-7
0.528, 1.347e-6, 9.886e-7
0.527, 1.364e-6, 1.002e-6
0.526, 1.369e-6, 1.016e-6
0.525, 1.385e-6, 1.030e-6
0.524, 1.416e-6, 1.044e-6
0.523, 1.421e-6, 1.058e-6
0.522, 1.449e-6, 1.073e-6
0.521, 1.465e-6, 1.087e-6
0.520, 1.499e-6, 1.102e-6
0.519, 1.513e-6, 1.117e-6
0.518, 1.523e-6, 1.133e-6
0.517, 1.548e-6, 1.148e-6
0.516, 1.564e-6, 1.164e-6
0.515, 1.578e-6, 1.180e-6
0.514, 1.610e-6, 1.196e-6
0.513, 1.618e-6, 1.212e-6
0.512, 1.657e-6, 1.228e-6
0.511, 1.661e-6, 1.245e-6
0.510, 1.684e-6, 1.262e-6
0.509, 1.707e-6, 1.279e-6
0.508, 1.716e-6, 1.296e-6
0.507, 1.750e-6, 1.314e-6
0.506, 1.760e-6, 1.331e-6
0.505, 1.787e-6, 1.349e-6
0.504, 1.809e-6, 1.367e-6
0.503, 1.834e-6, 1.386e-6
0.502, 1.857e-6, 1.404e-6
0.501, 1.875e-6, 1.423e-6
0.500, 1.906e-6, 1.442e-6
0.499, 1.928e-6, 1.461e-6
0.498, 1.954e-6, 1.481e-6
0.497, 1.976e-6, 1.500e-6
0.496, 2.004e-6, 1.521e-6
0.495, 2.033e-6, 1.541e-6
0.494, 2.054e-6, 1.561e-6
0.493, 2.087e-6, 1.582e-6
0.492, 2.106e-6, 1.603e-6
0.491, 2.146e-6, 1.625e-6
0.490, 2.173e-6, 1.647e-6
0.489, 2.199e-6, 1.668e-6
0.488, 2.244e-6, 1.691e-6
0.487, 2.257e-6, 1.714e-6
0.486, 2.296e-6, 1.736e-6
0.485, 2.329e-6, 1.760e-6
0.484, 2.358e-6, 1.783e-6
0.483, 2.395e-6, 1.807e-6
0.482, 2.440e-6, 1.832e-6
0.481, 2.461e-6, 1.856e-6
0.480, 2.496e-6, 1.881e-6
0.479, 2.538e-6, 1.907e-6
0.478, 2.586e-6, 1.933e-6
0.477, 2.619e-6, 1.959e-6
0.476, 2.652e-6, 1.985e-6
0.475, 2.693e-6, 2.012e-6
0.474, 2.737e-6, 2.040e-6
0.473, 2.782e-6, 2.067e-6
0.472, 2.832e-6, 2.096e-6
0.471, 2.871e-6, 2.124e-6
0.470, 2.926e-6, 2.154e-6
0.469, 2.967e-6, 2.183e-6
0.468, 3.027e-6, 2.214e-6
0.467, 3.068e-6, 2.244e-6
0.466, 3.125e-6, 2.276e-6
0.465, 3.172e-6, 2.307e-6
0.464, 3.225e-6, 2.339e-6
0.463, 3.278e-6, 2.372e-6
0.462, 3.335e-6, 2.406e-6
0.461, 3.396e-6, 2.440e-6
0.460, 3.461e-6, 2.474e-6
0.459, 3.515e-6, 2.509e-6
0.458, 3.576e-6, 2.545e-6
0.457, 3.639e-6, 2.581e-6
0.456, 3.712e-6, 2.619e-6
0.455, 3.777e-6, 2.656e-6
0.454, 3.850e-6, 2.695e-6
0.453, 3.915e-6, 2.734e-6
0.452, 3.992e-6, 2.774e-6
0.451, 4.065e-6, 2.815e-6
0.450, 4.142e-6, 2.856e-6
0.449, 4.217e-6, 2.898e-6
0.448, 4.301e-6, 2.941e-6
0.447, 4.373e-6, 2.985e-6
0.446, 4.466e-6, 3.030e-6
0.445, 4.550e-6, 3.075e-6
0.444, 4.656e-6, 3.122e-6
0.443, 4.745e-6, 3.169e-6
0.442, 4.838e-6, 3.217e-6
0.441, 4.926e-6, 3.267e-6
0.440, 5.025e-6, 3.317e-6
0.439, 5.118e-6, 3.368e-6
0.438, 5.221e-6, 3.420e-6
0.437, 5.318e-6, 3.474e-6
0.436, 5.429e-6, 3.528e-6
0.435, 5.530e-6, 3.583e-6
0.434, 5.637e-6, 3.640e-6
0.433, 5.743e-6, 3.697e-6
0.432, 5.859e-6, 3.756e-6
0.431, 5.967e-6, 3.815e-6
