Nov. 16, 2023   13:24:50
Cyclic Voltammetry
File: c:\users\pku\desktop\zqm\kongbai 01.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.2
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.401V
ip = 2.991e-6A
Ah = 2.234e-6C

Ep = -0.167V
ip = 1.255e-6A
Ah = 1.387e-6C

Segment 2:
Ep = -0.068V
ip = -4.820e-7A
Ah = -1.691e-7C

Segment 3:
Ep = 0.395V
ip = 2.462e-6A
Ah = 2.008e-6C

Segment 4:
Ep = -0.072V
ip = -4.297e-7A
Ah = -1.446e-7C

Segment 5:
Ep = 0.395V
ip = 2.426e-6A
Ah = 2.016e-6C

Segment 6:
Ep = -0.073V
ip = -4.371e-7A
Ah = -1.213e-7C

Segment 7:
Ep = 0.396V
ip = 2.471e-6A
Ah = 2.022e-6C

Segment 8:
Ep = -0.072V
ip = -4.653e-7A
Ah = -1.477e-7C

Segment 9:
Ep = 0.395V
ip = 2.473e-6A
Ah = 2.057e-6C

Ep = -0.177V
ip = 1.342e-6A
Ah = 1.443e-6C

Segment 10:
Ep = -0.071V
ip = -4.779e-7A
Ah = -1.649e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 5.894e-8, 5.894e-10
0.648, 8.978e-8, 1.487e-9
0.647, 9.965e-8, 2.484e-9
0.646, 1.068e-7, 3.552e-9
0.645, 1.372e-7, 4.924e-9
0.644, 1.399e-7, 6.324e-9
0.643, 1.476e-7, 7.800e-9
0.642, 1.478e-7, 9.277e-9
0.641, 1.531e-7, 1.081e-8
0.640, 1.526e-7, 1.233e-8
0.639, 1.715e-7, 1.405e-8
0.638, 1.767e-7, 1.582e-8
0.637, 1.909e-7, 1.773e-8
0.636, 1.887e-7, 1.961e-8
0.635, 1.961e-7, 2.157e-8
0.634, 1.958e-7, 2.353e-8
0.633, 1.966e-7, 2.550e-8
0.632, 1.967e-7, 2.746e-8
0.631, 1.976e-7, 2.944e-8
0.630, 1.980e-7, 3.142e-8
0.629, 2.066e-7, 3.349e-8
0.628, 2.054e-7, 3.554e-8
0.627, 2.189e-7, 3.773e-8
0.626, 2.172e-7, 3.990e-8
0.625, 2.359e-7, 4.226e-8
0.624, 2.325e-7, 4.458e-8
0.623, 2.436e-7, 4.702e-8
0.622, 2.433e-7, 4.945e-8
0.621, 2.452e-7, 5.190e-8
0.620, 2.449e-7, 5.435e-8
0.619, 2.469e-7, 5.682e-8
0.618, 2.465e-7, 5.929e-8
0.617, 2.530e-7, 6.182e-8
0.616, 2.529e-7, 6.435e-8
0.615, 2.658e-7, 6.700e-8
0.614, 2.553e-7, 6.956e-8
0.613, 2.794e-7, 7.235e-8
0.612, 2.801e-7, 7.515e-8
0.611, 2.913e-7, 7.807e-8
0.610, 2.899e-7, 8.097e-8
0.609, 2.939e-7, 8.390e-8
0.608, 2.937e-7, 8.684e-8
0.607, 2.942e-7, 8.978e-8
0.606, 2.942e-7, 9.272e-8
0.605, 2.958e-7, 9.568e-8
0.604, 2.971e-7, 9.865e-8
0.603, 3.083e-7, 1.017e-7
0.602, 3.045e-7, 1.048e-7
0.601, 3.213e-7, 1.080e-7
0.600, 3.237e-7, 1.112e-7
0.599, 3.397e-7, 1.146e-7
0.598, 3.390e-7, 1.180e-7
0.597, 3.428e-7, 1.214e-7
0.596, 3.425e-7, 1.249e-7
0.595, 3.449e-7, 1.283e-7
0.594, 3.445e-7, 1.318e-7
0.593, 3.568e-7, 1.353e-7
0.592, 3.574e-7, 1.389e-7
0.591, 3.782e-7, 1.427e-7
0.590, 3.776e-7, 1.465e-7
0.589, 3.897e-7, 1.504e-7
0.588, 3.889e-7, 1.543e-7
0.587, 3.918e-7, 1.582e-7
0.586, 3.918e-7, 1.621e-7
0.585, 3.935e-7, 1.660e-7
0.584, 3.956e-7, 1.700e-7
0.583, 4.062e-7, 1.740e-7
0.582, 4.107e-7, 1.781e-7
0.581, 4.337e-7, 1.825e-7
0.580, 4.342e-7, 1.868e-7
0.579, 4.402e-7, 1.912e-7
0.578, 4.400e-7, 1.956e-7
0.577, 4.428e-7, 2.001e-7
0.576, 4.444e-7, 2.045e-7
0.575, 4.575e-7, 2.091e-7
0.574, 4.635e-7, 2.137e-7
0.573, 4.848e-7, 2.186e-7
0.572, 4.848e-7, 2.234e-7
0.571, 4.894e-7, 2.283e-7
0.570, 4.898e-7, 2.332e-7
0.569, 4.934e-7, 2.381e-7
0.568, 4.996e-7, 2.431e-7
0.567, 5.228e-7, 2.484e-7
0.566, 5.273e-7, 2.536e-7
0.565, 5.377e-7, 2.590e-7
0.564, 5.382e-7, 2.644e-7
0.563, 5.458e-7, 2.698e-7
0.562, 5.489e-7, 2.753e-7
0.561, 5.727e-7, 2.811e-7
0.560, 5.782e-7, 2.868e-7
0.559, 5.869e-7, 2.927e-7
0.558, 5.873e-7, 2.986e-7
0.557, 5.908e-7, 3.045e-7
0.556, 5.978e-7, 3.105e-7
0.555, 6.282e-7, 3.168e-7
0.554, 6.297e-7, 3.231e-7
0.553, 6.360e-7, 3.294e-7
0.552, 6.379e-7, 3.358e-7
0.551, 6.562e-7, 3.424e-7
0.550, 6.661e-7, 3.490e-7
0.549, 6.841e-7, 3.559e-7
0.548, 6.846e-7, 3.627e-7
0.547, 6.882e-7, 3.696e-7
0.546, 6.959e-7, 3.765e-7
0.545, 7.281e-7, 3.838e-7
0.544, 7.308e-7, 3.911e-7
0.543, 7.352e-7, 3.985e-7
0.542, 7.443e-7, 4.059e-7
0.541, 7.748e-7, 4.137e-7
0.540, 7.797e-7, 4.215e-7
0.539, 7.830e-7, 4.293e-7
0.538, 7.876e-7, 4.372e-7
0.537, 8.179e-7, 4.454e-7
0.536, 8.270e-7, 4.536e-7
0.535, 8.320e-7, 4.619e-7
0.534, 8.403e-7, 4.703e-7
0.533, 8.733e-7, 4.791e-7
0.532, 8.779e-7, 4.879e-7
0.531, 8.818e-7, 4.967e-7
0.530, 8.932e-7, 5.056e-7
0.529, 9.268e-7, 5.149e-7
0.528, 9.289e-7, 5.242e-7
0.527, 9.429e-7, 5.336e-7
0.526, 9.644e-7, 5.432e-7
0.525, 9.777e-7, 5.530e-7
0.524, 9.816e-7, 5.628e-7
0.523, 1.019e-6, 5.730e-7
0.522, 1.025e-6, 5.833e-7
0.521, 1.042e-6, 5.937e-7
0.520, 1.060e-6, 6.043e-7
0.519, 1.075e-6, 6.151e-7
0.518, 1.079e-6, 6.258e-7
0.517, 1.116e-6, 6.370e-7
0.516, 1.123e-6, 6.482e-7
0.515, 1.142e-6, 6.597e-7
0.514, 1.164e-6, 6.713e-7
0.513, 1.174e-6, 6.830e-7
0.512, 1.200e-6, 6.950e-7
0.511, 1.222e-6, 7.073e-7
0.510, 1.230e-6, 7.195e-7
0.509, 1.268e-6, 7.322e-7
0.508, 1.271e-6, 7.449e-7
0.507, 1.305e-6, 7.580e-7
0.506, 1.318e-6, 7.712e-7
0.505, 1.334e-6, 7.845e-7
0.504, 1.362e-6, 7.981e-7
0.503, 1.375e-6, 8.119e-7
0.502, 1.405e-6, 8.259e-7
0.501, 1.424e-6, 8.402e-7
0.500, 1.454e-6, 8.547e-7
0.499, 1.492e-6, 8.696e-7
0.498, 1.513e-6, 8.848e-7
0.497, 1.537e-6, 9.001e-7
0.496, 1.561e-6, 9.157e-7
0.495, 1.579e-6, 9.315e-7
0.494, 1.610e-6, 9.476e-7
0.493, 1.635e-6, 9.640e-7
0.492, 1.659e-6, 9.806e-7
0.491, 1.683e-6, 9.974e-7
0.490, 1.707e-6, 1.014e-6
0.489, 1.733e-6, 1.032e-6
0.488, 1.757e-6, 1.049e-6
0.487, 1.789e-6, 1.067e-6
0.486, 1.808e-6, 1.085e-6
0.485, 1.848e-6, 1.104e-6
0.484, 1.858e-6, 1.122e-6
0.483, 1.901e-6, 1.141e-6
0.482, 1.911e-6, 1.161e-6
0.481, 1.954e-6, 1.180e-6
0.480, 1.968e-6, 1.200e-6
0.479, 2.004e-6, 1.220e-6
0.478, 2.034e-6, 1.240e-6
0.477, 2.055e-6, 1.261e-6
0.476, 2.094e-6, 1.282e-6
0.475, 2.127e-6, 1.303e-6
0.474, 2.149e-6, 1.324e-6
0.473, 2.194e-6, 1.346e-6
0.472, 2.209e-6, 1.368e-6
0.471, 2.247e-6, 1.391e-6
0.470, 2.274e-6, 1.414e-6
0.469, 2.304e-6, 1.437e-6
0.468, 2.341e-6, 1.460e-6
0.467, 2.377e-6, 1.484e-6
0.466, 2.398e-6, 1.508e-6
0.465, 2.442e-6, 1.532e-6
0.464, 2.460e-6, 1.557e-6
0.463, 2.493e-6, 1.582e-6
0.462, 2.534e-6, 1.607e-6
0.461, 2.573e-6, 1.633e-6
0.460, 2.596e-6, 1.659e-6
0.459, 2.638e-6, 1.685e-6
0.458, 2.663e-6, 1.712e-6
0.457, 2.695e-6, 1.739e-6
0.456, 2.734e-6, 1.766e-6
0.455, 2.777e-6, 1.794e-6
0.454, 2.797e-6, 1.822e-6
0.453, 2.834e-6, 1.850e-6
0.452, 2.868e-6, 1.879e-6
0.451, 2.900e-6, 1.908e-6
0.450, 2.932e-6, 1.937e-6
0.449, 2.979e-6, 1.967e-6
0.448, 3.006e-6, 1.997e-6
0.447, 3.037e-6, 2.027e-6
0.446, 3.076e-6, 2.058e-6
0.445, 3.121e-6, 2.089e-6
0.444, 3.134e-6, 2.121e-6
0.443, 3.177e-6, 2.152e-6
