Nov. 16, 2023   13:18:07
Cyclic Voltammetry
File: c:\users\pku\desktop\zqm\kongbai 02.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.2
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.400V
ip = 4.017e-6A
Ah = 1.662e-6C

Ep = -0.085V
ip = 2.285e-6A
Ah = 5.050e-7C

Segment 2:

Segment 3:
Ep = 0.390V
ip = 4.609e-6A
Ah = 1.956e-6C

Ep = -0.090V
ip = 2.162e-6A
Ah = 5.092e-7C

Segment 4:

Segment 5:
Ep = 0.392V
ip = 4.594e-6A
Ah = 1.901e-6C

Ep = -0.088V
ip = 2.162e-6A
Ah = 4.687e-7C

Segment 6:

Segment 7:
Ep = 0.390V
ip = 4.580e-6A
Ah = 1.962e-6C

Ep = -0.103V
ip = 2.183e-6A
Ah = 6.352e-7C

Segment 8:

Segment 9:
Ep = 0.391V
ip = 4.584e-6A
Ah = 1.932e-6C

Ep = -0.093V
ip = 2.152e-6A
Ah = 5.222e-7C

Segment 10:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 4.544e-7, 2.272e-9
0.648, 4.840e-7, 4.692e-9
0.647, 4.870e-7, 7.127e-9
0.646, 4.957e-7, 9.606e-9
0.645, 5.270e-7, 1.224e-8
0.644, 5.388e-7, 1.493e-8
0.643, 5.390e-7, 1.763e-8
0.642, 5.412e-7, 2.034e-8
0.641, 5.759e-7, 2.321e-8
0.640, 5.869e-7, 2.615e-8
0.639, 5.797e-7, 2.905e-8
0.638, 5.905e-7, 3.200e-8
0.637, 6.169e-7, 3.508e-8
0.636, 6.282e-7, 3.823e-8
0.635, 6.294e-7, 4.137e-8
0.634, 6.269e-7, 4.451e-8
0.633, 6.635e-7, 4.782e-8
0.632, 6.815e-7, 5.123e-8
0.631, 6.724e-7, 5.459e-8
0.630, 6.812e-7, 5.800e-8
0.629, 7.083e-7, 6.154e-8
0.628, 7.184e-7, 6.513e-8
0.627, 7.174e-7, 6.872e-8
0.626, 7.213e-7, 7.233e-8
0.625, 7.535e-7, 7.610e-8
0.624, 7.725e-7, 7.996e-8
0.623, 7.646e-7, 8.378e-8
0.622, 7.765e-7, 8.766e-8
0.621, 8.024e-7, 9.167e-8
0.620, 8.168e-7, 9.576e-8
0.619, 8.259e-7, 9.989e-8
0.618, 8.256e-7, 1.040e-7
0.617, 8.539e-7, 1.083e-7
0.616, 8.770e-7, 1.127e-7
0.615, 8.694e-7, 1.170e-7
0.614, 8.618e-7, 1.213e-7
0.613, 9.041e-7, 1.258e-7
0.612, 9.155e-7, 1.304e-7
0.611, 9.174e-7, 1.350e-7
0.610, 9.285e-7, 1.397e-7
0.609, 9.567e-7, 1.444e-7
0.608, 9.823e-7, 1.493e-7
0.607, 9.784e-7, 1.542e-7
0.606, 9.883e-7, 1.592e-7
0.605, 1.014e-6, 1.643e-7
0.604, 1.038e-6, 1.694e-7
0.603, 1.043e-6, 1.747e-7
0.602, 1.043e-6, 1.799e-7
0.601, 1.077e-6, 1.853e-7
0.600, 1.095e-6, 1.907e-7
0.599, 1.096e-6, 1.962e-7
0.598, 1.099e-6, 2.017e-7
0.597, 1.138e-6, 2.074e-7
0.596, 1.157e-6, 2.132e-7
0.595, 1.155e-6, 2.190e-7
0.594, 1.160e-6, 2.248e-7
0.593, 1.197e-6, 2.307e-7
0.592, 1.224e-6, 2.369e-7
0.591, 1.221e-6, 2.430e-7
0.590, 1.230e-6, 2.491e-7
0.589, 1.255e-6, 2.554e-7
0.588, 1.282e-6, 2.618e-7
0.587, 1.287e-6, 2.682e-7
0.586, 1.293e-6, 2.747e-7
0.585, 1.327e-6, 2.813e-7
0.584, 1.346e-6, 2.881e-7
0.583, 1.345e-6, 2.948e-7
0.582, 1.352e-6, 3.016e-7
0.581, 1.396e-6, 3.085e-7
0.580, 1.414e-6, 3.156e-7
0.579, 1.420e-6, 3.227e-7
0.578, 1.430e-6, 3.298e-7
0.577, 1.475e-6, 3.372e-7
0.576, 1.503e-6, 3.447e-7
0.575, 1.501e-6, 3.522e-7
0.574, 1.516e-6, 3.598e-7
0.573, 1.548e-6, 3.676e-7
0.572, 1.574e-6, 3.754e-7
0.571, 1.579e-6, 3.833e-7
0.570, 1.581e-6, 3.912e-7
0.569, 1.619e-6, 3.993e-7
0.568, 1.647e-6, 4.076e-7
0.567, 1.651e-6, 4.158e-7
0.566, 1.656e-6, 4.241e-7
0.565, 1.692e-6, 4.326e-7
0.564, 1.717e-6, 4.411e-7
0.563, 1.729e-6, 4.498e-7
0.562, 1.733e-6, 4.585e-7
0.561, 1.770e-6, 4.673e-7
0.560, 1.796e-6, 4.763e-7
0.559, 1.796e-6, 4.853e-7
0.558, 1.811e-6, 4.943e-7
0.557, 1.845e-6, 5.035e-7
0.556, 1.873e-6, 5.129e-7
0.555, 1.880e-6, 5.223e-7
0.554, 1.886e-6, 5.317e-7
0.553, 1.922e-6, 5.414e-7
0.552, 1.954e-6, 5.511e-7
0.551, 1.960e-6, 5.609e-7
0.550, 1.968e-6, 5.708e-7
0.549, 2.010e-6, 5.808e-7
0.548, 2.033e-6, 5.910e-7
0.547, 2.043e-6, 6.012e-7
0.546, 2.060e-6, 6.115e-7
0.545, 2.091e-6, 6.219e-7
0.544, 2.121e-6, 6.326e-7
0.543, 2.126e-6, 6.432e-7
0.542, 2.142e-6, 6.539e-7
0.541, 2.181e-6, 6.648e-7
0.540, 2.206e-6, 6.758e-7
0.539, 2.225e-6, 6.870e-7
0.538, 2.233e-6, 6.981e-7
0.537, 2.273e-6, 7.095e-7
0.536, 2.304e-6, 7.210e-7
0.535, 2.310e-6, 7.326e-7
0.534, 2.325e-6, 7.442e-7
0.533, 2.373e-6, 7.560e-7
0.532, 2.400e-6, 7.680e-7
0.531, 2.414e-6, 7.801e-7
0.530, 2.425e-6, 7.922e-7
0.529, 2.471e-6, 8.046e-7
0.528, 2.501e-6, 8.171e-7
0.527, 2.511e-6, 8.297e-7
0.526, 2.532e-6, 8.423e-7
0.525, 2.573e-6, 8.552e-7
0.524, 2.604e-6, 8.682e-7
0.523, 2.624e-6, 8.813e-7
0.522, 2.641e-6, 8.945e-7
0.521, 2.685e-6, 9.079e-7
0.520, 2.719e-6, 9.215e-7
0.519, 2.738e-6, 9.352e-7
0.518, 2.750e-6, 9.490e-7
0.517, 2.800e-6, 9.630e-7
0.516, 2.835e-6, 9.772e-7
0.515, 2.853e-6, 9.914e-7
0.514, 2.870e-6, 1.006e-6
0.513, 2.918e-6, 1.020e-6
0.512, 2.973e-6, 1.035e-6
0.511, 2.983e-6, 1.050e-6
0.510, 3.010e-6, 1.065e-6
0.509, 3.055e-6, 1.080e-6
0.508, 3.093e-6, 1.096e-6
0.507, 3.120e-6, 1.112e-6
0.506, 3.135e-6, 1.127e-6
0.505, 3.185e-6, 1.143e-6
0.504, 3.232e-6, 1.159e-6
0.503, 3.245e-6, 1.176e-6
0.502, 3.271e-6, 1.192e-6
0.501, 3.329e-6, 1.209e-6
0.500, 3.362e-6, 1.225e-6
0.499, 3.391e-6, 1.242e-6
0.498, 3.414e-6, 1.259e-6
0.497, 3.464e-6, 1.277e-6
0.496, 3.514e-6, 1.294e-6
0.495, 3.534e-6, 1.312e-6
0.494, 3.563e-6, 1.330e-6
0.493, 3.618e-6, 1.348e-6
0.492, 3.662e-6, 1.366e-6
0.491, 3.694e-6, 1.385e-6
0.490, 3.720e-6, 1.403e-6
0.489, 3.777e-6, 1.422e-6
0.488, 3.823e-6, 1.441e-6
0.487, 3.851e-6, 1.460e-6
0.486, 3.880e-6, 1.480e-6
0.485, 3.941e-6, 1.500e-6
0.484, 3.988e-6, 1.520e-6
0.483, 4.024e-6, 1.540e-6
0.482, 4.052e-6, 1.560e-6
0.481, 4.109e-6, 1.580e-6
0.480, 4.162e-6, 1.601e-6
0.479, 4.191e-6, 1.622e-6
0.478, 4.228e-6, 1.643e-6
0.477, 4.288e-6, 1.665e-6
0.476, 4.342e-6, 1.686e-6
0.475, 4.373e-6, 1.708e-6
0.474, 4.409e-6, 1.730e-6
0.473, 4.471e-6, 1.753e-6
0.472, 4.528e-6, 1.775e-6
0.471, 4.565e-6, 1.798e-6
0.470, 4.618e-6, 1.821e-6
0.469, 4.680e-6, 1.845e-6
0.468, 4.735e-6, 1.868e-6
0.467, 4.780e-6, 1.892e-6
0.466, 4.809e-6, 1.916e-6
0.465, 4.874e-6, 1.941e-6
0.464, 4.936e-6, 1.965e-6
0.463, 4.972e-6, 1.990e-6
0.462, 5.010e-6, 2.015e-6
0.461, 5.079e-6, 2.041e-6
0.460, 5.134e-6, 2.066e-6
0.459, 5.182e-6, 2.092e-6
0.458, 5.215e-6, 2.118e-6
0.457, 5.277e-6, 2.145e-6
0.456, 5.344e-6, 2.171e-6
0.455, 5.382e-6, 2.198e-6
0.454, 5.421e-6, 2.225e-6
0.453, 5.487e-6, 2.253e-6
0.452, 5.547e-6, 2.281e-6
0.451, 5.586e-6, 2.309e-6
0.450, 5.627e-6, 2.337e-6
0.449, 5.693e-6, 2.365e-6
0.448, 5.755e-6, 2.394e-6
0.447, 5.786e-6, 2.423e-6
0.446, 5.830e-6, 2.452e-6
0.445, 5.898e-6, 2.482e-6
0.444, 5.953e-6, 2.511e-6
0.443, 5.997e-6, 2.541e-6
0.442, 6.028e-6, 2.571e-6
0.441, 6.100e-6, 2.602e-6
0.440, 6.171e-6, 2.633e-6
