Nov. 15, 2023   13:07:09
Cyclic Voltammetry
File: c:\users\pku\desktop\zqq\cvo1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:

Segment 2:
Segment 3:
Ep = -0.259V
ip = 2.958e-6A
Ah = 1.992e-7C

Segment 4:

Segment 5:

Segment 6:
Segment 7:
Ep = 0.067V
ip = 1.038e-5A
Ah = 5.101e-7C

Segment 8:

Segment 9:

Segment 10:
Potential/V, Current/A, Charge/C

Segment 1:
0.649, 7.060e-8, 7.060e-10
0.648, 1.012e-7, 1.718e-9
0.647, 1.286e-7, 3.004e-9
0.646, 1.435e-7, 4.438e-9
0.645, 1.611e-7, 6.050e-9
0.644, 1.700e-7, 7.749e-9
0.643, 1.897e-7, 9.646e-9
0.642, 1.915e-7, 1.156e-8
0.641, 2.026e-7, 1.359e-8
0.640, 2.026e-7, 1.561e-8
0.639, 2.161e-7, 1.778e-8
0.638, 2.141e-7, 1.992e-8
0.637, 2.218e-7, 2.213e-8
0.636, 2.200e-7, 2.433e-8
0.635, 2.342e-7, 2.668e-8
0.634, 2.351e-7, 2.903e-8
0.633, 2.458e-7, 3.148e-8
0.632, 2.461e-7, 3.394e-8
0.631, 2.627e-7, 3.657e-8
0.630, 2.674e-7, 3.925e-8
0.629, 2.773e-7, 4.202e-8
0.628, 2.726e-7, 4.474e-8
0.627, 2.861e-7, 4.761e-8
0.626, 2.825e-7, 5.043e-8
0.625, 2.908e-7, 5.334e-8
0.624, 2.862e-7, 5.620e-8
0.623, 2.951e-7, 5.915e-8
0.622, 2.946e-7, 6.210e-8
0.621, 3.066e-7, 6.516e-8
0.620, 3.069e-7, 6.823e-8
0.619, 3.195e-7, 7.143e-8
0.618, 3.194e-7, 7.462e-8
0.617, 3.375e-7, 7.800e-8
0.616, 3.399e-7, 8.140e-8
0.615, 3.460e-7, 8.486e-8
0.614, 3.400e-7, 8.826e-8
0.613, 3.524e-7, 9.178e-8
0.612, 3.525e-7, 9.530e-8
0.611, 3.596e-7, 9.890e-8
0.610, 3.600e-7, 1.025e-7
0.609, 3.655e-7, 1.062e-7
0.608, 3.669e-7, 1.098e-7
0.607, 3.762e-7, 1.136e-7
0.606, 3.824e-7, 1.174e-7
0.605, 3.936e-7, 1.213e-7
0.604, 3.977e-7, 1.253e-7
0.603, 4.145e-7, 1.295e-7
0.602, 4.140e-7, 1.336e-7
0.601, 4.223e-7, 1.378e-7
0.600, 4.238e-7, 1.421e-7
0.599, 4.356e-7, 1.464e-7
0.598, 4.312e-7, 1.507e-7
0.597, 4.406e-7, 1.551e-7
0.596, 4.387e-7, 1.595e-7
0.595, 4.489e-7, 1.640e-7
0.594, 4.522e-7, 1.685e-7
0.593, 4.645e-7, 1.732e-7
0.592, 4.656e-7, 1.778e-7
0.591, 4.820e-7, 1.827e-7
0.590, 4.904e-7, 1.876e-7
0.589, 5.035e-7, 1.926e-7
0.588, 5.052e-7, 1.977e-7
0.587, 5.156e-7, 2.028e-7
0.586, 5.152e-7, 2.080e-7
0.585, 5.210e-7, 2.132e-7
0.584, 5.249e-7, 2.184e-7
0.583, 5.366e-7, 2.238e-7
0.582, 5.370e-7, 2.292e-7
0.581, 5.492e-7, 2.346e-7
0.580, 5.557e-7, 2.402e-7
0.579, 5.663e-7, 2.459e-7
0.578, 5.692e-7, 2.516e-7
0.577, 5.933e-7, 2.575e-7
0.576, 6.020e-7, 2.635e-7
0.575, 6.105e-7, 2.696e-7
0.574, 6.143e-7, 2.758e-7
0.573, 6.281e-7, 2.820e-7
0.572, 6.314e-7, 2.884e-7
0.571, 6.359e-7, 2.947e-7
0.570, 6.412e-7, 3.011e-7
0.569, 6.537e-7, 3.077e-7
0.568, 6.582e-7, 3.142e-7
0.567, 6.718e-7, 3.210e-7
0.566, 6.817e-7, 3.278e-7
0.565, 6.984e-7, 3.348e-7
0.564, 7.084e-7, 3.419e-7
0.563, 7.367e-7, 3.492e-7
0.562, 7.419e-7, 3.566e-7
0.561, 7.569e-7, 3.642e-7
0.560, 7.618e-7, 3.718e-7
0.559, 7.752e-7, 3.796e-7
0.558, 7.723e-7, 3.873e-7
0.557, 7.982e-7, 3.953e-7
0.556, 7.979e-7, 4.033e-7
0.555, 8.166e-7, 4.114e-7
0.554, 8.249e-7, 4.197e-7
0.553, 8.416e-7, 4.281e-7
0.552, 8.510e-7, 4.366e-7
0.551, 8.697e-7, 4.453e-7
0.550, 8.870e-7, 4.542e-7
0.549, 9.024e-7, 4.632e-7
0.548, 9.141e-7, 4.723e-7
0.547, 9.304e-7, 4.816e-7
0.546, 9.390e-7, 4.910e-7
0.545, 9.492e-7, 5.005e-7
0.544, 9.590e-7, 5.101e-7
0.543, 9.781e-7, 5.199e-7
0.542, 9.864e-7, 5.298e-7
0.541, 1.004e-6, 5.398e-7
0.540, 1.022e-6, 5.500e-7
0.539, 1.039e-6, 5.604e-7
0.538, 1.051e-6, 5.709e-7
0.537, 1.079e-6, 5.817e-7
0.536, 1.097e-6, 5.927e-7
0.535, 1.117e-6, 6.038e-7
0.534, 1.130e-6, 6.151e-7
0.533, 1.149e-6, 6.266e-7
0.532, 1.163e-6, 6.383e-7
0.531, 1.172e-6, 6.500e-7
0.530, 1.197e-6, 6.619e-7
0.529, 1.213e-6, 6.741e-7
0.528, 1.227e-6, 6.863e-7
0.527, 1.250e-6, 6.988e-7
0.526, 1.270e-6, 7.115e-7
0.525, 1.291e-6, 7.245e-7
0.524, 1.318e-6, 7.376e-7
0.523, 1.349e-6, 7.511e-7
0.522, 1.367e-6, 7.648e-7
0.521, 1.393e-6, 7.787e-7
0.520, 1.415e-6, 7.929e-7
0.519, 1.436e-6, 8.072e-7
0.518, 1.439e-6, 8.216e-7
0.517, 1.479e-6, 8.364e-7
0.516, 1.497e-6, 8.514e-7
0.515, 1.524e-6, 8.666e-7
0.514, 1.542e-6, 8.820e-7
0.513, 1.574e-6, 8.978e-7
0.512, 1.603e-6, 9.138e-7
0.511, 1.631e-6, 9.301e-7
0.510, 1.669e-6, 9.468e-7
0.509, 1.699e-6, 9.638e-7
0.508, 1.727e-6, 9.811e-7
0.507, 1.759e-6, 9.987e-7
0.506, 1.782e-6, 1.016e-6
0.505, 1.800e-6, 1.034e-6
0.504, 1.838e-6, 1.053e-6
0.503, 1.870e-6, 1.072e-6
0.502, 1.898e-6, 1.091e-6
0.501, 1.929e-6, 1.110e-6
0.500, 1.963e-6, 1.129e-6
0.499, 1.996e-6, 1.149e-6
0.498, 2.027e-6, 1.170e-6
0.497, 2.085e-6, 1.191e-6
0.496, 2.118e-6, 1.212e-6
0.495, 2.160e-6, 1.233e-6
0.494, 2.197e-6, 1.255e-6
0.493, 2.237e-6, 1.278e-6
0.492, 2.266e-6, 1.300e-6
0.491, 2.296e-6, 1.323e-6
0.490, 2.367e-6, 1.347e-6
0.489, 2.398e-6, 1.371e-6
0.488, 2.441e-6, 1.395e-6
0.487, 2.488e-6, 1.420e-6
0.486, 2.529e-6, 1.445e-6
0.485, 2.569e-6, 1.471e-6
0.484, 2.632e-6, 1.497e-6
0.483, 2.696e-6, 1.524e-6
0.482, 2.745e-6, 1.552e-6
0.481, 2.802e-6, 1.580e-6
0.480, 2.858e-6, 1.608e-6
0.479, 2.903e-6, 1.638e-6
0.478, 2.919e-6, 1.667e-6
0.477, 3.022e-6, 1.697e-6
0.476, 3.076e-6, 1.728e-6
0.475, 3.134e-6, 1.759e-6
0.474, 3.193e-6, 1.791e-6
0.473, 3.259e-6, 1.824e-6
0.472, 3.314e-6, 1.857e-6
0.471, 3.384e-6, 1.891e-6
0.470, 3.484e-6, 1.925e-6
0.469, 3.552e-6, 1.961e-6
0.468, 3.629e-6, 1.997e-6
0.467, 3.706e-6, 2.034e-6
0.466, 3.779e-6, 2.072e-6
0.465, 3.814e-6, 2.110e-6
0.464, 3.933e-6, 2.150e-6
0.463, 4.026e-6, 2.190e-6
0.462, 4.093e-6, 2.231e-6
0.461, 4.181e-6, 2.272e-6
0.460, 4.276e-6, 2.315e-6
0.459, 4.363e-6, 2.359e-6
0.458, 4.437e-6, 2.403e-6
0.457, 4.568e-6, 2.449e-6
0.456, 4.677e-6, 2.496e-6
0.455, 4.777e-6, 2.543e-6
0.454, 4.884e-6, 2.592e-6
0.453, 4.993e-6, 2.642e-6
0.452, 5.074e-6, 2.693e-6
0.451, 5.127e-6, 2.744e-6
0.450, 5.308e-6, 2.797e-6
0.449, 5.398e-6, 2.851e-6
0.448, 5.518e-6, 2.907e-6
0.447, 5.633e-6, 2.963e-6
0.446, 5.751e-6, 3.020e-6
0.445, 5.844e-6, 3.079e-6
0.444, 6.003e-6, 3.139e-6
0.443, 6.132e-6, 3.200e-6
0.442, 6.265e-6, 3.263e-6
0.441, 6.408e-6, 3.327e-6
0.440, 6.539e-6, 3.392e-6
0.439, 6.672e-6, 3.459e-6
0.438, 6.739e-6, 3.526e-6
0.437, 6.947e-6, 3.596e-6
0.436, 7.078e-6, 3.667e-6
0.435, 7.207e-6, 3.739e-6
0.434, 7.349e-6, 3.812e-6
0.433, 7.491e-6, 3.887e-6
0.432, 7.610e-6, 3.963e-6
0.431, 7.755e-6, 4.041e-6
0.430, 7.952e-6, 4.120e-6
0.429, 8.086e-6, 4.201e-6
0.428, 8.248e-6, 4.284e-6
0.427, 8.412e-6, 4.368e-6
0.426, 8.571e-6, 4.453e-6
