Nov. 15, 2023   13:09:58
Cyclic Voltammetry
File: c:\users\pku\desktop\zqq\cvo2.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.336V
ip = 1.283e-5A
Ah = 1.172e-5C

Segment 2:
Segment 3:
Ep = 0.345V
ip = 1.329e-5A
Ah = 1.101e-5C

Segment 4:
Segment 5:
Ep = 0.353V
ip = 1.324e-5A
Ah = 1.056e-5C

Ep = -0.248V
ip = 1.778e-6A
Ah = 5.831e-7C

Segment 6:
Segment 7:
Ep = 0.354V
ip = 1.331e-5A
Ah = 1.071e-5C

Segment 8:
Segment 9:
Ep = 0.356V
ip = 1.363e-5A
Ah = 1.087e-5C

Segment 10:
Potential/V, Current/A, Charge/C

Segment 1:
0.649, 6.555e-8, 6.555e-10
0.648, 1.089e-7, 1.745e-9
0.647, 1.229e-7, 2.974e-9
0.646, 1.458e-7, 4.431e-9
0.645, 1.496e-7, 5.927e-9
0.644, 1.693e-7, 7.620e-9
0.643, 1.710e-7, 9.330e-9
0.642, 1.882e-7, 1.121e-8
0.641, 1.907e-7, 1.312e-8
0.640, 2.007e-7, 1.513e-8
0.639, 2.021e-7, 1.715e-8
0.638, 2.185e-7, 1.933e-8
0.637, 2.183e-7, 2.152e-8
0.636, 2.317e-7, 2.383e-8
0.635, 2.298e-7, 2.613e-8
0.634, 2.432e-7, 2.856e-8
0.633, 2.426e-7, 3.099e-8
0.632, 2.545e-7, 3.353e-8
0.631, 2.517e-7, 3.605e-8
0.630, 2.662e-7, 3.871e-8
0.629, 2.654e-7, 4.137e-8
0.628, 2.749e-7, 4.412e-8
0.627, 2.725e-7, 4.684e-8
0.626, 2.860e-7, 4.970e-8
0.625, 2.867e-7, 5.257e-8
0.624, 2.961e-7, 5.553e-8
0.623, 2.950e-7, 5.848e-8
0.622, 3.105e-7, 6.158e-8
0.621, 3.046e-7, 6.463e-8
0.620, 3.176e-7, 6.781e-8
0.619, 3.171e-7, 7.098e-8
0.618, 3.294e-7, 7.427e-8
0.617, 3.273e-7, 7.754e-8
0.616, 3.406e-7, 8.095e-8
0.615, 3.387e-7, 8.434e-8
0.614, 3.420e-7, 8.776e-8
0.613, 3.443e-7, 9.120e-8
0.612, 3.609e-7, 9.481e-8
0.611, 3.593e-7, 9.840e-8
0.610, 3.690e-7, 1.021e-7
0.609, 3.686e-7, 1.058e-7
0.608, 3.843e-7, 1.096e-7
0.607, 3.793e-7, 1.134e-7
0.606, 3.926e-7, 1.173e-7
0.605, 3.915e-7, 1.213e-7
0.604, 4.065e-7, 1.253e-7
0.603, 4.062e-7, 1.294e-7
0.602, 4.162e-7, 1.335e-7
0.601, 4.155e-7, 1.377e-7
0.600, 4.323e-7, 1.420e-7
0.599, 4.292e-7, 1.463e-7
0.598, 4.399e-7, 1.507e-7
0.597, 4.399e-7, 1.551e-7
0.596, 4.551e-7, 1.597e-7
0.595, 4.524e-7, 1.642e-7
0.594, 4.645e-7, 1.688e-7
0.593, 4.657e-7, 1.735e-7
0.592, 4.809e-7, 1.783e-7
0.591, 4.798e-7, 1.831e-7
0.590, 4.933e-7, 1.880e-7
0.589, 4.908e-7, 1.929e-7
0.588, 5.095e-7, 1.980e-7
0.587, 5.102e-7, 2.031e-7
0.586, 5.244e-7, 2.084e-7
0.585, 5.232e-7, 2.136e-7
0.584, 5.370e-7, 2.190e-7
0.583, 5.366e-7, 2.243e-7
0.582, 5.534e-7, 2.299e-7
0.581, 5.531e-7, 2.354e-7
0.580, 5.661e-7, 2.411e-7
0.579, 5.672e-7, 2.467e-7
0.578, 5.835e-7, 2.526e-7
0.577, 5.849e-7, 2.584e-7
0.576, 6.027e-7, 2.645e-7
0.575, 6.021e-7, 2.705e-7
0.574, 6.169e-7, 2.766e-7
0.573, 6.170e-7, 2.828e-7
0.572, 6.345e-7, 2.892e-7
0.571, 6.356e-7, 2.955e-7
0.570, 6.539e-7, 3.021e-7
0.569, 6.551e-7, 3.086e-7
0.568, 6.709e-7, 3.153e-7
0.567, 6.740e-7, 3.221e-7
0.566, 6.899e-7, 3.290e-7
0.565, 6.931e-7, 3.359e-7
0.564, 7.118e-7, 3.430e-7
0.563, 7.182e-7, 3.502e-7
0.562, 7.399e-7, 3.576e-7
0.561, 7.441e-7, 3.650e-7
0.560, 7.624e-7, 3.727e-7
0.559, 7.655e-7, 3.803e-7
0.558, 7.831e-7, 3.881e-7
0.557, 7.872e-7, 3.960e-7
0.556, 8.071e-7, 4.041e-7
0.555, 8.119e-7, 4.122e-7
0.554, 8.303e-7, 4.205e-7
0.553, 8.326e-7, 4.288e-7
0.552, 8.547e-7, 4.374e-7
0.551, 8.568e-7, 4.459e-7
0.550, 8.790e-7, 4.547e-7
0.549, 8.819e-7, 4.636e-7
0.548, 9.035e-7, 4.726e-7
0.547, 9.101e-7, 4.817e-7
0.546, 9.302e-7, 4.910e-7
0.545, 9.362e-7, 5.004e-7
0.544, 9.572e-7, 5.099e-7
0.543, 9.644e-7, 5.196e-7
0.542, 9.873e-7, 5.294e-7
0.541, 9.948e-7, 5.394e-7
0.540, 1.019e-6, 5.496e-7
0.539, 1.025e-6, 5.598e-7
0.538, 1.047e-6, 5.703e-7
0.537, 1.052e-6, 5.808e-7
0.536, 1.077e-6, 5.916e-7
0.535, 1.086e-6, 6.024e-7
0.534, 1.112e-6, 6.136e-7
0.533, 1.121e-6, 6.248e-7
0.532, 1.145e-6, 6.362e-7
0.531, 1.152e-6, 6.477e-7
0.530, 1.178e-6, 6.595e-7
0.529, 1.192e-6, 6.714e-7
0.528, 1.217e-6, 6.836e-7
0.527, 1.225e-6, 6.959e-7
0.526, 1.252e-6, 7.084e-7
0.525, 1.264e-6, 7.210e-7
0.524, 1.292e-6, 7.339e-7
0.523, 1.305e-6, 7.470e-7
0.522, 1.331e-6, 7.603e-7
0.521, 1.344e-6, 7.737e-7
0.520, 1.373e-6, 7.875e-7
0.519, 1.389e-6, 8.014e-7
0.518, 1.416e-6, 8.155e-7
0.517, 1.431e-6, 8.298e-7
0.516, 1.462e-6, 8.444e-7
0.515, 1.479e-6, 8.592e-7
0.514, 1.511e-6, 8.743e-7
0.513, 1.527e-6, 8.896e-7
0.512, 1.563e-6, 9.052e-7
0.511, 1.579e-6, 9.210e-7
0.510, 1.611e-6, 9.371e-7
0.509, 1.630e-6, 9.535e-7
0.508, 1.662e-6, 9.701e-7
0.507, 1.685e-6, 9.869e-7
0.506, 1.716e-6, 1.004e-6
0.505, 1.737e-6, 1.021e-6
0.504, 1.775e-6, 1.039e-6
0.503, 1.795e-6, 1.057e-6
0.502, 1.832e-6, 1.075e-6
0.501, 1.856e-6, 1.094e-6
0.500, 1.895e-6, 1.113e-6
0.499, 1.917e-6, 1.132e-6
0.498, 1.958e-6, 1.152e-6
0.497, 1.983e-6, 1.172e-6
0.496, 2.025e-6, 1.192e-6
0.495, 2.051e-6, 1.212e-6
0.494, 2.098e-6, 1.233e-6
0.493, 2.124e-6, 1.255e-6
0.492, 2.169e-6, 1.276e-6
0.491, 2.198e-6, 1.298e-6
0.490, 2.244e-6, 1.321e-6
0.489, 2.278e-6, 1.343e-6
0.488, 2.335e-6, 1.367e-6
0.487, 2.368e-6, 1.390e-6
0.486, 2.416e-6, 1.415e-6
0.485, 2.451e-6, 1.439e-6
0.484, 2.503e-6, 1.464e-6
0.483, 2.541e-6, 1.490e-6
0.482, 2.594e-6, 1.515e-6
0.481, 2.635e-6, 1.542e-6
0.480, 2.691e-6, 1.569e-6
0.479, 2.733e-6, 1.596e-6
0.478, 2.792e-6, 1.624e-6
0.477, 2.835e-6, 1.652e-6
0.476, 2.896e-6, 1.681e-6
0.475, 2.945e-6, 1.711e-6
0.474, 3.007e-6, 1.741e-6
0.473, 3.065e-6, 1.771e-6
0.472, 3.134e-6, 1.803e-6
0.471, 3.184e-6, 1.835e-6
0.470, 3.252e-6, 1.867e-6
0.469, 3.308e-6, 1.900e-6
0.468, 3.380e-6, 1.934e-6
0.467, 3.439e-6, 1.968e-6
0.466, 3.515e-6, 2.004e-6
0.465, 3.576e-6, 2.039e-6
0.464, 3.656e-6, 2.076e-6
0.463, 3.721e-6, 2.113e-6
0.462, 3.802e-6, 2.151e-6
0.461, 3.880e-6, 2.190e-6
0.460, 3.967e-6, 2.230e-6
0.459, 4.041e-6, 2.270e-6
0.458, 4.129e-6, 2.311e-6
0.457, 4.204e-6, 2.353e-6
0.456, 4.298e-6, 2.396e-6
0.455, 4.377e-6, 2.440e-6
0.454, 4.472e-6, 2.485e-6
0.453, 4.555e-6, 2.530e-6
0.452, 4.658e-6, 2.577e-6
0.451, 4.743e-6, 2.624e-6
0.450, 4.846e-6, 2.673e-6
0.449, 4.935e-6, 2.722e-6
0.448, 5.043e-6, 2.773e-6
0.447, 5.136e-6, 2.824e-6
0.446, 5.249e-6, 2.876e-6
0.445, 5.344e-6, 2.930e-6
0.444, 5.469e-6, 2.985e-6
0.443, 5.571e-6, 3.040e-6
0.442, 5.687e-6, 3.097e-6
0.441, 5.792e-6, 3.155e-6
0.440, 5.913e-6, 3.214e-6
0.439, 6.022e-6, 3.274e-6
0.438, 6.147e-6, 3.336e-6
0.437, 6.265e-6, 3.399e-6
0.436, 6.389e-6, 3.462e-6
0.435, 6.502e-6, 3.527e-6
0.434, 6.633e-6, 3.594e-6
0.433, 6.752e-6, 3.661e-6
