Nov. 15, 2023   13:13:05
Cyclic Voltammetry
File: c:\users\pku\desktop\zqq\cvo3.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.358V
ip = 1.427e-5A
Ah = 1.151e-5C

Ep = -0.103V
ip = 6.498e-7A
Ah = 2.314e-7C

Segment 2:
Segment 3:
Ep = 0.357V
ip = 1.050e-5A
Ah = 8.694e-6C

Ep = -0.117V
ip = 8.669e-7A
Ah = 4.371e-7C

Segment 4:
Segment 5:
Ep = 0.361V
ip = 1.019e-5A
Ah = 8.221e-6C

Ep = -0.103V
ip = 9.226e-7A
Ah = 3.547e-7C

Segment 6:
Segment 7:
Ep = 0.362V
ip = 1.024e-5A
Ah = 8.294e-6C

Ep = -0.114V
ip = 9.561e-7A
Ah = 4.708e-7C

Segment 8:
Segment 9:
Ep = 0.365V
ip = 1.032e-5A
Ah = 8.126e-6C

Ep = -0.111V
ip = 9.673e-7A
Ah = 4.441e-7C

Segment 10:
Potential/V, Current/A, Charge/C

Segment 1:
0.649, 8.416e-8, 8.416e-10
0.648, 1.309e-7, 2.150e-9
0.647, 1.426e-7, 3.576e-9
0.646, 1.669e-7, 5.246e-9
0.645, 1.704e-7, 6.950e-9
0.644, 1.897e-7, 8.847e-9
0.643, 1.922e-7, 1.077e-8
0.642, 2.096e-7, 1.286e-8
0.641, 2.094e-7, 1.496e-8
0.640, 2.232e-7, 1.719e-8
0.639, 2.212e-7, 1.940e-8
0.638, 2.408e-7, 2.181e-8
0.637, 2.390e-7, 2.420e-8
0.636, 2.496e-7, 2.670e-8
0.635, 2.505e-7, 2.920e-8
0.634, 2.664e-7, 3.187e-8
0.633, 2.629e-7, 3.449e-8
0.632, 2.743e-7, 3.724e-8
0.631, 2.711e-7, 3.995e-8
0.630, 2.872e-7, 4.282e-8
0.629, 2.839e-7, 4.566e-8
0.628, 2.969e-7, 4.863e-8
0.627, 2.944e-7, 5.157e-8
0.626, 3.087e-7, 5.466e-8
0.625, 3.064e-7, 5.772e-8
0.624, 3.183e-7, 6.091e-8
0.623, 3.154e-7, 6.406e-8
0.622, 3.290e-7, 6.735e-8
0.621, 3.264e-7, 7.061e-8
0.620, 3.410e-7, 7.402e-8
0.619, 3.388e-7, 7.741e-8
0.618, 3.505e-7, 8.092e-8
0.617, 3.470e-7, 8.439e-8
0.616, 3.629e-7, 8.802e-8
0.615, 3.599e-7, 9.161e-8
0.614, 3.651e-7, 9.527e-8
0.613, 3.666e-7, 9.893e-8
0.612, 3.813e-7, 1.027e-7
0.611, 3.787e-7, 1.065e-7
0.610, 3.918e-7, 1.104e-7
0.609, 3.909e-7, 1.144e-7
0.608, 4.068e-7, 1.184e-7
0.607, 4.028e-7, 1.225e-7
0.606, 4.173e-7, 1.266e-7
0.605, 4.155e-7, 1.308e-7
0.604, 4.330e-7, 1.351e-7
0.603, 4.298e-7, 1.394e-7
0.602, 4.410e-7, 1.438e-7
0.601, 4.383e-7, 1.482e-7
0.600, 4.566e-7, 1.528e-7
0.599, 4.528e-7, 1.573e-7
0.598, 4.657e-7, 1.620e-7
0.597, 4.643e-7, 1.666e-7
0.596, 4.810e-7, 1.714e-7
0.595, 4.798e-7, 1.762e-7
0.594, 4.931e-7, 1.811e-7
0.593, 4.925e-7, 1.861e-7
0.592, 5.102e-7, 1.912e-7
0.591, 5.080e-7, 1.962e-7
0.590, 5.233e-7, 2.015e-7
0.589, 5.203e-7, 2.067e-7
0.588, 5.368e-7, 2.120e-7
0.587, 5.379e-7, 2.174e-7
0.586, 5.551e-7, 2.230e-7
0.585, 5.529e-7, 2.285e-7
0.584, 5.669e-7, 2.342e-7
0.583, 5.656e-7, 2.398e-7
0.582, 5.849e-7, 2.457e-7
0.581, 5.843e-7, 2.515e-7
0.580, 6.032e-7, 2.576e-7
0.579, 6.033e-7, 2.636e-7
0.578, 6.175e-7, 2.698e-7
0.577, 6.188e-7, 2.760e-7
0.576, 6.361e-7, 2.823e-7
0.575, 6.364e-7, 2.887e-7
0.574, 6.571e-7, 2.952e-7
0.573, 6.570e-7, 3.018e-7
0.572, 6.719e-7, 3.085e-7
0.571, 6.773e-7, 3.153e-7
0.570, 6.951e-7, 3.223e-7
0.569, 6.940e-7, 3.292e-7
0.568, 7.184e-7, 3.364e-7
0.567, 7.186e-7, 3.436e-7
0.566, 7.441e-7, 3.510e-7
0.565, 7.478e-7, 3.585e-7
0.564, 7.662e-7, 3.662e-7
0.563, 7.728e-7, 3.739e-7
0.562, 7.877e-7, 3.818e-7
0.561, 7.919e-7, 3.897e-7
0.560, 8.129e-7, 3.978e-7
0.559, 8.175e-7, 4.060e-7
0.558, 8.388e-7, 4.144e-7
0.557, 8.410e-7, 4.228e-7
0.556, 8.596e-7, 4.314e-7
0.555, 8.669e-7, 4.400e-7
0.554, 8.873e-7, 4.489e-7
0.553, 8.938e-7, 4.579e-7
0.552, 9.172e-7, 4.670e-7
0.551, 9.228e-7, 4.763e-7
0.550, 9.428e-7, 4.857e-7
0.549, 9.493e-7, 4.952e-7
0.548, 9.722e-7, 5.049e-7
0.547, 9.769e-7, 5.147e-7
0.546, 1.001e-6, 5.247e-7
0.545, 1.007e-6, 5.347e-7
0.544, 1.031e-6, 5.451e-7
0.543, 1.039e-6, 5.554e-7
0.542, 1.065e-6, 5.661e-7
0.541, 1.072e-6, 5.768e-7
0.540, 1.097e-6, 5.878e-7
0.539, 1.105e-6, 5.988e-7
0.538, 1.131e-6, 6.101e-7
0.537, 1.140e-6, 6.216e-7
0.536, 1.167e-6, 6.332e-7
0.535, 1.175e-6, 6.450e-7
0.534, 1.203e-6, 6.570e-7
0.533, 1.216e-6, 6.692e-7
0.532, 1.243e-6, 6.816e-7
0.531, 1.252e-6, 6.941e-7
0.530, 1.282e-6, 7.069e-7
0.529, 1.295e-6, 7.199e-7
0.528, 1.324e-6, 7.331e-7
0.527, 1.337e-6, 7.465e-7
0.526, 1.368e-6, 7.602e-7
0.525, 1.382e-6, 7.740e-7
0.524, 1.414e-6, 7.881e-7
0.523, 1.426e-6, 8.024e-7
0.522, 1.459e-6, 8.170e-7
0.521, 1.473e-6, 8.317e-7
0.520, 1.511e-6, 8.468e-7
0.519, 1.527e-6, 8.621e-7
0.518, 1.559e-6, 8.777e-7
0.517, 1.578e-6, 8.935e-7
0.516, 1.614e-6, 9.096e-7
0.515, 1.633e-6, 9.259e-7
0.514, 1.670e-6, 9.426e-7
0.513, 1.688e-6, 9.595e-7
0.512, 1.729e-6, 9.768e-7
0.511, 1.749e-6, 9.943e-7
0.510, 1.789e-6, 1.012e-6
0.509, 1.811e-6, 1.030e-6
0.508, 1.852e-6, 1.049e-6
0.507, 1.876e-6, 1.068e-6
0.506, 1.915e-6, 1.087e-6
0.505, 1.939e-6, 1.106e-6
0.504, 1.984e-6, 1.126e-6
0.503, 2.010e-6, 1.146e-6
0.502, 2.058e-6, 1.167e-6
0.501, 2.086e-6, 1.187e-6
0.500, 2.131e-6, 1.209e-6
0.499, 2.159e-6, 1.230e-6
0.498, 2.209e-6, 1.252e-6
0.497, 2.241e-6, 1.275e-6
0.496, 2.300e-6, 1.298e-6
0.495, 2.335e-6, 1.321e-6
0.494, 2.390e-6, 1.345e-6
0.493, 2.425e-6, 1.369e-6
0.492, 2.480e-6, 1.394e-6
0.491, 2.519e-6, 1.419e-6
0.490, 2.576e-6, 1.445e-6
0.489, 2.617e-6, 1.471e-6
0.488, 2.678e-6, 1.498e-6
0.487, 2.719e-6, 1.525e-6
0.486, 2.782e-6, 1.553e-6
0.485, 2.829e-6, 1.581e-6
0.484, 2.894e-6, 1.610e-6
0.483, 2.944e-6, 1.640e-6
0.482, 3.012e-6, 1.670e-6
0.481, 3.075e-6, 1.701e-6
0.480, 3.145e-6, 1.732e-6
0.479, 3.202e-6, 1.764e-6
0.478, 3.279e-6, 1.797e-6
0.477, 3.339e-6, 1.830e-6
0.476, 3.417e-6, 1.864e-6
0.475, 3.481e-6, 1.899e-6
0.474, 3.564e-6, 1.935e-6
0.473, 3.630e-6, 1.971e-6
0.472, 3.718e-6, 2.008e-6
0.471, 3.791e-6, 2.046e-6
0.470, 3.891e-6, 2.085e-6
0.469, 3.969e-6, 2.125e-6
0.468, 4.063e-6, 2.166e-6
0.467, 4.143e-6, 2.207e-6
0.466, 4.240e-6, 2.249e-6
0.465, 4.329e-6, 2.293e-6
0.464, 4.431e-6, 2.337e-6
0.463, 4.522e-6, 2.382e-6
0.462, 4.634e-6, 2.429e-6
0.461, 4.730e-6, 2.476e-6
0.460, 4.845e-6, 2.524e-6
0.459, 4.944e-6, 2.574e-6
0.458, 5.063e-6, 2.624e-6
0.457, 5.167e-6, 2.676e-6
0.456, 5.291e-6, 2.729e-6
0.455, 5.402e-6, 2.783e-6
0.454, 5.536e-6, 2.838e-6
0.453, 5.650e-6, 2.895e-6
0.452, 5.782e-6, 2.953e-6
0.451, 5.901e-6, 3.012e-6
0.450, 6.038e-6, 3.072e-6
0.449, 6.166e-6, 3.134e-6
0.448, 6.311e-6, 3.197e-6
0.447, 6.438e-6, 3.261e-6
0.446, 6.585e-6, 3.327e-6
0.445, 6.716e-6, 3.394e-6
0.444, 6.866e-6, 3.463e-6
0.443, 7.011e-6, 3.533e-6
0.442, 7.164e-6, 3.605e-6
0.441, 7.301e-6, 3.678e-6
0.440, 7.460e-6, 3.752e-6
