Nov. 15, 2023   12:11:44
Cyclic Voltammetry
File: c:\users\pku\desktop\zqq\cvblank2.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-6

Segment 1:
Ep = 0.424V
ip = 4.158e-6A
Ah = 1.830e-6C

Ep = -0.096V
ip = 2.333e-6A
Ah = 6.511e-7C

Segment 2:

Segment 3:
Ep = 0.418V
ip = 3.424e-6A
Ah = 1.510e-6C

Ep = -0.170V
ip = 2.395e-6A
Ah = 1.431e-6C

Segment 4:

Segment 5:
Ep = 0.419V
ip = 3.413e-6A
Ah = 1.515e-6C

Ep = -0.170V
ip = 2.387e-6A
Ah = 1.416e-6C

Segment 6:

Segment 7:
Ep = 0.419V
ip = 3.429e-6A
Ah = 1.514e-6C

Ep = -0.169V
ip = 2.368e-6A
Ah = 1.409e-6C

Segment 8:
Ep = -0.067V
ip = -1.105e-6A
Ah = -2.033e-7C

Segment 9:
Ep = 0.421V
ip = 3.446e-6A
Ah = 1.474e-6C

Ep = -0.171V
ip = 2.407e-6A
Ah = 1.449e-6C

Segment 10:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 2.198e-7, 1.099e-9
0.648, 2.472e-7, 2.335e-9
0.647, 2.408e-7, 3.539e-9
0.646, 2.479e-7, 4.779e-9
0.645, 2.802e-7, 6.180e-9
0.644, 2.842e-7, 7.601e-9
0.643, 2.797e-7, 8.999e-9
0.642, 2.843e-7, 1.042e-8
0.641, 3.064e-7, 1.195e-8
0.640, 3.177e-7, 1.354e-8
0.639, 3.150e-7, 1.512e-8
0.638, 3.180e-7, 1.671e-8
0.637, 3.396e-7, 1.840e-8
0.636, 3.483e-7, 2.015e-8
0.635, 3.403e-7, 2.185e-8
0.634, 3.408e-7, 2.355e-8
0.633, 3.667e-7, 2.538e-8
0.632, 3.804e-7, 2.729e-8
0.631, 3.620e-7, 2.910e-8
0.630, 3.748e-7, 3.097e-8
0.629, 4.007e-7, 3.297e-8
0.628, 4.052e-7, 3.500e-8
0.627, 3.973e-7, 3.699e-8
0.626, 4.016e-7, 3.899e-8
0.625, 4.280e-7, 4.113e-8
0.624, 4.385e-7, 4.333e-8
0.623, 4.291e-7, 4.547e-8
0.622, 4.370e-7, 4.766e-8
0.621, 4.627e-7, 4.997e-8
0.620, 4.732e-7, 5.234e-8
0.619, 4.690e-7, 5.468e-8
0.618, 4.715e-7, 5.704e-8
0.617, 4.989e-7, 5.953e-8
0.616, 5.138e-7, 6.210e-8
0.615, 5.025e-7, 6.461e-8
0.614, 4.930e-7, 6.708e-8
0.613, 5.405e-7, 6.978e-8
0.612, 5.495e-7, 7.253e-8
0.611, 5.468e-7, 7.526e-8
0.610, 5.557e-7, 7.804e-8
0.609, 5.871e-7, 8.098e-8
0.608, 6.009e-7, 8.398e-8
0.607, 5.970e-7, 8.697e-8
0.606, 6.022e-7, 8.998e-8
0.605, 6.382e-7, 9.317e-8
0.604, 6.500e-7, 9.642e-8
0.603, 6.518e-7, 9.968e-8
0.602, 6.541e-7, 1.029e-7
0.601, 6.926e-7, 1.064e-7
0.600, 7.097e-7, 1.100e-7
0.599, 7.067e-7, 1.135e-7
0.598, 7.158e-7, 1.171e-7
0.597, 7.593e-7, 1.209e-7
0.596, 7.684e-7, 1.247e-7
0.595, 7.728e-7, 1.286e-7
0.594, 7.834e-7, 1.325e-7
0.593, 8.185e-7, 1.366e-7
0.592, 8.405e-7, 1.408e-7
0.591, 8.362e-7, 1.450e-7
0.590, 8.529e-7, 1.492e-7
0.589, 8.882e-7, 1.537e-7
0.588, 9.134e-7, 1.582e-7
0.587, 9.217e-7, 1.628e-7
0.586, 9.322e-7, 1.675e-7
0.585, 9.723e-7, 1.724e-7
0.584, 9.963e-7, 1.774e-7
0.583, 9.950e-7, 1.823e-7
0.582, 1.010e-6, 1.874e-7
0.581, 1.055e-6, 1.927e-7
0.580, 1.074e-6, 1.980e-7
0.579, 1.082e-6, 2.034e-7
0.578, 1.096e-6, 2.089e-7
0.577, 1.141e-6, 2.146e-7
0.576, 1.161e-6, 2.204e-7
0.575, 1.169e-6, 2.263e-7
0.574, 1.190e-6, 2.322e-7
0.573, 1.235e-6, 2.384e-7
0.572, 1.257e-6, 2.447e-7
0.571, 1.270e-6, 2.510e-7
0.570, 1.285e-6, 2.575e-7
0.569, 1.328e-6, 2.641e-7
0.568, 1.362e-6, 2.709e-7
0.567, 1.361e-6, 2.777e-7
0.566, 1.386e-6, 2.846e-7
0.565, 1.438e-6, 2.918e-7
0.564, 1.459e-6, 2.991e-7
0.563, 1.476e-6, 3.065e-7
0.562, 1.488e-6, 3.139e-7
0.561, 1.536e-6, 3.216e-7
0.560, 1.570e-6, 3.295e-7
0.559, 1.580e-6, 3.374e-7
0.558, 1.601e-6, 3.454e-7
0.557, 1.645e-6, 3.536e-7
0.556, 1.671e-6, 3.620e-7
0.555, 1.692e-6, 3.704e-7
0.554, 1.706e-6, 3.789e-7
0.553, 1.757e-6, 3.877e-7
0.552, 1.793e-6, 3.967e-7
0.551, 1.801e-6, 4.057e-7
0.550, 1.816e-6, 4.148e-7
0.549, 1.878e-6, 4.242e-7
0.548, 1.903e-6, 4.337e-7
0.547, 1.921e-6, 4.433e-7
0.546, 1.936e-6, 4.530e-7
0.545, 1.988e-6, 4.629e-7
0.544, 2.021e-6, 4.730e-7
0.543, 2.037e-6, 4.832e-7
0.542, 2.061e-6, 4.935e-7
0.541, 2.114e-6, 5.041e-7
0.540, 2.144e-6, 5.148e-7
0.539, 2.171e-6, 5.257e-7
0.538, 2.190e-6, 5.366e-7
0.537, 2.244e-6, 5.478e-7
0.536, 2.275e-6, 5.592e-7
0.535, 2.297e-6, 5.707e-7
0.534, 2.319e-6, 5.823e-7
0.533, 2.374e-6, 5.941e-7
0.532, 2.407e-6, 6.062e-7
0.531, 2.426e-6, 6.183e-7
0.530, 2.451e-6, 6.306e-7
0.529, 2.506e-6, 6.431e-7
0.528, 2.547e-6, 6.558e-7
0.527, 2.561e-6, 6.686e-7
0.526, 2.586e-6, 6.816e-7
0.525, 2.644e-6, 6.948e-7
0.524, 2.683e-6, 7.082e-7
0.523, 2.708e-6, 7.217e-7
0.522, 2.729e-6, 7.354e-7
0.521, 2.782e-6, 7.493e-7
0.520, 2.832e-6, 7.635e-7
0.519, 2.852e-6, 7.777e-7
0.518, 2.880e-6, 7.921e-7
0.517, 2.938e-6, 8.068e-7
0.516, 2.976e-6, 8.217e-7
0.515, 3.002e-6, 8.367e-7
0.514, 3.029e-6, 8.518e-7
0.513, 3.089e-6, 8.673e-7
0.512, 3.141e-6, 8.830e-7
0.511, 3.158e-6, 8.988e-7
0.510, 3.186e-6, 9.147e-7
0.509, 3.247e-6, 9.309e-7
0.508, 3.289e-6, 9.474e-7
0.507, 3.321e-6, 9.640e-7
0.506, 3.341e-6, 9.807e-7
0.505, 3.405e-6, 9.977e-7
0.504, 3.455e-6, 1.015e-6
0.503, 3.477e-6, 1.032e-6
0.502, 3.507e-6, 1.050e-6
0.501, 3.569e-6, 1.068e-6
0.500, 3.617e-6, 1.086e-6
0.499, 3.640e-6, 1.104e-6
0.498, 3.669e-6, 1.122e-6
0.497, 3.737e-6, 1.141e-6
0.496, 3.788e-6, 1.160e-6
0.495, 3.813e-6, 1.179e-6
0.494, 3.848e-6, 1.198e-6
0.493, 3.907e-6, 1.218e-6
0.492, 3.949e-6, 1.238e-6
0.491, 3.983e-6, 1.258e-6
0.490, 4.015e-6, 1.278e-6
0.489, 4.076e-6, 1.298e-6
0.488, 4.134e-6, 1.319e-6
0.487, 4.154e-6, 1.339e-6
0.486, 4.185e-6, 1.360e-6
0.485, 4.251e-6, 1.382e-6
0.484, 4.297e-6, 1.403e-6
0.483, 4.323e-6, 1.425e-6
0.482, 4.352e-6, 1.446e-6
0.481, 4.419e-6, 1.469e-6
0.480, 4.468e-6, 1.491e-6
0.479, 4.493e-6, 1.513e-6
0.478, 4.528e-6, 1.536e-6
0.477, 4.595e-6, 1.559e-6
0.476, 4.639e-6, 1.582e-6
0.475, 4.669e-6, 1.606e-6
0.474, 4.700e-6, 1.629e-6
0.473, 4.766e-6, 1.653e-6
0.472, 4.808e-6, 1.677e-6
0.471, 4.837e-6, 1.701e-6
0.470, 4.868e-6, 1.725e-6
0.469, 4.929e-6, 1.750e-6
0.468, 4.983e-6, 1.775e-6
0.467, 5.009e-6, 1.800e-6
0.466, 5.036e-6, 1.825e-6
0.465, 5.097e-6, 1.851e-6
0.464, 5.145e-6, 1.876e-6
0.463, 5.165e-6, 1.902e-6
0.462, 5.196e-6, 1.928e-6
0.461, 5.255e-6, 1.954e-6
0.460, 5.305e-6, 1.981e-6
0.459, 5.331e-6, 2.008e-6
0.458, 5.347e-6, 2.034e-6
0.457, 5.401e-6, 2.061e-6
0.456, 5.450e-6, 2.089e-6
0.455, 5.463e-6, 2.116e-6
0.454, 5.489e-6, 2.143e-6
0.453, 5.541e-6, 2.171e-6
0.452, 5.578e-6, 2.199e-6
0.451, 5.594e-6, 2.227e-6
0.450, 5.612e-6, 2.255e-6
0.449, 5.663e-6, 2.283e-6
0.448, 5.699e-6, 2.312e-6
0.447, 5.709e-6, 2.340e-6
0.446, 5.725e-6, 2.369e-6
0.445, 5.773e-6, 2.398e-6
0.444, 5.799e-6, 2.427e-6
0.443, 5.813e-6, 2.456e-6
0.442, 5.823e-6, 2.485e-6
0.441, 5.860e-6, 2.514e-6
