Nov. 15, 2023   12:09:43
Cyclic Voltammetry
File: c:\users\pku\desktop\zqq\cvblank5.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = N
Scan Rate (V/s) = 0.5
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-6

Segment 1:
Ep = 0.409V
ip = 8.569e-6A
Ah = 1.614e-6C

Ep = -0.092V
ip = 5.351e-6A
Ah = 5.573e-7C

Segment 2:

Segment 3:
Ep = 0.409V
ip = 7.267e-6A
Ah = 1.285e-6C

Ep = -0.090V
ip = 5.350e-6A
Ah = 5.344e-7C

Segment 4:

Segment 5:
Ep = 0.403V
ip = 7.262e-6A
Ah = 1.380e-6C

Ep = -0.088V
ip = 5.381e-6A
Ah = 5.220e-7C

Segment 6:

Segment 7:
Ep = 0.404V
ip = 7.280e-6A
Ah = 1.364e-6C

Ep = -0.086V
ip = 5.382e-6A
Ah = 5.014e-7C

Segment 8:

Segment 9:
Ep = 0.407V
ip = 7.332e-6A
Ah = 1.320e-6C

Ep = -0.094V
ip = 5.408e-6A
Ah = 5.922e-7C

Segment 10:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 3.239e-7, 6.478e-10
0.648, 5.631e-7, 1.774e-9
0.647, 6.169e-7, 3.008e-9
0.646, 6.435e-7, 4.295e-9
0.645, 6.575e-7, 5.610e-9
0.644, 6.902e-7, 6.990e-9
0.643, 7.127e-7, 8.416e-9
0.642, 7.468e-7, 9.909e-9
0.641, 7.490e-7, 1.141e-8
0.640, 7.739e-7, 1.296e-8
0.639, 7.801e-7, 1.452e-8
0.638, 7.877e-7, 1.609e-8
0.637, 7.887e-7, 1.767e-8
0.636, 8.185e-7, 1.931e-8
0.635, 8.166e-7, 2.094e-8
0.634, 8.397e-7, 2.262e-8
0.633, 8.574e-7, 2.433e-8
0.632, 8.901e-7, 2.611e-8
0.631, 8.992e-7, 2.791e-8
0.630, 9.213e-7, 2.975e-8
0.629, 9.230e-7, 3.160e-8
0.628, 9.461e-7, 3.349e-8
0.627, 9.304e-7, 3.535e-8
0.626, 9.631e-7, 3.728e-8
0.625, 9.774e-7, 3.923e-8
0.624, 9.862e-7, 4.121e-8
0.623, 1.025e-6, 4.326e-8
0.622, 1.047e-6, 4.535e-8
0.621, 1.058e-6, 4.747e-8
0.620, 1.084e-6, 4.963e-8
0.619, 1.092e-6, 5.182e-8
0.618, 1.107e-6, 5.403e-8
0.617, 1.112e-6, 5.626e-8
0.616, 1.135e-6, 5.853e-8
0.615, 1.155e-6, 6.084e-8
0.614, 1.156e-6, 6.315e-8
0.613, 1.184e-6, 6.552e-8
0.612, 1.249e-6, 6.801e-8
0.611, 1.262e-6, 7.054e-8
0.610, 1.287e-6, 7.311e-8
0.609, 1.310e-6, 7.573e-8
0.608, 1.323e-6, 7.838e-8
0.607, 1.331e-6, 8.104e-8
0.606, 1.363e-6, 8.376e-8
0.605, 1.387e-6, 8.654e-8
0.604, 1.417e-6, 8.937e-8
0.603, 1.459e-6, 9.229e-8
0.602, 1.492e-6, 9.527e-8
0.601, 1.517e-6, 9.831e-8
0.600, 1.554e-6, 1.014e-7
0.599, 1.584e-6, 1.046e-7
0.598, 1.606e-6, 1.078e-7
0.597, 1.619e-6, 1.110e-7
0.596, 1.664e-6, 1.144e-7
0.595, 1.688e-6, 1.177e-7
0.594, 1.717e-6, 1.212e-7
0.593, 1.778e-6, 1.247e-7
0.592, 1.820e-6, 1.284e-7
0.591, 1.850e-6, 1.321e-7
0.590, 1.892e-6, 1.359e-7
0.589, 1.919e-6, 1.397e-7
0.588, 1.962e-6, 1.436e-7
0.587, 1.980e-6, 1.476e-7
0.586, 2.029e-6, 1.516e-7
0.585, 2.066e-6, 1.558e-7
0.584, 2.094e-6, 1.600e-7
0.583, 2.158e-6, 1.643e-7
0.582, 2.222e-6, 1.687e-7
0.581, 2.255e-6, 1.732e-7
0.580, 2.312e-6, 1.778e-7
0.579, 2.345e-6, 1.825e-7
0.578, 2.382e-6, 1.873e-7
0.577, 2.415e-6, 1.921e-7
0.576, 2.468e-6, 1.971e-7
0.575, 2.520e-6, 2.021e-7
0.574, 2.558e-6, 2.072e-7
0.573, 2.618e-6, 2.125e-7
0.572, 2.695e-6, 2.178e-7
0.571, 2.725e-6, 2.233e-7
0.570, 2.792e-6, 2.289e-7
0.569, 2.833e-6, 2.345e-7
0.568, 2.876e-6, 2.403e-7
0.567, 2.919e-6, 2.461e-7
0.566, 2.975e-6, 2.521e-7
0.565, 3.019e-6, 2.581e-7
0.564, 3.078e-6, 2.643e-7
0.563, 3.134e-6, 2.705e-7
0.562, 3.223e-6, 2.770e-7
0.561, 3.263e-6, 2.835e-7
0.560, 3.323e-6, 2.902e-7
0.559, 3.371e-6, 2.969e-7
0.558, 3.426e-6, 3.038e-7
0.557, 3.464e-6, 3.107e-7
0.556, 3.524e-6, 3.177e-7
0.555, 3.579e-6, 3.249e-7
0.554, 3.630e-6, 3.322e-7
0.553, 3.704e-6, 3.396e-7
0.552, 3.777e-6, 3.471e-7
0.551, 3.837e-6, 3.548e-7
0.550, 3.892e-6, 3.626e-7
0.549, 3.947e-6, 3.705e-7
0.548, 4.004e-6, 3.785e-7
0.547, 4.046e-6, 3.866e-7
0.546, 4.110e-6, 3.948e-7
0.545, 4.169e-6, 4.031e-7
0.544, 4.213e-6, 4.116e-7
0.543, 4.298e-6, 4.201e-7
0.542, 4.371e-6, 4.289e-7
0.541, 4.429e-6, 4.377e-7
0.540, 4.494e-6, 4.467e-7
0.539, 4.550e-6, 4.558e-7
0.538, 4.609e-6, 4.651e-7
0.537, 4.648e-6, 4.743e-7
0.536, 4.716e-6, 4.838e-7
0.535, 4.774e-6, 4.933e-7
0.534, 4.837e-6, 5.030e-7
0.533, 4.914e-6, 5.128e-7
0.532, 5.001e-6, 5.228e-7
0.531, 5.057e-6, 5.329e-7
0.530, 5.128e-6, 5.432e-7
0.529, 5.191e-6, 5.536e-7
0.528, 5.252e-6, 5.641e-7
0.527, 5.309e-6, 5.747e-7
0.526, 5.371e-6, 5.854e-7
0.525, 5.426e-6, 5.963e-7
0.524, 5.484e-6, 6.073e-7
0.523, 5.560e-6, 6.184e-7
0.522, 5.661e-6, 6.297e-7
0.521, 5.710e-6, 6.411e-7
0.520, 5.785e-6, 6.527e-7
0.519, 5.857e-6, 6.644e-7
0.518, 5.920e-6, 6.763e-7
0.517, 5.974e-6, 6.882e-7
0.516, 6.052e-6, 7.003e-7
0.515, 6.109e-6, 7.125e-7
0.514, 6.175e-6, 7.249e-7
0.513, 6.263e-6, 7.374e-7
0.512, 6.347e-6, 7.501e-7
0.511, 6.432e-6, 7.630e-7
0.510, 6.509e-6, 7.760e-7
0.509, 6.571e-6, 7.891e-7
0.508, 6.641e-6, 8.024e-7
0.507, 6.695e-6, 8.158e-7
0.506, 6.779e-6, 8.294e-7
0.505, 6.840e-6, 8.430e-7
0.504, 6.900e-6, 8.568e-7
0.503, 6.999e-6, 8.708e-7
0.502, 7.089e-6, 8.850e-7
0.501, 7.160e-6, 8.993e-7
0.500, 7.248e-6, 9.138e-7
0.499, 7.310e-6, 9.284e-7
0.498, 7.388e-6, 9.432e-7
0.497, 7.457e-6, 9.581e-7
0.496, 7.526e-6, 9.732e-7
0.495, 7.593e-6, 9.884e-7
0.494, 7.675e-6, 1.004e-6
0.493, 7.757e-6, 1.019e-6
0.492, 7.860e-6, 1.035e-6
0.491, 7.936e-6, 1.051e-6
0.490, 8.024e-6, 1.067e-6
0.489, 8.100e-6, 1.083e-6
0.488, 8.176e-6, 1.099e-6
0.487, 8.245e-6, 1.116e-6
0.486, 8.316e-6, 1.133e-6
0.485, 8.385e-6, 1.149e-6
0.484, 8.478e-6, 1.166e-6
0.483, 8.568e-6, 1.183e-6
0.482, 8.655e-6, 1.201e-6
0.481, 8.749e-6, 1.218e-6
0.480, 8.836e-6, 1.236e-6
0.479, 8.913e-6, 1.254e-6
0.478, 8.991e-6, 1.272e-6
0.477, 9.059e-6, 1.290e-6
0.476, 9.145e-6, 1.308e-6
0.475, 9.214e-6, 1.327e-6
0.474, 9.292e-6, 1.345e-6
0.473, 9.388e-6, 1.364e-6
0.472, 9.484e-6, 1.383e-6
0.471, 9.579e-6, 1.402e-6
0.470, 9.665e-6, 1.421e-6
0.469, 9.747e-6, 1.441e-6
0.468, 9.832e-6, 1.461e-6
0.467, 9.889e-6, 1.480e-6
0.466, 9.990e-6, 1.500e-6
0.465, 1.006e-5, 1.520e-6
0.464, 1.014e-5, 1.541e-6
0.463, 1.022e-5, 1.561e-6
0.462, 1.033e-5, 1.582e-6
0.461, 1.042e-5, 1.603e-6
0.460, 1.051e-5, 1.624e-6
0.459, 1.058e-5, 1.645e-6
0.458, 1.067e-5, 1.666e-6
0.457, 1.073e-5, 1.688e-6
0.456, 1.081e-5, 1.709e-6
0.455, 1.088e-5, 1.731e-6
0.454, 1.095e-5, 1.753e-6
0.453, 1.104e-5, 1.775e-6
0.452, 1.113e-5, 1.797e-6
0.451, 1.122e-5, 1.820e-6
0.450, 1.130e-5, 1.842e-6
0.449, 1.137e-5, 1.865e-6
0.448, 1.144e-5, 1.888e-6
0.447, 1.150e-5, 1.911e-6
0.446, 1.157e-5, 1.934e-6
0.445, 1.163e-5, 1.957e-6
0.444, 1.170e-5, 1.981e-6
0.443, 1.178e-5, 2.004e-6
0.442, 1.186e-5, 2.028e-6
0.441, 1.193e-5, 2.052e-6
0.440, 1.200e-5, 2.076e-6
