Nov. 15, 2023   11:57:44
Cyclic Voltammetry
File: c:\users\pku\desktop\zqq\cvwindow.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Segment 1:
Ep = 0.373V
ip = 2.270e-7A
Ah = 2.001e-7C

Ep = -0.187V
ip = 1.396e-6A
Ah = 1.545e-6C

Segment 2:
Ep = -0.068V
ip = -3.534e-7A
Ah = -1.163e-7C

Segment 3:
Ep = 0.424V
ip = 1.368e-6A
Ah = 1.218e-6C

Segment 4:
Ep = -0.067V
ip = -4.629e-7A
Ah = -1.880e-7C

Segment 5:
Ep = 0.423V
ip = 1.509e-6A
Ah = 1.363e-6C

Ep = -0.185V
ip = 1.432e-6A
Ah = 1.533e-6C

Segment 6:
Ep = -0.068V
ip = -5.071e-7A
Ah = -1.925e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.649, -1.813e-8, -1.813e-10
0.648, 4.981e-9, -1.315e-10
0.647, 1.900e-8, 5.854e-11
0.646, 2.607e-8, 3.193e-10
0.645, 3.657e-8, 6.850e-10
0.644, 4.099e-8, 1.095e-9
0.643, 4.979e-8, 1.593e-9
0.642, 5.353e-8, 2.128e-9
0.641, 6.074e-8, 2.735e-9
0.640, 6.346e-8, 3.370e-9
0.639, 6.920e-8, 4.062e-9
0.638, 7.199e-8, 4.782e-9
0.637, 7.787e-8, 5.561e-9
0.636, 7.904e-8, 6.351e-9
0.635, 8.532e-8, 7.204e-9
0.634, 8.537e-8, 8.058e-9
0.633, 9.065e-8, 8.965e-9
0.632, 9.187e-8, 9.883e-9
0.631, 9.620e-8, 1.085e-8
0.630, 9.777e-8, 1.182e-8
0.629, 1.024e-7, 1.285e-8
0.628, 1.024e-7, 1.387e-8
0.627, 1.068e-7, 1.494e-8
0.626, 1.070e-7, 1.601e-8
0.625, 1.111e-7, 1.712e-8
0.624, 1.124e-7, 1.825e-8
0.623, 1.158e-7, 1.940e-8
0.622, 1.165e-7, 2.057e-8
0.621, 1.204e-7, 2.177e-8
0.620, 1.191e-7, 2.296e-8
0.619, 1.249e-7, 2.421e-8
0.618, 1.244e-7, 2.546e-8
0.617, 1.275e-7, 2.673e-8
0.616, 1.280e-7, 2.801e-8
0.615, 1.306e-7, 2.932e-8
0.614, 1.272e-7, 3.059e-8
0.613, 1.337e-7, 3.193e-8
0.612, 1.333e-7, 3.326e-8
0.611, 1.383e-7, 3.464e-8
0.610, 1.376e-7, 3.602e-8
0.609, 1.411e-7, 3.743e-8
0.608, 1.401e-7, 3.883e-8
0.607, 1.456e-7, 4.029e-8
0.606, 1.445e-7, 4.173e-8
0.605, 1.494e-7, 4.323e-8
0.604, 1.478e-7, 4.471e-8
0.603, 1.530e-7, 4.624e-8
0.602, 1.521e-7, 4.776e-8
0.601, 1.547e-7, 4.930e-8
0.600, 1.552e-7, 5.086e-8
0.599, 1.579e-7, 5.243e-8
0.598, 1.571e-7, 5.401e-8
0.597, 1.607e-7, 5.561e-8
0.596, 1.597e-7, 5.721e-8
0.595, 1.641e-7, 5.885e-8
0.594, 1.622e-7, 6.047e-8
0.593, 1.657e-7, 6.213e-8
0.592, 1.656e-7, 6.379e-8
0.591, 1.686e-7, 6.547e-8
0.590, 1.674e-7, 6.715e-8
0.589, 1.697e-7, 6.884e-8
0.588, 1.678e-7, 7.052e-8
0.587, 1.733e-7, 7.225e-8
0.586, 1.715e-7, 7.397e-8
0.585, 1.753e-7, 7.572e-8
0.584, 1.751e-7, 7.747e-8
0.583, 1.780e-7, 7.925e-8
0.582, 1.761e-7, 8.101e-8
0.581, 1.797e-7, 8.281e-8
0.580, 1.794e-7, 8.460e-8
0.579, 1.829e-7, 8.643e-8
0.578, 1.807e-7, 8.824e-8
0.577, 1.842e-7, 9.008e-8
0.576, 1.830e-7, 9.191e-8
0.575, 1.863e-7, 9.378e-8
0.574, 1.857e-7, 9.563e-8
0.573, 1.886e-7, 9.752e-8
0.572, 1.870e-7, 9.939e-8
0.571, 1.909e-7, 1.013e-7
0.570, 1.896e-7, 1.032e-7
0.569, 1.929e-7, 1.051e-7
0.568, 1.920e-7, 1.070e-7
0.567, 1.942e-7, 1.090e-7
0.566, 1.940e-7, 1.109e-7
0.565, 1.976e-7, 1.129e-7
0.564, 1.960e-7, 1.149e-7
0.563, 2.012e-7, 1.169e-7
0.562, 1.987e-7, 1.189e-7
0.561, 2.023e-7, 1.209e-7
0.560, 2.007e-7, 1.229e-7
0.559, 2.034e-7, 1.249e-7
0.558, 2.026e-7, 1.270e-7
0.557, 2.060e-7, 1.290e-7
0.556, 2.049e-7, 1.311e-7
0.555, 2.085e-7, 1.331e-7
0.554, 2.061e-7, 1.352e-7
0.553, 2.097e-7, 1.373e-7
0.552, 2.096e-7, 1.394e-7
0.551, 2.128e-7, 1.415e-7
0.550, 2.111e-7, 1.436e-7
0.549, 2.150e-7, 1.458e-7
0.548, 2.137e-7, 1.479e-7
0.547, 2.176e-7, 1.501e-7
0.546, 2.155e-7, 1.523e-7
0.545, 2.192e-7, 1.544e-7
0.544, 2.181e-7, 1.566e-7
0.543, 2.222e-7, 1.588e-7
0.542, 2.209e-7, 1.611e-7
0.541, 2.240e-7, 1.633e-7
0.540, 2.230e-7, 1.655e-7
0.539, 2.277e-7, 1.678e-7
0.538, 2.255e-7, 1.701e-7
0.537, 2.284e-7, 1.723e-7
0.536, 2.288e-7, 1.746e-7
0.535, 2.328e-7, 1.770e-7
0.534, 2.306e-7, 1.793e-7
0.533, 2.341e-7, 1.816e-7
0.532, 2.335e-7, 1.839e-7
0.531, 2.376e-7, 1.863e-7
0.530, 2.357e-7, 1.887e-7
0.529, 2.415e-7, 1.911e-7
0.528, 2.397e-7, 1.935e-7
0.527, 2.430e-7, 1.959e-7
0.526, 2.428e-7, 1.983e-7
0.525, 2.466e-7, 2.008e-7
0.524, 2.452e-7, 2.033e-7
0.523, 2.488e-7, 2.058e-7
0.522, 2.488e-7, 2.082e-7
0.521, 2.524e-7, 2.108e-7
0.520, 2.523e-7, 2.133e-7
0.519, 2.564e-7, 2.158e-7
0.518, 2.550e-7, 2.184e-7
0.517, 2.601e-7, 2.210e-7
0.516, 2.594e-7, 2.236e-7
0.515, 2.627e-7, 2.262e-7
0.514, 2.621e-7, 2.288e-7
0.513, 2.673e-7, 2.315e-7
0.512, 2.683e-7, 2.342e-7
0.511, 2.717e-7, 2.369e-7
0.510, 2.702e-7, 2.396e-7
0.509, 2.756e-7, 2.424e-7
0.508, 2.744e-7, 2.451e-7
0.507, 2.797e-7, 2.479e-7
0.506, 2.782e-7, 2.507e-7
0.505, 2.825e-7, 2.535e-7
0.504, 2.831e-7, 2.564e-7
0.503, 2.866e-7, 2.592e-7
0.502, 2.869e-7, 2.621e-7
0.501, 2.923e-7, 2.650e-7
0.500, 2.914e-7, 2.679e-7
0.499, 2.968e-7, 2.709e-7
0.498, 2.971e-7, 2.739e-7
0.497, 3.014e-7, 2.769e-7
0.496, 3.023e-7, 2.799e-7
0.495, 3.061e-7, 2.830e-7
0.494, 3.071e-7, 2.860e-7
0.493, 3.112e-7, 2.891e-7
0.492, 3.118e-7, 2.923e-7
0.491, 3.169e-7, 2.954e-7
0.490, 3.175e-7, 2.986e-7
0.489, 3.225e-7, 3.018e-7
0.488, 3.225e-7, 3.051e-7
0.487, 3.278e-7, 3.083e-7
0.486, 3.274e-7, 3.116e-7
0.485, 3.332e-7, 3.149e-7
0.484, 3.334e-7, 3.183e-7
0.483, 3.404e-7, 3.217e-7
0.482, 3.399e-7, 3.251e-7
0.481, 3.456e-7, 3.285e-7
0.480, 3.465e-7, 3.320e-7
0.479, 3.512e-7, 3.355e-7
0.478, 3.528e-7, 3.390e-7
0.477, 3.586e-7, 3.426e-7
0.476, 3.584e-7, 3.462e-7
0.475, 3.648e-7, 3.499e-7
0.474, 3.660e-7, 3.535e-7
0.473, 3.715e-7, 3.572e-7
0.472, 3.724e-7, 3.610e-7
0.471, 3.792e-7, 3.647e-7
0.470, 3.805e-7, 3.686e-7
0.469, 3.857e-7, 3.724e-7
0.468, 3.863e-7, 3.763e-7
0.467, 3.934e-7, 3.802e-7
0.466, 3.938e-7, 3.841e-7
0.465, 3.994e-7, 3.881e-7
0.464, 4.011e-7, 3.921e-7
0.463, 4.075e-7, 3.962e-7
0.462, 4.089e-7, 4.003e-7
0.461, 4.157e-7, 4.045e-7
0.460, 4.159e-7, 4.086e-7
0.459, 4.231e-7, 4.129e-7
0.458, 4.237e-7, 4.171e-7
0.457, 4.302e-7, 4.214e-7
0.456, 4.306e-7, 4.257e-7
0.455, 4.379e-7, 4.301e-7
0.454, 4.388e-7, 4.345e-7
0.453, 4.449e-7, 4.389e-7
0.452, 4.451e-7, 4.434e-7
0.451, 4.526e-7, 4.479e-7
0.450, 4.540e-7, 4.524e-7
0.449, 4.622e-7, 4.571e-7
0.448, 4.636e-7, 4.617e-7
0.447, 4.695e-7, 4.664e-7
0.446, 4.712e-7, 4.711e-7
0.445, 4.774e-7, 4.759e-7
0.444, 4.778e-7, 4.807e-7
0.443, 4.856e-7, 4.855e-7
0.442, 4.851e-7, 4.904e-7
0.441, 4.918e-7, 4.953e-7
0.440, 4.932e-7, 5.002e-7
0.439, 4.999e-7, 5.052e-7
0.438, 4.999e-7, 5.102e-7
0.437, 5.065e-7, 5.153e-7
0.436, 5.078e-7, 5.204e-7
0.435, 5.135e-7, 5.255e-7
