Nov. 15, 2023   13:21:22
Linear Sweep Voltammetry
File: c:\users\pku\desktop\zqq\lsvo2.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.287
Final E (V) = 1.1
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Potential/V, Current/A, Charge/C

Segment 1:
-0.286, 1.154e-5, 1.154e-6
-0.285, 1.130e-5, 2.283e-6
-0.284, 1.114e-5, 3.398e-6
-0.283, 1.105e-5, 4.502e-6
-0.282, 1.099e-5, 5.602e-6
-0.281, 1.096e-5, 6.698e-6
-0.280, 1.092e-5, 7.790e-6
-0.279, 1.088e-5, 8.877e-6
-0.278, 1.078e-5, 9.955e-6
-0.277, 1.069e-5, 1.102e-5
-0.276, 1.059e-5, 1.208e-5
-0.275, 1.049e-5, 1.313e-5
-0.274, 1.043e-5, 1.417e-5
-0.273, 1.040e-5, 1.521e-5
-0.272, 1.046e-5, 1.626e-5
-0.271, 1.060e-5, 1.732e-5
-0.270, 1.072e-5, 1.839e-5
-0.269, 1.078e-5, 1.947e-5
-0.268, 1.076e-5, 2.055e-5
-0.267, 1.081e-5, 2.163e-5
-0.266, 1.091e-5, 2.272e-5
-0.265, 1.097e-5, 2.382e-5
-0.264, 1.093e-5, 2.491e-5
-0.263, 1.084e-5, 2.599e-5
-0.262, 1.074e-5, 2.707e-5
-0.261, 1.068e-5, 2.813e-5
-0.260, 1.061e-5, 2.920e-5
-0.259, 1.060e-5, 3.026e-5
-0.258, 1.059e-5, 3.131e-5
-0.257, 1.054e-5, 3.237e-5
-0.256, 1.051e-5, 3.342e-5
-0.255, 1.043e-5, 3.446e-5
-0.254, 1.035e-5, 3.550e-5
-0.253, 1.031e-5, 3.653e-5
-0.252, 1.030e-5, 3.756e-5
-0.251, 1.030e-5, 3.859e-5
-0.250, 1.029e-5, 3.962e-5
-0.249, 1.031e-5, 4.065e-5
-0.248, 1.034e-5, 4.168e-5
-0.247, 1.048e-5, 4.273e-5
-0.246, 1.063e-5, 4.379e-5
-0.245, 1.074e-5, 4.487e-5
-0.244, 1.080e-5, 4.595e-5
-0.243, 1.081e-5, 4.703e-5
-0.242, 1.081e-5, 4.811e-5
-0.241, 1.079e-5, 4.919e-5
-0.240, 1.082e-5, 5.027e-5
-0.239, 1.080e-5, 5.135e-5
-0.238, 1.072e-5, 5.242e-5
-0.237, 1.059e-5, 5.348e-5
-0.236, 1.045e-5, 5.453e-5
-0.235, 1.034e-5, 5.556e-5
-0.234, 1.022e-5, 5.658e-5
-0.233, 1.010e-5, 5.759e-5
-0.232, 9.999e-6, 5.859e-5
-0.231, 9.912e-6, 5.958e-5
-0.230, 9.867e-6, 6.057e-5
-0.229, 9.809e-6, 6.155e-5
-0.228, 9.763e-6, 6.253e-5
-0.227, 9.731e-6, 6.350e-5
-0.226, 9.665e-6, 6.447e-5
-0.225, 9.625e-6, 6.543e-5
-0.224, 9.522e-6, 6.638e-5
-0.223, 9.460e-6, 6.733e-5
-0.222, 9.405e-6, 6.827e-5
-0.221, 9.445e-6, 6.921e-5
-0.220, 9.556e-6, 7.017e-5
-0.219, 9.689e-6, 7.114e-5
-0.218, 9.937e-6, 7.213e-5
-0.217, 1.014e-5, 7.315e-5
-0.216, 1.030e-5, 7.418e-5
-0.215, 1.038e-5, 7.521e-5
-0.214, 1.036e-5, 7.625e-5
-0.213, 1.037e-5, 7.729e-5
-0.212, 1.030e-5, 7.832e-5
-0.211, 1.022e-5, 7.934e-5
-0.210, 1.012e-5, 8.035e-5
-0.209, 1.007e-5, 8.136e-5
-0.208, 1.002e-5, 8.236e-5
-0.207, 1.002e-5, 8.336e-5
-0.206, 1.007e-5, 8.437e-5
-0.205, 1.011e-5, 8.538e-5
-0.204, 1.015e-5, 8.640e-5
-0.203, 1.014e-5, 8.741e-5
-0.202, 1.008e-5, 8.842e-5
-0.201, 9.983e-6, 8.942e-5
-0.200, 9.886e-6, 9.040e-5
-0.199, 9.778e-6, 9.138e-5
-0.198, 9.663e-6, 9.235e-5
-0.197, 9.565e-6, 9.331e-5
-0.196, 9.473e-6, 9.425e-5
-0.195, 9.396e-6, 9.519e-5
-0.194, 9.323e-6, 9.612e-5
-0.193, 9.274e-6, 9.705e-5
-0.192, 9.254e-6, 9.798e-5
-0.191, 9.250e-6, 9.890e-5
-0.190, 9.271e-6, 9.983e-5
-0.189, 9.303e-6, 1.008e-4
-0.188, 9.345e-6, 1.017e-4
-0.187, 9.316e-6, 1.026e-4
-0.186, 9.334e-6, 1.036e-4
-0.185, 9.303e-6, 1.045e-4
-0.184, 9.343e-6, 1.054e-4
-0.183, 9.403e-6, 1.064e-4
-0.182, 9.464e-6, 1.073e-4
-0.181, 9.566e-6, 1.083e-4
-0.180, 9.642e-6, 1.092e-4
-0.179, 9.735e-6, 1.102e-4
-0.178, 9.779e-6, 1.112e-4
-0.177, 9.753e-6, 1.122e-4
-0.176, 9.693e-6, 1.131e-4
-0.175, 9.585e-6, 1.141e-4
-0.174, 9.467e-6, 1.150e-4
-0.173, 9.390e-6, 1.160e-4
-0.172, 9.308e-6, 1.169e-4
-0.171, 9.252e-6, 1.178e-4
-0.170, 9.271e-6, 1.188e-4
-0.169, 9.343e-6, 1.197e-4
-0.168, 9.531e-6, 1.206e-4
-0.167, 9.778e-6, 1.216e-4
-0.166, 1.001e-5, 1.226e-4
-0.165, 1.022e-5, 1.236e-4
-0.164, 1.033e-5, 1.247e-4
-0.163, 1.040e-5, 1.257e-4
-0.162, 1.043e-5, 1.268e-4
-0.161, 1.048e-5, 1.278e-4
-0.160, 1.044e-5, 1.289e-4
-0.159, 1.045e-5, 1.299e-4
-0.158, 1.048e-5, 1.309e-4
-0.157, 1.054e-5, 1.320e-4
-0.156, 1.064e-5, 1.331e-4
-0.155, 1.070e-5, 1.341e-4
-0.154, 1.070e-5, 1.352e-4
-0.153, 1.070e-5, 1.363e-4
-0.152, 1.063e-5, 1.373e-4
-0.151, 1.056e-5, 1.384e-4
-0.150, 1.048e-5, 1.394e-4
-0.149, 1.040e-5, 1.405e-4
-0.148, 1.035e-5, 1.415e-4
-0.147, 1.025e-5, 1.425e-4
-0.146, 1.017e-5, 1.436e-4
-0.145, 1.016e-5, 1.446e-4
-0.144, 1.008e-5, 1.456e-4
-0.143, 1.016e-5, 1.466e-4
-0.142, 1.018e-5, 1.476e-4
-0.141, 1.026e-5, 1.486e-4
-0.140, 1.028e-5, 1.497e-4
-0.139, 1.027e-5, 1.507e-4
-0.138, 1.019e-5, 1.517e-4
-0.137, 1.009e-5, 1.527e-4
-0.136, 9.997e-6, 1.537e-4
-0.135, 9.900e-6, 1.547e-4
-0.134, 9.818e-6, 1.557e-4
-0.133, 9.721e-6, 1.567e-4
-0.132, 9.596e-6, 1.576e-4
-0.131, 9.487e-6, 1.586e-4
-0.130, 9.410e-6, 1.595e-4
-0.129, 9.362e-6, 1.605e-4
-0.128, 9.334e-6, 1.614e-4
-0.127, 9.353e-6, 1.623e-4
-0.126, 9.323e-6, 1.633e-4
-0.125, 9.357e-6, 1.642e-4
-0.124, 9.348e-6, 1.651e-4
-0.123, 9.317e-6, 1.661e-4
-0.122, 9.282e-6, 1.670e-4
-0.121, 9.223e-6, 1.679e-4
-0.120, 9.185e-6, 1.688e-4
-0.119, 9.143e-6, 1.697e-4
-0.118, 9.127e-6, 1.707e-4
-0.117, 9.081e-6, 1.716e-4
-0.116, 9.097e-6, 1.725e-4
-0.115, 9.067e-6, 1.734e-4
-0.114, 9.113e-6, 1.743e-4
-0.113, 9.142e-6, 1.752e-4
-0.112, 9.138e-6, 1.761e-4
-0.111, 9.197e-6, 1.770e-4
-0.110, 9.172e-6, 1.780e-4
-0.109, 9.174e-6, 1.789e-4
-0.108, 9.162e-6, 1.798e-4
-0.107, 9.167e-6, 1.807e-4
-0.106, 9.248e-6, 1.816e-4
-0.105, 9.489e-6, 1.826e-4
-0.104, 9.763e-6, 1.836e-4
-0.103, 9.930e-6, 1.845e-4
-0.102, 1.034e-5, 1.856e-4
-0.101, 1.036e-5, 1.866e-4
-0.100, 1.050e-5, 1.877e-4
-0.099, 1.053e-5, 1.887e-4
-0.098, 1.064e-5, 1.898e-4
-0.097, 1.095e-5, 1.909e-4
-0.096, 1.123e-5, 1.920e-4
-0.095, 1.148e-5, 1.931e-4
-0.094, 1.153e-5, 1.943e-4
-0.093, 1.138e-5, 1.954e-4
-0.092, 1.128e-5, 1.966e-4
-0.091, 1.109e-5, 1.977e-4
-0.090, 1.099e-5, 1.988e-4
-0.089, 1.089e-5, 1.999e-4
-0.088, 1.078e-5, 2.009e-4
-0.087, 1.071e-5, 2.020e-4
-0.086, 1.062e-5, 2.031e-4
-0.085, 1.053e-5, 2.041e-4
-0.084, 1.048e-5, 2.052e-4
-0.083, 1.043e-5, 2.062e-4
-0.082, 1.039e-5, 2.073e-4
-0.081, 1.037e-5, 2.083e-4
-0.080, 1.035e-5, 2.093e-4
-0.079, 1.032e-5, 2.104e-4
-0.078, 1.032e-5, 2.114e-4
-0.077, 1.037e-5, 2.124e-4
-0.076, 1.043e-5, 2.135e-4
-0.075, 1.046e-5, 2.145e-4
-0.074, 1.045e-5, 2.156e-4
-0.073, 1.042e-5, 2.166e-4
-0.072, 1.039e-5, 2.176e-4
-0.071, 1.040e-5, 2.187e-4
-0.070, 1.035e-5, 2.197e-4
-0.069, 1.031e-5, 2.208e-4
-0.068, 1.023e-5, 2.218e-4
-0.067, 1.007e-5, 2.228e-4
-0.066, 9.937e-6, 2.238e-4
