Nov. 15, 2023   13:17:05
Linear Sweep Voltammetry
File: c:\users\pku\desktop\zqq\lsvo3.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.287
Final E (V) = 1.1
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6


Potential/V, Current/A, Charge/C

Segment 1:
-0.286, 9.382e-6, 9.382e-7
-0.285, 9.199e-6, 1.858e-6
-0.284, 9.084e-6, 2.767e-6
-0.283, 8.984e-6, 3.665e-6
-0.282, 8.897e-6, 4.555e-6
-0.281, 8.818e-6, 5.436e-6
-0.280, 8.740e-6, 6.310e-6
-0.279, 8.672e-6, 7.178e-6
-0.278, 8.603e-6, 8.038e-6
-0.277, 8.538e-6, 8.892e-6
-0.276, 8.473e-6, 9.739e-6
-0.275, 8.418e-6, 1.058e-5
-0.274, 8.365e-6, 1.142e-5
-0.273, 8.312e-6, 1.225e-5
-0.272, 8.266e-6, 1.308e-5
-0.271, 8.220e-6, 1.390e-5
-0.270, 8.174e-6, 1.471e-5
-0.269, 8.134e-6, 1.553e-5
-0.268, 8.091e-6, 1.634e-5
-0.267, 8.052e-6, 1.714e-5
-0.266, 8.016e-6, 1.794e-5
-0.265, 7.979e-6, 1.874e-5
-0.264, 7.946e-6, 1.954e-5
-0.263, 7.912e-6, 2.033e-5
-0.262, 7.879e-6, 2.112e-5
-0.261, 7.849e-6, 2.190e-5
-0.260, 7.819e-6, 2.268e-5
-0.259, 7.787e-6, 2.346e-5
-0.258, 7.762e-6, 2.424e-5
-0.257, 7.731e-6, 2.501e-5
-0.256, 7.702e-6, 2.578e-5
-0.255, 7.678e-6, 2.655e-5
-0.254, 7.652e-6, 2.731e-5
-0.253, 7.629e-6, 2.808e-5
-0.252, 7.606e-6, 2.884e-5
-0.251, 7.580e-6, 2.960e-5
-0.250, 7.561e-6, 3.035e-5
-0.249, 7.539e-6, 3.110e-5
-0.248, 7.517e-6, 3.186e-5
-0.247, 7.495e-6, 3.261e-5
-0.246, 7.476e-6, 3.335e-5
-0.245, 7.460e-6, 3.410e-5
-0.244, 7.439e-6, 3.484e-5
-0.243, 7.421e-6, 3.559e-5
-0.242, 7.402e-6, 3.633e-5
-0.241, 7.385e-6, 3.706e-5
-0.240, 7.369e-6, 3.780e-5
-0.239, 7.351e-6, 3.854e-5
-0.238, 7.335e-6, 3.927e-5
-0.237, 7.319e-6, 4.000e-5
-0.236, 7.305e-6, 4.073e-5
-0.235, 7.287e-6, 4.146e-5
-0.234, 7.275e-6, 4.219e-5
-0.233, 7.264e-6, 4.291e-5
-0.232, 7.248e-6, 4.364e-5
-0.231, 7.235e-6, 4.436e-5
-0.230, 7.223e-6, 4.509e-5
-0.229, 7.208e-6, 4.581e-5
-0.228, 7.198e-6, 4.653e-5
-0.227, 7.184e-6, 4.724e-5
-0.226, 7.176e-6, 4.796e-5
-0.225, 7.163e-6, 4.868e-5
-0.224, 7.152e-6, 4.939e-5
-0.223, 7.141e-6, 5.011e-5
-0.222, 7.130e-6, 5.082e-5
-0.221, 7.121e-6, 5.153e-5
-0.220, 7.110e-6, 5.224e-5
-0.219, 7.100e-6, 5.295e-5
-0.218, 7.092e-6, 5.366e-5
-0.217, 7.083e-6, 5.437e-5
-0.216, 7.074e-6, 5.508e-5
-0.215, 7.065e-6, 5.579e-5
-0.214, 7.056e-6, 5.649e-5
-0.213, 7.045e-6, 5.720e-5
-0.212, 7.037e-6, 5.790e-5
-0.211, 7.030e-6, 5.860e-5
-0.210, 7.022e-6, 5.930e-5
-0.209, 7.014e-6, 6.001e-5
-0.208, 7.005e-6, 6.071e-5
-0.207, 6.999e-6, 6.141e-5
-0.206, 6.987e-6, 6.210e-5
-0.205, 6.984e-6, 6.280e-5
-0.204, 6.974e-6, 6.350e-5
-0.203, 6.960e-6, 6.420e-5
-0.202, 6.954e-6, 6.489e-5
-0.201, 6.945e-6, 6.559e-5
-0.200, 6.938e-6, 6.628e-5
-0.199, 6.933e-6, 6.697e-5
-0.198, 6.926e-6, 6.767e-5
-0.197, 6.917e-6, 6.836e-5
-0.196, 6.911e-6, 6.905e-5
-0.195, 6.906e-6, 6.974e-5
-0.194, 6.902e-6, 7.043e-5
-0.193, 6.894e-6, 7.112e-5
-0.192, 6.888e-6, 7.181e-5
-0.191, 6.883e-6, 7.250e-5
-0.190, 6.877e-6, 7.318e-5
-0.189, 6.871e-6, 7.387e-5
-0.188, 6.866e-6, 7.456e-5
-0.187, 6.861e-6, 7.524e-5
-0.186, 6.858e-6, 7.593e-5
-0.185, 6.852e-6, 7.661e-5
-0.184, 6.847e-6, 7.730e-5
-0.183, 6.841e-6, 7.798e-5
-0.182, 6.836e-6, 7.867e-5
-0.181, 6.831e-6, 7.935e-5
-0.180, 6.827e-6, 8.003e-5
-0.179, 6.822e-6, 8.072e-5
-0.178, 6.815e-6, 8.140e-5
-0.177, 6.812e-6, 8.208e-5
-0.176, 6.807e-6, 8.276e-5
-0.175, 6.804e-6, 8.344e-5
-0.174, 6.797e-6, 8.412e-5
-0.173, 6.792e-6, 8.480e-5
-0.172, 6.790e-6, 8.548e-5
-0.171, 6.785e-6, 8.616e-5
-0.170, 6.783e-6, 8.683e-5
-0.169, 6.777e-6, 8.751e-5
-0.168, 6.771e-6, 8.819e-5
-0.167, 6.768e-6, 8.887e-5
-0.166, 6.763e-6, 8.954e-5
-0.165, 6.759e-6, 9.022e-5
-0.164, 6.754e-6, 9.089e-5
-0.163, 6.750e-6, 9.157e-5
-0.162, 6.745e-6, 9.224e-5
-0.161, 6.741e-6, 9.292e-5
-0.160, 6.738e-6, 9.359e-5
-0.159, 6.734e-6, 9.426e-5
-0.158, 6.729e-6, 9.494e-5
-0.157, 6.723e-6, 9.561e-5
-0.156, 6.720e-6, 9.628e-5
-0.155, 6.716e-6, 9.695e-5
-0.154, 6.712e-6, 9.762e-5
-0.153, 6.707e-6, 9.829e-5
-0.152, 6.703e-6, 9.896e-5
-0.151, 6.700e-6, 9.963e-5
-0.150, 6.695e-6, 1.003e-4
-0.149, 6.693e-6, 1.010e-4
-0.148, 6.689e-6, 1.016e-4
-0.147, 6.685e-6, 1.023e-4
-0.146, 6.682e-6, 1.030e-4
-0.145, 6.677e-6, 1.036e-4
-0.144, 6.674e-6, 1.043e-4
-0.143, 6.669e-6, 1.050e-4
-0.142, 6.666e-6, 1.056e-4
-0.141, 6.663e-6, 1.063e-4
-0.140, 6.660e-6, 1.070e-4
-0.139, 6.655e-6, 1.076e-4
-0.138, 6.652e-6, 1.083e-4
-0.137, 6.648e-6, 1.090e-4
-0.136, 6.645e-6, 1.096e-4
-0.135, 6.643e-6, 1.103e-4
-0.134, 6.640e-6, 1.110e-4
-0.133, 6.638e-6, 1.116e-4
-0.132, 6.634e-6, 1.123e-4
-0.131, 6.632e-6, 1.130e-4
-0.130, 6.629e-6, 1.136e-4
-0.129, 6.625e-6, 1.143e-4
-0.128, 6.623e-6, 1.149e-4
-0.127, 6.621e-6, 1.156e-4
-0.126, 6.617e-6, 1.163e-4
-0.125, 6.616e-6, 1.169e-4
-0.124, 6.614e-6, 1.176e-4
-0.123, 6.611e-6, 1.183e-4
-0.122, 6.609e-6, 1.189e-4
-0.121, 6.607e-6, 1.196e-4
-0.120, 6.603e-6, 1.202e-4
-0.119, 6.600e-6, 1.209e-4
-0.118, 6.598e-6, 1.216e-4
-0.117, 6.596e-6, 1.222e-4
-0.116, 6.594e-6, 1.229e-4
-0.115, 6.591e-6, 1.235e-4
-0.114, 6.590e-6, 1.242e-4
-0.113, 6.586e-6, 1.249e-4
-0.112, 6.583e-6, 1.255e-4
-0.111, 6.582e-6, 1.262e-4
-0.110, 6.578e-6, 1.268e-4
-0.109, 6.574e-6, 1.275e-4
-0.108, 6.573e-6, 1.281e-4
-0.107, 6.569e-6, 1.288e-4
-0.106, 6.566e-6, 1.295e-4
-0.105, 6.563e-6, 1.301e-4
-0.104, 6.559e-6, 1.308e-4
-0.103, 6.558e-6, 1.314e-4
-0.102, 6.551e-6, 1.321e-4
-0.101, 6.550e-6, 1.327e-4
-0.100, 6.547e-6, 1.334e-4
-0.099, 6.545e-6, 1.340e-4
-0.098, 6.542e-6, 1.347e-4
-0.097, 6.540e-6, 1.353e-4
-0.096, 6.538e-6, 1.360e-4
-0.095, 6.535e-6, 1.367e-4
-0.094, 6.531e-6, 1.373e-4
-0.093, 6.528e-6, 1.380e-4
-0.092, 6.526e-6, 1.386e-4
-0.091, 6.523e-6, 1.393e-4
-0.090, 6.520e-6, 1.399e-4
-0.089, 6.518e-6, 1.406e-4
-0.088, 6.516e-6, 1.412e-4
-0.087, 6.513e-6, 1.419e-4
-0.086, 6.512e-6, 1.425e-4
-0.085, 6.510e-6, 1.432e-4
-0.084, 6.507e-6, 1.438e-4
-0.083, 6.506e-6, 1.445e-4
-0.082, 6.503e-6, 1.451e-4
-0.081, 6.502e-6, 1.458e-4
-0.080, 6.500e-6, 1.464e-4
-0.079, 6.499e-6, 1.471e-4
-0.078, 6.495e-6, 1.477e-4
-0.077, 6.499e-6, 1.484e-4
-0.076, 6.496e-6, 1.490e-4
-0.075, 6.494e-6, 1.497e-4
-0.074, 6.494e-6, 1.503e-4
-0.073, 6.493e-6, 1.510e-4
-0.072, 6.491e-6, 1.516e-4
-0.071, 6.493e-6, 1.523e-4
-0.070, 6.493e-6, 1.529e-4
-0.069, 6.493e-6, 1.536e-4
-0.068, 6.493e-6, 1.542e-4
-0.067, 6.492e-6, 1.549e-4
-0.066, 6.495e-6, 1.555e-4
