Nov. 15, 2023   14:00:00
Cyclic Voltammetry
File: c:\users\pku\desktop\zqq\mrr1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:

Segment 2:
Ep = 0.488V
ip = -3.369e-6A
Ah = -2.357e-6C

Segment 3:
Ep = 0.460V
ip = 1.286e-6A
Ah = 9.877e-7C

Segment 4:
Ep = 0.485V
ip = -3.488e-6A
Ah = -2.323e-6C

Segment 5:
Ep = 0.461V
ip = 1.295e-6A
Ah = 9.873e-7C

Segment 6:
Ep = 0.482V
ip = -3.911e-6A
Ah = -2.699e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.649, -1.247e-6, -1.247e-8
0.648, -1.144e-6, -2.391e-8
0.647, -1.105e-6, -3.496e-8
0.646, -1.047e-6, -4.543e-8
0.645, -1.026e-6, -5.569e-8
0.644, -9.816e-7, -6.550e-8
0.643, -9.664e-7, -7.517e-8
0.642, -9.300e-7, -8.447e-8
0.641, -9.205e-7, -9.367e-8
0.640, -8.870e-7, -1.025e-7
0.639, -8.836e-7, -1.114e-7
0.638, -8.533e-7, -1.199e-7
0.637, -8.529e-7, -1.284e-7
0.636, -8.176e-7, -1.366e-7
0.635, -8.151e-7, -1.448e-7
0.634, -7.935e-7, -1.527e-7
0.633, -7.974e-7, -1.607e-7
0.632, -7.691e-7, -1.684e-7
0.631, -7.764e-7, -1.761e-7
0.630, -7.547e-7, -1.837e-7
0.629, -7.569e-7, -1.912e-7
0.628, -7.347e-7, -1.986e-7
0.627, -7.441e-7, -2.060e-7
0.626, -7.199e-7, -2.132e-7
0.625, -7.292e-7, -2.205e-7
0.624, -7.087e-7, -2.276e-7
0.623, -7.158e-7, -2.348e-7
0.622, -6.978e-7, -2.417e-7
0.621, -7.077e-7, -2.488e-7
0.620, -6.882e-7, -2.557e-7
0.619, -6.968e-7, -2.627e-7
0.618, -6.810e-7, -2.695e-7
0.617, -6.884e-7, -2.764e-7
0.616, -6.717e-7, -2.831e-7
0.615, -6.833e-7, -2.899e-7
0.614, -6.777e-7, -2.967e-7
0.613, -6.806e-7, -3.035e-7
0.612, -6.600e-7, -3.101e-7
0.611, -6.729e-7, -3.168e-7
0.610, -6.582e-7, -3.234e-7
0.609, -6.654e-7, -3.301e-7
0.608, -6.542e-7, -3.366e-7
0.607, -6.631e-7, -3.432e-7
0.606, -6.477e-7, -3.497e-7
0.605, -6.605e-7, -3.563e-7
0.604, -6.463e-7, -3.628e-7
0.603, -6.583e-7, -3.694e-7
0.602, -6.431e-7, -3.758e-7
0.601, -6.576e-7, -3.824e-7
0.600, -6.416e-7, -3.888e-7
0.599, -6.579e-7, -3.954e-7
0.598, -6.398e-7, -4.018e-7
0.597, -6.563e-7, -4.083e-7
0.596, -6.404e-7, -4.147e-7
0.595, -6.571e-7, -4.213e-7
0.594, -6.427e-7, -4.277e-7
0.593, -6.569e-7, -4.343e-7
0.592, -6.445e-7, -4.407e-7
0.591, -6.586e-7, -4.473e-7
0.590, -6.438e-7, -4.538e-7
0.589, -6.594e-7, -4.604e-7
0.588, -6.507e-7, -4.669e-7
0.587, -6.598e-7, -4.735e-7
0.586, -6.532e-7, -4.800e-7
0.585, -6.627e-7, -4.866e-7
0.584, -6.554e-7, -4.932e-7
0.583, -6.660e-7, -4.998e-7
0.582, -6.583e-7, -5.064e-7
0.581, -6.698e-7, -5.131e-7
0.580, -6.611e-7, -5.197e-7
0.579, -6.776e-7, -5.265e-7
0.578, -6.668e-7, -5.332e-7
0.577, -6.817e-7, -5.400e-7
0.576, -6.721e-7, -5.467e-7
0.575, -6.880e-7, -5.536e-7
0.574, -6.791e-7, -5.604e-7
0.573, -6.966e-7, -5.674e-7
0.572, -6.859e-7, -5.742e-7
0.571, -7.035e-7, -5.812e-7
0.570, -6.938e-7, -5.882e-7
0.569, -7.095e-7, -5.953e-7
0.568, -7.029e-7, -6.023e-7
0.567, -7.198e-7, -6.095e-7
0.566, -7.104e-7, -6.166e-7
0.565, -7.297e-7, -6.239e-7
0.564, -7.193e-7, -6.311e-7
0.563, -7.344e-7, -6.384e-7
0.562, -7.315e-7, -6.458e-7
0.561, -7.507e-7, -6.533e-7
0.560, -7.451e-7, -6.607e-7
0.559, -7.609e-7, -6.683e-7
0.558, -7.557e-7, -6.759e-7
0.557, -7.742e-7, -6.836e-7
0.556, -7.701e-7, -6.913e-7
0.555, -7.845e-7, -6.992e-7
0.554, -7.821e-7, -7.070e-7
0.553, -8.018e-7, -7.150e-7
0.552, -7.962e-7, -7.230e-7
0.551, -8.175e-7, -7.311e-7
0.550, -8.114e-7, -7.393e-7
0.549, -8.365e-7, -7.476e-7
0.548, -8.341e-7, -7.560e-7
0.547, -8.558e-7, -7.645e-7
0.546, -8.539e-7, -7.731e-7
0.545, -8.718e-7, -7.818e-7
0.544, -8.703e-7, -7.905e-7
0.543, -8.945e-7, -7.994e-7
0.542, -8.900e-7, -8.083e-7
0.541, -9.118e-7, -8.175e-7
0.540, -9.086e-7, -8.265e-7
0.539, -9.319e-7, -8.359e-7
0.538, -9.313e-7, -8.452e-7
0.537, -9.549e-7, -8.547e-7
0.536, -9.537e-7, -8.643e-7
0.535, -9.767e-7, -8.740e-7
0.534, -9.784e-7, -8.838e-7
0.533, -1.002e-6, -8.938e-7
0.532, -1.001e-6, -9.038e-7
0.531, -1.027e-6, -9.141e-7
0.530, -1.029e-6, -9.244e-7
0.529, -1.052e-6, -9.349e-7
0.528, -1.053e-6, -9.454e-7
0.527, -1.082e-6, -9.563e-7
0.526, -1.083e-6, -9.671e-7
0.525, -1.108e-6, -9.782e-7
0.524, -1.114e-6, -9.893e-7
0.523, -1.140e-6, -1.001e-6
0.522, -1.146e-6, -1.012e-6
0.521, -1.172e-6, -1.024e-6
0.520, -1.175e-6, -1.036e-6
0.519, -1.203e-6, -1.048e-6
0.518, -1.209e-6, -1.060e-6
0.517, -1.240e-6, -1.072e-6
0.516, -1.245e-6, -1.085e-6
0.515, -1.273e-6, -1.097e-6
0.514, -1.283e-6, -1.110e-6
0.513, -1.310e-6, -1.123e-6
0.512, -1.315e-6, -1.136e-6
0.511, -1.347e-6, -1.150e-6
0.510, -1.353e-6, -1.163e-6
0.509, -1.388e-6, -1.177e-6
0.508, -1.395e-6, -1.191e-6
0.507, -1.427e-6, -1.206e-6
0.506, -1.439e-6, -1.220e-6
0.505, -1.470e-6, -1.235e-6
0.504, -1.481e-6, -1.249e-6
0.503, -1.512e-6, -1.265e-6
0.502, -1.523e-6, -1.280e-6
0.501, -1.559e-6, -1.295e-6
0.500, -1.570e-6, -1.311e-6
0.499, -1.603e-6, -1.327e-6
0.498, -1.618e-6, -1.343e-6
0.497, -1.648e-6, -1.360e-6
0.496, -1.663e-6, -1.376e-6
0.495, -1.700e-6, -1.393e-6
0.494, -1.712e-6, -1.411e-6
0.493, -1.748e-6, -1.428e-6
0.492, -1.763e-6, -1.446e-6
0.491, -1.797e-6, -1.464e-6
0.490, -1.814e-6, -1.482e-6
0.489, -1.850e-6, -1.500e-6
0.488, -1.865e-6, -1.519e-6
0.487, -1.903e-6, -1.538e-6
0.486, -1.920e-6, -1.557e-6
0.485, -1.956e-6, -1.577e-6
0.484, -1.974e-6, -1.596e-6
0.483, -2.011e-6, -1.617e-6
0.482, -2.027e-6, -1.637e-6
0.481, -2.066e-6, -1.657e-6
0.480, -2.082e-6, -1.678e-6
0.479, -2.123e-6, -1.700e-6
0.478, -2.139e-6, -1.721e-6
0.477, -2.179e-6, -1.743e-6
0.476, -2.198e-6, -1.765e-6
0.475, -2.235e-6, -1.787e-6
0.474, -2.256e-6, -1.810e-6
0.473, -2.297e-6, -1.833e-6
0.472, -2.317e-6, -1.856e-6
0.471, -2.357e-6, -1.879e-6
0.470, -2.376e-6, -1.903e-6
0.469, -2.424e-6, -1.927e-6
0.468, -2.446e-6, -1.952e-6
0.467, -2.486e-6, -1.977e-6
0.466, -2.510e-6, -2.002e-6
0.465, -2.549e-6, -2.027e-6
0.464, -2.570e-6, -2.053e-6
0.463, -2.612e-6, -2.079e-6
0.462, -2.633e-6, -2.105e-6
0.461, -2.674e-6, -2.132e-6
0.460, -2.699e-6, -2.159e-6
0.459, -2.741e-6, -2.187e-6
0.458, -2.763e-6, -2.214e-6
0.457, -2.806e-6, -2.242e-6
0.456, -2.829e-6, -2.270e-6
0.455, -2.875e-6, -2.299e-6
0.454, -2.898e-6, -2.328e-6
0.453, -2.942e-6, -2.358e-6
0.452, -2.964e-6, -2.387e-6
0.451, -3.008e-6, -2.417e-6
0.450, -3.035e-6, -2.448e-6
0.449, -3.077e-6, -2.478e-6
0.448, -3.104e-6, -2.510e-6
0.447, -3.148e-6, -2.541e-6
0.446, -3.178e-6, -2.573e-6
0.445, -3.224e-6, -2.605e-6
0.444, -3.251e-6, -2.638e-6
0.443, -3.294e-6, -2.670e-6
0.442, -3.322e-6, -2.704e-6
0.441, -3.366e-6, -2.737e-6
0.440, -3.393e-6, -2.771e-6
0.439, -3.438e-6, -2.806e-6
0.438, -3.464e-6, -2.840e-6
0.437, -3.507e-6, -2.875e-6
0.436, -3.536e-6, -2.911e-6
0.435, -3.581e-6, -2.947e-6
0.434, -3.607e-6, -2.983e-6
0.433, -3.651e-6, -3.019e-6
0.432, -3.679e-6, -3.056e-6
0.431, -3.722e-6, -3.093e-6
0.430, -3.748e-6, -3.131e-6
0.429, -3.792e-6, -3.169e-6
