Sept. 20, 2023   13:37:52
Cyclic Voltammetry
File: d:\周三电化学\0.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 0.5mM H2SO4 Blank
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.28
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-5

Segment 1:
Ep = 0.453V
ip = 1.547e-6A
Ah = 1.048e-6C

Ep = -0.183V
ip = 3.386e-6A
Ah = 3.451e-6C

Segment 2:

Segment 3:
Ep = 0.472V
ip = 2.316e-6A
Ah = 2.197e-6C

Ep = -0.183V
ip = 3.387e-6A
Ah = 3.453e-6C

Segment 4:

Segment 5:
Ep = 0.472V
ip = 2.301e-6A
Ah = 2.183e-6C

Ep = -0.183V
ip = 3.382e-6A
Ah = 3.441e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 2.227e-8, 2.227e-10
0.648, 8.687e-8, 1.091e-9
0.647, 1.195e-7, 2.286e-9
0.646, 1.374e-7, 3.660e-9
0.645, 1.670e-7, 5.330e-9
0.644, 1.825e-7, 7.155e-9
0.643, 2.172e-7, 9.327e-9
0.642, 2.296e-7, 1.162e-8
0.641, 2.556e-7, 1.418e-8
0.640, 2.598e-7, 1.678e-8
0.639, 2.806e-7, 1.958e-8
0.638, 2.883e-7, 2.247e-8
0.637, 3.043e-7, 2.551e-8
0.636, 3.072e-7, 2.858e-8
0.635, 3.268e-7, 3.185e-8
0.634, 3.268e-7, 3.512e-8
0.633, 3.462e-7, 3.858e-8
0.632, 3.478e-7, 4.206e-8
0.631, 3.620e-7, 4.568e-8
0.630, 3.632e-7, 4.931e-8
0.629, 3.766e-7, 5.307e-8
0.628, 3.781e-7, 5.686e-8
0.627, 3.939e-7, 6.079e-8
0.626, 3.940e-7, 6.473e-8
0.625, 4.054e-7, 6.879e-8
0.624, 4.050e-7, 7.284e-8
0.623, 4.206e-7, 7.704e-8
0.622, 4.240e-7, 8.128e-8
0.621, 4.375e-7, 8.566e-8
0.620, 4.385e-7, 9.004e-8
0.619, 4.518e-7, 9.456e-8
0.618, 4.508e-7, 9.907e-8
0.617, 4.667e-7, 1.037e-7
0.616, 4.702e-7, 1.084e-7
0.615, 4.838e-7, 1.133e-7
0.614, 4.729e-7, 1.180e-7
0.613, 4.964e-7, 1.230e-7
0.612, 4.979e-7, 1.279e-7
0.611, 5.129e-7, 1.331e-7
0.610, 5.140e-7, 1.382e-7
0.609, 5.295e-7, 1.435e-7
0.608, 5.312e-7, 1.488e-7
0.607, 5.464e-7, 1.543e-7
0.606, 5.497e-7, 1.598e-7
0.605, 5.660e-7, 1.654e-7
0.604, 5.662e-7, 1.711e-7
0.603, 5.807e-7, 1.769e-7
0.602, 5.813e-7, 1.827e-7
0.601, 5.950e-7, 1.887e-7
0.600, 5.971e-7, 1.946e-7
0.599, 6.094e-7, 2.007e-7
0.598, 6.170e-7, 2.069e-7
0.597, 6.322e-7, 2.132e-7
0.596, 6.318e-7, 2.196e-7
0.595, 6.497e-7, 2.260e-7
0.594, 6.536e-7, 2.326e-7
0.593, 6.701e-7, 2.393e-7
0.592, 6.725e-7, 2.460e-7
0.591, 6.858e-7, 2.529e-7
0.590, 6.909e-7, 2.598e-7
0.589, 7.066e-7, 2.668e-7
0.588, 7.117e-7, 2.740e-7
0.587, 7.321e-7, 2.813e-7
0.586, 7.387e-7, 2.887e-7
0.585, 7.544e-7, 2.962e-7
0.584, 7.623e-7, 3.038e-7
0.583, 7.768e-7, 3.116e-7
0.582, 7.823e-7, 3.194e-7
0.581, 7.975e-7, 3.274e-7
0.580, 7.996e-7, 3.354e-7
0.579, 8.215e-7, 3.436e-7
0.578, 8.258e-7, 3.519e-7
0.577, 8.492e-7, 3.604e-7
0.576, 8.579e-7, 3.689e-7
0.575, 8.742e-7, 3.777e-7
0.574, 8.826e-7, 3.865e-7
0.573, 8.984e-7, 3.955e-7
0.572, 9.033e-7, 4.045e-7
0.571, 9.296e-7, 4.138e-7
0.570, 9.323e-7, 4.231e-7
0.569, 9.541e-7, 4.327e-7
0.568, 9.618e-7, 4.423e-7
0.567, 9.826e-7, 4.521e-7
0.566, 9.897e-7, 4.620e-7
0.565, 1.011e-6, 4.721e-7
0.564, 1.020e-6, 4.823e-7
0.563, 1.050e-6, 4.928e-7
0.562, 1.058e-6, 5.034e-7
0.561, 1.078e-6, 5.142e-7
0.560, 1.088e-6, 5.251e-7
0.559, 1.108e-6, 5.362e-7
0.558, 1.120e-6, 5.474e-7
0.557, 1.146e-6, 5.588e-7
0.556, 1.157e-6, 5.704e-7
0.555, 1.184e-6, 5.822e-7
0.554, 1.191e-6, 5.941e-7
0.553, 1.215e-6, 6.063e-7
0.552, 1.232e-6, 6.186e-7
0.551, 1.257e-6, 6.312e-7
0.550, 1.270e-6, 6.439e-7
0.549, 1.290e-6, 6.568e-7
0.548, 1.305e-6, 6.698e-7
0.547, 1.332e-6, 6.832e-7
0.546, 1.345e-6, 6.966e-7
0.545, 1.370e-6, 7.103e-7
0.544, 1.381e-6, 7.241e-7
0.543, 1.410e-6, 7.382e-7
0.542, 1.426e-6, 7.525e-7
0.541, 1.452e-6, 7.670e-7
0.540, 1.468e-6, 7.817e-7
0.539, 1.494e-6, 7.966e-7
0.538, 1.511e-6, 8.117e-7
0.537, 1.540e-6, 8.271e-7
0.536, 1.556e-6, 8.427e-7
0.535, 1.581e-6, 8.585e-7
0.534, 1.600e-6, 8.745e-7
0.533, 1.632e-6, 8.908e-7
0.532, 1.649e-6, 9.073e-7
0.531, 1.677e-6, 9.241e-7
0.530, 1.693e-6, 9.410e-7
0.529, 1.722e-6, 9.582e-7
0.528, 1.741e-6, 9.756e-7
0.527, 1.767e-6, 9.933e-7
0.526, 1.785e-6, 1.011e-6
0.525, 1.819e-6, 1.029e-6
0.524, 1.836e-6, 1.048e-6
0.523, 1.867e-6, 1.066e-6
0.522, 1.883e-6, 1.085e-6
0.521, 1.917e-6, 1.104e-6
0.520, 1.939e-6, 1.124e-6
0.519, 1.971e-6, 1.143e-6
0.518, 1.990e-6, 1.163e-6
0.517, 2.028e-6, 1.184e-6
0.516, 2.048e-6, 1.204e-6
0.515, 2.078e-6, 1.225e-6
0.514, 2.099e-6, 1.246e-6
0.513, 2.133e-6, 1.267e-6
0.512, 2.153e-6, 1.289e-6
0.511, 2.180e-6, 1.311e-6
0.510, 2.207e-6, 1.333e-6
0.509, 2.238e-6, 1.355e-6
0.508, 2.255e-6, 1.378e-6
0.507, 2.290e-6, 1.400e-6
0.506, 2.312e-6, 1.424e-6
0.505, 2.344e-6, 1.447e-6
0.504, 2.365e-6, 1.471e-6
0.503, 2.400e-6, 1.495e-6
0.502, 2.422e-6, 1.519e-6
0.501, 2.451e-6, 1.543e-6
0.500, 2.469e-6, 1.568e-6
0.499, 2.501e-6, 1.593e-6
0.498, 2.522e-6, 1.618e-6
0.497, 2.552e-6, 1.644e-6
0.496, 2.571e-6, 1.670e-6
0.495, 2.604e-6, 1.696e-6
0.494, 2.625e-6, 1.722e-6
0.493, 2.653e-6, 1.748e-6
0.492, 2.667e-6, 1.775e-6
0.491, 2.703e-6, 1.802e-6
0.490, 2.721e-6, 1.829e-6
0.489, 2.755e-6, 1.857e-6
0.488, 2.777e-6, 1.885e-6
0.487, 2.810e-6, 1.913e-6
0.486, 2.829e-6, 1.941e-6
0.485, 2.860e-6, 1.970e-6
0.484, 2.879e-6, 1.998e-6
0.483, 2.917e-6, 2.028e-6
0.482, 2.935e-6, 2.057e-6
0.481, 2.970e-6, 2.087e-6
0.480, 2.986e-6, 2.116e-6
0.479, 3.014e-6, 2.147e-6
0.478, 3.028e-6, 2.177e-6
0.477, 3.049e-6, 2.207e-6
0.476, 3.061e-6, 2.238e-6
0.475, 3.088e-6, 2.269e-6
0.474, 3.100e-6, 2.300e-6
0.473, 3.120e-6, 2.331e-6
0.472, 3.131e-6, 2.362e-6
0.471, 3.150e-6, 2.394e-6
0.470, 3.167e-6, 2.426e-6
0.469, 3.184e-6, 2.457e-6
0.468, 3.191e-6, 2.489e-6
0.467, 3.208e-6, 2.521e-6
0.466, 3.217e-6, 2.554e-6
0.465, 3.232e-6, 2.586e-6
0.464, 3.237e-6, 2.618e-6
0.463, 3.252e-6, 2.651e-6
0.462, 3.253e-6, 2.683e-6
0.461, 3.269e-6, 2.716e-6
0.460, 3.272e-6, 2.749e-6
0.459, 3.285e-6, 2.782e-6
0.458, 3.281e-6, 2.814e-6
0.457, 3.285e-6, 2.847e-6
0.456, 3.284e-6, 2.880e-6
0.455, 3.294e-6, 2.913e-6
0.454, 3.291e-6, 2.946e-6
0.453, 3.301e-6, 2.979e-6
0.452, 3.293e-6, 3.012e-6
0.451, 3.299e-6, 3.045e-6
0.450, 3.290e-6, 3.078e-6
0.449, 3.290e-6, 3.111e-6
0.448, 3.278e-6, 3.143e-6
0.447, 3.280e-6, 3.176e-6
0.446, 3.272e-6, 3.209e-6
0.445, 3.272e-6, 3.242e-6
0.444, 3.258e-6, 3.274e-6
0.443, 3.259e-6, 3.307e-6
0.442, 3.243e-6, 3.339e-6
0.441, 3.239e-6, 3.372e-6
0.440, 3.226e-6, 3.404e-6
0.439, 3.223e-6, 3.436e-6
0.438, 3.207e-6, 3.468e-6
0.437, 3.200e-6, 3.500e-6
0.436, 3.180e-6, 3.532e-6
0.435, 3.170e-6, 3.564e-6
0.434, 3.153e-6, 3.595e-6
0.433, 3.141e-6, 3.627e-6
0.432, 3.123e-6, 3.658e-6
0.431, 3.115e-6, 3.689e-6
