Sept. 20, 2023   13:25:05
Cyclic Voltammetry
File: d:\周三电化学\0.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 0.5mM H2SO4 Blank
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.5
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-5

Segment 1:
Ep = 0.430V
ip = 9.708e-6A
Ah = 1.554e-6C

Ep = -0.194V
ip = 1.629e-5A
Ah = 3.560e-6C

Segment 2:

Segment 3:
Ep = 0.444V
ip = 7.161e-6A
Ah = 1.476e-6C

Ep = -0.193V
ip = 1.616e-5A
Ah = 3.544e-6C

Segment 4:

Segment 5:
Ep = 0.444V
ip = 7.237e-6A
Ah = 1.485e-6C

Ep = -0.193V
ip = 1.612e-5A
Ah = 3.536e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 3.184e-7, 6.369e-10
0.648, 7.634e-7, 2.164e-9
0.647, 8.830e-7, 3.930e-9
0.646, 9.298e-7, 5.789e-9
0.645, 9.724e-7, 7.734e-9
0.644, 1.017e-6, 9.769e-9
0.643, 1.054e-6, 1.188e-8
0.642, 1.100e-6, 1.408e-8
0.641, 1.153e-6, 1.638e-8
0.640, 1.174e-6, 1.873e-8
0.639, 1.190e-6, 2.111e-8
0.638, 1.252e-6, 2.361e-8
0.637, 1.263e-6, 2.614e-8
0.636, 1.273e-6, 2.869e-8
0.635, 1.305e-6, 3.129e-8
0.634, 1.347e-6, 3.399e-8
0.633, 1.353e-6, 3.670e-8
0.632, 1.380e-6, 3.946e-8
0.631, 1.408e-6, 4.227e-8
0.630, 1.437e-6, 4.515e-8
0.629, 1.458e-6, 4.806e-8
0.628, 1.495e-6, 5.105e-8
0.627, 1.511e-6, 5.407e-8
0.626, 1.534e-6, 5.714e-8
0.625, 1.555e-6, 6.025e-8
0.624, 1.573e-6, 6.340e-8
0.623, 1.598e-6, 6.659e-8
0.622, 1.645e-6, 6.988e-8
0.621, 1.653e-6, 7.319e-8
0.620, 1.684e-6, 7.656e-8
0.619, 1.706e-6, 7.997e-8
0.618, 1.734e-6, 8.344e-8
0.617, 1.768e-6, 8.698e-8
0.616, 1.791e-6, 9.056e-8
0.615, 1.794e-6, 9.414e-8
0.614, 1.798e-6, 9.774e-8
0.613, 1.833e-6, 1.014e-7
0.612, 1.880e-6, 1.052e-7
0.611, 1.915e-6, 1.090e-7
0.610, 1.955e-6, 1.129e-7
0.609, 1.978e-6, 1.169e-7
0.608, 2.021e-6, 1.209e-7
0.607, 2.032e-6, 1.250e-7
0.606, 2.082e-6, 1.291e-7
0.605, 2.072e-6, 1.333e-7
0.604, 2.139e-6, 1.376e-7
0.603, 2.159e-6, 1.419e-7
0.602, 2.184e-6, 1.462e-7
0.601, 2.232e-6, 1.507e-7
0.600, 2.259e-6, 1.552e-7
0.599, 2.300e-6, 1.598e-7
0.598, 2.344e-6, 1.645e-7
0.597, 2.369e-6, 1.692e-7
0.596, 2.409e-6, 1.741e-7
0.595, 2.432e-6, 1.789e-7
0.594, 2.476e-6, 1.839e-7
0.593, 2.508e-6, 1.889e-7
0.592, 2.553e-6, 1.940e-7
0.591, 2.595e-6, 1.992e-7
0.590, 2.636e-6, 2.045e-7
0.589, 2.675e-6, 2.098e-7
0.588, 2.723e-6, 2.153e-7
0.587, 2.761e-6, 2.208e-7
0.586, 2.807e-6, 2.264e-7
0.585, 2.838e-6, 2.321e-7
0.584, 2.901e-6, 2.379e-7
0.583, 2.974e-6, 2.438e-7
0.582, 3.028e-6, 2.499e-7
0.581, 3.067e-6, 2.560e-7
0.580, 3.124e-6, 2.623e-7
0.579, 3.149e-6, 2.686e-7
0.578, 3.229e-6, 2.750e-7
0.577, 3.279e-6, 2.816e-7
0.576, 3.316e-6, 2.882e-7
0.575, 3.355e-6, 2.949e-7
0.574, 3.421e-6, 3.018e-7
0.573, 3.471e-6, 3.087e-7
0.572, 3.515e-6, 3.157e-7
0.571, 3.579e-6, 3.229e-7
0.570, 3.656e-6, 3.302e-7
0.569, 3.696e-6, 3.376e-7
0.568, 3.759e-6, 3.451e-7
0.567, 3.820e-6, 3.528e-7
0.566, 3.864e-6, 3.605e-7
0.565, 3.912e-6, 3.683e-7
0.564, 4.009e-6, 3.763e-7
0.563, 4.058e-6, 3.844e-7
0.562, 4.126e-6, 3.927e-7
0.561, 4.201e-6, 4.011e-7
0.560, 4.268e-6, 4.096e-7
0.559, 4.326e-6, 4.183e-7
0.558, 4.404e-6, 4.271e-7
0.557, 4.475e-6, 4.360e-7
0.556, 4.533e-6, 4.451e-7
0.555, 4.590e-6, 4.543e-7
0.554, 4.690e-6, 4.637e-7
0.553, 4.743e-6, 4.731e-7
0.552, 4.811e-6, 4.828e-7
0.551, 4.919e-6, 4.926e-7
0.550, 4.989e-6, 5.026e-7
0.549, 5.053e-6, 5.127e-7
0.548, 5.150e-6, 5.230e-7
0.547, 5.234e-6, 5.335e-7
0.546, 5.284e-6, 5.440e-7
0.545, 5.366e-6, 5.548e-7
0.544, 5.458e-6, 5.657e-7
0.543, 5.531e-6, 5.767e-7
0.542, 5.634e-6, 5.880e-7
0.541, 5.721e-6, 5.994e-7
0.540, 5.803e-6, 6.111e-7
0.539, 5.888e-6, 6.228e-7
0.538, 6.011e-6, 6.349e-7
0.537, 6.080e-6, 6.470e-7
0.536, 6.165e-6, 6.593e-7
0.535, 6.250e-6, 6.718e-7
0.534, 6.369e-6, 6.846e-7
0.533, 6.447e-6, 6.975e-7
0.532, 6.553e-6, 7.106e-7
0.531, 6.664e-6, 7.239e-7
0.530, 6.758e-6, 7.374e-7
0.529, 6.855e-6, 7.511e-7
0.528, 6.956e-6, 7.650e-7
0.527, 7.063e-6, 7.792e-7
0.526, 7.169e-6, 7.935e-7
0.525, 7.249e-6, 8.080e-7
0.524, 7.364e-6, 8.227e-7
0.523, 7.472e-6, 8.377e-7
0.522, 7.589e-6, 8.529e-7
0.521, 7.694e-6, 8.682e-7
0.520, 7.816e-6, 8.839e-7
0.519, 7.920e-6, 8.997e-7
0.518, 8.021e-6, 9.158e-7
0.517, 8.130e-6, 9.320e-7
0.516, 8.253e-6, 9.485e-7
0.515, 8.349e-6, 9.652e-7
0.514, 8.480e-6, 9.822e-7
0.513, 8.603e-6, 9.994e-7
0.512, 8.709e-6, 1.017e-6
0.511, 8.862e-6, 1.035e-6
0.510, 8.975e-6, 1.052e-6
0.509, 9.087e-6, 1.071e-6
0.508, 9.235e-6, 1.089e-6
0.507, 9.365e-6, 1.108e-6
0.506, 9.483e-6, 1.127e-6
0.505, 9.569e-6, 1.146e-6
0.504, 9.704e-6, 1.165e-6
0.503, 9.832e-6, 1.185e-6
0.502, 9.965e-6, 1.205e-6
0.501, 1.007e-5, 1.225e-6
0.500, 1.022e-5, 1.246e-6
0.499, 1.033e-5, 1.266e-6
0.498, 1.045e-5, 1.287e-6
0.497, 1.058e-5, 1.308e-6
0.496, 1.069e-5, 1.330e-6
0.495, 1.081e-5, 1.351e-6
0.494, 1.094e-5, 1.373e-6
0.493, 1.107e-5, 1.395e-6
0.492, 1.120e-5, 1.418e-6
0.491, 1.131e-5, 1.440e-6
0.490, 1.144e-5, 1.463e-6
0.489, 1.156e-5, 1.486e-6
0.488, 1.169e-5, 1.510e-6
0.487, 1.183e-5, 1.533e-6
0.486, 1.193e-5, 1.557e-6
0.485, 1.201e-5, 1.581e-6
0.484, 1.217e-5, 1.606e-6
0.483, 1.231e-5, 1.630e-6
0.482, 1.243e-5, 1.655e-6
0.481, 1.255e-5, 1.680e-6
0.480, 1.268e-5, 1.706e-6
0.479, 1.279e-5, 1.731e-6
0.478, 1.289e-5, 1.757e-6
0.477, 1.303e-5, 1.783e-6
0.476, 1.313e-5, 1.809e-6
0.475, 1.322e-5, 1.836e-6
0.474, 1.336e-5, 1.862e-6
0.473, 1.345e-5, 1.889e-6
0.472, 1.356e-5, 1.916e-6
0.471, 1.368e-5, 1.944e-6
0.470, 1.380e-5, 1.971e-6
0.469, 1.389e-5, 1.999e-6
0.468, 1.400e-5, 2.027e-6
0.467, 1.409e-5, 2.055e-6
0.466, 1.420e-5, 2.084e-6
0.465, 1.428e-5, 2.112e-6
0.464, 1.439e-5, 2.141e-6
0.463, 1.448e-5, 2.170e-6
0.462, 1.458e-5, 2.199e-6
0.461, 1.466e-5, 2.229e-6
0.460, 1.478e-5, 2.258e-6
0.459, 1.485e-5, 2.288e-6
0.458, 1.496e-5, 2.318e-6
0.457, 1.502e-5, 2.348e-6
0.456, 1.510e-5, 2.378e-6
0.455, 1.515e-5, 2.408e-6
0.454, 1.525e-5, 2.439e-6
0.453, 1.532e-5, 2.469e-6
0.452, 1.539e-5, 2.500e-6
0.451, 1.549e-5, 2.531e-6
0.450, 1.558e-5, 2.562e-6
0.449, 1.562e-5, 2.594e-6
0.448, 1.568e-5, 2.625e-6
0.447, 1.575e-5, 2.656e-6
0.446, 1.580e-5, 2.688e-6
0.445, 1.583e-5, 2.720e-6
0.444, 1.590e-5, 2.752e-6
0.443, 1.593e-5, 2.783e-6
0.442, 1.598e-5, 2.815e-6
0.441, 1.602e-5, 2.847e-6
0.440, 1.606e-5, 2.880e-6
0.439, 1.610e-5, 2.912e-6
0.438, 1.614e-5, 2.944e-6
0.437, 1.616e-5, 2.976e-6
0.436, 1.619e-5, 3.009e-6
0.435, 1.619e-5, 3.041e-6
0.434, 1.621e-5, 3.073e-6
0.433, 1.623e-5, 3.106e-6
0.432, 1.624e-5, 3.138e-6
0.431, 1.625e-5, 3.171e-6
