Sept. 20, 2023   14:51:39
Cyclic Voltammetry
File: d:\周三电化学\ch3oh.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.481V
ip = 2.353e-6A
Ah = 1.851e-6C

Segment 3:
Ep = 0.502V
ip = -4.521e-6A
Ah = -3.569e-6C

Segment 4:
Ep = 0.487V
ip = 2.208e-6A
Ah = 1.727e-6C

Segment 5:
Ep = 0.499V
ip = -4.547e-6A
Ah = -3.541e-6C

Segment 6:
Ep = 0.485V
ip = 2.189e-6A
Ah = 1.760e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.651, -3.089e-6, -3.089e-8
0.652, -3.148e-6, -6.237e-8
0.653, -3.163e-6, -9.400e-8
0.654, -3.160e-6, -1.256e-7
0.655, -3.159e-6, -1.572e-7
0.656, -3.129e-6, -1.885e-7
0.657, -3.119e-6, -2.197e-7
0.658, -3.117e-6, -2.508e-7
0.659, -3.116e-6, -2.820e-7
0.660, -3.103e-6, -3.130e-7
0.661, -3.095e-6, -3.440e-7
0.662, -3.072e-6, -3.747e-7
0.663, -3.070e-6, -4.054e-7
0.664, -3.068e-6, -4.361e-7
0.665, -3.068e-6, -4.668e-7
0.666, -3.067e-6, -4.974e-7
0.667, -3.063e-6, -5.281e-7
0.668, -3.051e-6, -5.586e-7
0.669, -3.046e-6, -5.890e-7
0.670, -3.032e-6, -6.194e-7
0.671, -3.024e-6, -6.496e-7
0.672, -3.020e-6, -6.798e-7
0.673, -3.023e-6, -7.100e-7
0.674, -3.019e-6, -7.402e-7
0.675, -3.023e-6, -7.705e-7
0.676, -3.019e-6, -8.006e-7
0.677, -3.019e-6, -8.308e-7
0.678, -3.018e-6, -8.610e-7
0.679, -3.019e-6, -8.912e-7
0.680, -3.019e-6, -9.214e-7
0.681, -3.019e-6, -9.516e-7
0.682, -3.017e-6, -9.817e-7
0.683, -3.017e-6, -1.012e-6
0.684, -3.018e-6, -1.042e-6
0.685, -3.018e-6, -1.072e-6
0.686, -3.015e-6, -1.102e-6
0.687, -3.018e-6, -1.133e-6
0.688, -3.018e-6, -1.163e-6
0.689, -3.015e-6, -1.193e-6
0.690, -3.019e-6, -1.223e-6
0.691, -3.019e-6, -1.253e-6
0.692, -3.011e-6, -1.283e-6
0.693, -3.017e-6, -1.314e-6
0.694, -3.019e-6, -1.344e-6
0.695, -3.019e-6, -1.374e-6
0.696, -3.015e-6, -1.404e-6
0.697, -3.019e-6, -1.434e-6
0.698, -3.017e-6, -1.464e-6
0.699, -3.017e-6, -1.495e-6
0.700, -3.018e-6, -1.525e-6
0.701, -3.020e-6, -1.555e-6
0.702, -3.019e-6, -1.585e-6
0.703, -3.019e-6, -1.615e-6
0.704, -3.019e-6, -1.646e-6
0.705, -3.019e-6, -1.676e-6
0.706, -3.017e-6, -1.706e-6
0.707, -3.020e-6, -1.736e-6
0.708, -3.019e-6, -1.766e-6
0.709, -3.019e-6, -1.797e-6
0.710, -3.020e-6, -1.827e-6
0.711, -3.019e-6, -1.857e-6
0.712, -3.021e-6, -1.887e-6
0.713, -3.020e-6, -1.917e-6
0.714, -3.019e-6, -1.948e-6
0.715, -3.021e-6, -1.978e-6
0.716, -3.020e-6, -2.008e-6
0.717, -3.029e-6, -2.038e-6
0.718, -3.019e-6, -2.068e-6
0.719, -3.026e-6, -2.099e-6
0.720, -3.021e-6, -2.129e-6
0.721, -3.024e-6, -2.159e-6
0.722, -3.026e-6, -2.189e-6
0.723, -3.019e-6, -2.220e-6
0.724, -3.024e-6, -2.250e-6
0.725, -3.022e-6, -2.280e-6
0.726, -3.020e-6, -2.310e-6
0.727, -3.023e-6, -2.340e-6
0.728, -3.034e-6, -2.371e-6
0.729, -3.039e-6, -2.401e-6
0.730, -3.024e-6, -2.431e-6
0.731, -3.025e-6, -2.462e-6
0.732, -3.022e-6, -2.492e-6
0.733, -3.034e-6, -2.522e-6
0.734, -3.020e-6, -2.552e-6
0.735, -3.043e-6, -2.583e-6
0.736, -3.021e-6, -2.613e-6
0.737, -3.025e-6, -2.643e-6
0.738, -3.039e-6, -2.674e-6
0.739, -3.030e-6, -2.704e-6
0.740, -3.031e-6, -2.734e-6
0.741, -3.037e-6, -2.765e-6
0.742, -3.039e-6, -2.795e-6
0.743, -3.026e-6, -2.825e-6
0.744, -3.034e-6, -2.856e-6
0.745, -3.026e-6, -2.886e-6
0.746, -3.041e-6, -2.916e-6
0.747, -3.035e-6, -2.947e-6
0.748, -3.036e-6, -2.977e-6
0.749, -3.039e-6, -3.007e-6
0.750, -3.058e-6, -3.038e-6
0.751, -3.060e-6, -3.069e-6
0.752, -3.031e-6, -3.099e-6
0.753, -3.056e-6, -3.130e-6
0.754, -3.050e-6, -3.160e-6
0.755, -3.060e-6, -3.191e-6
0.756, -3.064e-6, -3.221e-6
0.757, -3.060e-6, -3.252e-6
0.758, -3.064e-6, -3.282e-6
0.759, -3.067e-6, -3.313e-6
0.760, -3.061e-6, -3.344e-6
0.761, -3.065e-6, -3.374e-6
0.762, -3.067e-6, -3.405e-6
0.763, -3.068e-6, -3.436e-6
0.764, -3.067e-6, -3.466e-6
0.765, -3.068e-6, -3.497e-6
0.766, -3.068e-6, -3.528e-6
0.767, -3.068e-6, -3.558e-6
0.768, -3.070e-6, -3.589e-6
0.769, -3.071e-6, -3.620e-6
0.770, -3.073e-6, -3.651e-6
0.771, -3.072e-6, -3.681e-6
0.772, -3.071e-6, -3.712e-6
0.773, -3.081e-6, -3.743e-6
0.774, -3.072e-6, -3.774e-6
0.775, -3.081e-6, -3.804e-6
0.776, -3.084e-6, -3.835e-6
0.777, -3.093e-6, -3.866e-6
0.778, -3.090e-6, -3.897e-6
0.779, -3.107e-6, -3.928e-6
0.780, -3.104e-6, -3.959e-6
0.781, -3.107e-6, -3.990e-6
0.782, -3.111e-6, -4.021e-6
0.783, -3.116e-6, -4.053e-6
0.784, -3.115e-6, -4.084e-6
0.785, -3.116e-6, -4.115e-6
0.786, -3.116e-6, -4.146e-6
0.787, -3.124e-6, -4.177e-6
0.788, -3.119e-6, -4.208e-6
0.789, -3.120e-6, -4.240e-6
0.790, -3.133e-6, -4.271e-6
0.791, -3.126e-6, -4.302e-6
0.792, -3.149e-6, -4.334e-6
0.793, -3.151e-6, -4.365e-6
0.794, -3.148e-6, -4.397e-6
0.795, -3.164e-6, -4.428e-6
0.796, -3.162e-6, -4.460e-6
0.797, -3.165e-6, -4.492e-6
0.798, -3.165e-6, -4.523e-6
0.799, -3.166e-6, -4.555e-6
0.800, -3.166e-6, -4.587e-6
0.801, -3.167e-6, -4.618e-6
0.802, -3.171e-6, -4.650e-6
0.803, -3.183e-6, -4.682e-6
0.804, -3.187e-6, -4.714e-6
0.805, -3.189e-6, -4.746e-6
0.806, -3.207e-6, -4.778e-6
0.807, -3.214e-6, -4.810e-6
0.808, -3.213e-6, -4.842e-6
0.809, -3.215e-6, -4.874e-6
0.810, -3.218e-6, -4.906e-6
0.811, -3.229e-6, -4.938e-6
0.812, -3.232e-6, -4.971e-6
0.813, -3.248e-6, -5.003e-6
0.814, -3.237e-6, -5.036e-6
0.815, -3.261e-6, -5.068e-6
0.816, -3.261e-6, -5.101e-6
0.817, -3.263e-6, -5.134e-6
0.818, -3.264e-6, -5.166e-6
0.819, -3.267e-6, -5.199e-6
0.820, -3.266e-6, -5.231e-6
0.821, -3.290e-6, -5.264e-6
0.822, -3.290e-6, -5.297e-6
0.823, -3.310e-6, -5.330e-6
0.824, -3.311e-6, -5.363e-6
0.825, -3.317e-6, -5.397e-6
0.826, -3.318e-6, -5.430e-6
0.827, -3.343e-6, -5.463e-6
0.828, -3.346e-6, -5.497e-6
0.829, -3.360e-6, -5.530e-6
0.830, -3.360e-6, -5.564e-6
0.831, -3.363e-6, -5.598e-6
0.832, -3.364e-6, -5.631e-6
0.833, -3.381e-6, -5.665e-6
0.834, -3.398e-6, -5.699e-6
0.835, -3.408e-6, -5.733e-6
0.836, -3.409e-6, -5.767e-6
0.837, -3.414e-6, -5.801e-6
0.838, -3.420e-6, -5.836e-6
0.839, -3.443e-6, -5.870e-6
0.840, -3.450e-6, -5.904e-6
0.841, -3.458e-6, -5.939e-6
0.842, -3.459e-6, -5.974e-6
0.843, -3.469e-6, -6.008e-6
0.844, -3.490e-6, -6.043e-6
0.845, -3.499e-6, -6.078e-6
0.846, -3.506e-6, -6.113e-6
0.847, -3.515e-6, -6.148e-6
0.848, -3.520e-6, -6.184e-6
0.849, -3.551e-6, -6.219e-6
0.850, -3.555e-6, -6.255e-6
0.851, -3.557e-6, -6.290e-6
0.852, -3.561e-6, -6.326e-6
0.853, -3.589e-6, -6.362e-6
0.854, -3.602e-6, -6.398e-6
0.855, -3.606e-6, -6.434e-6
0.856, -3.610e-6, -6.470e-6
0.857, -3.636e-6, -6.506e-6
0.858, -3.649e-6, -6.543e-6
0.859, -3.654e-6, -6.579e-6
0.860, -3.655e-6, -6.616e-6
0.861, -3.678e-6, -6.653e-6
0.862, -3.686e-6, -6.689e-6
0.863, -3.705e-6, -6.727e-6
0.864, -3.707e-6, -6.764e-6
0.865, -3.732e-6, -6.801e-6
0.866, -3.750e-6, -6.838e-6
0.867, -3.753e-6, -6.876e-6
0.868, -3.756e-6, -6.914e-6
0.869, -3.793e-6, -6.951e-6
0.870, -3.796e-6, -6.989e-6
0.871, -3.823e-6, -7.028e-6
