Sept. 20, 2023   13:51:54
Cyclic Voltammetry
File: d:\周三电化学\fast.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 0.5mM H2SO4 Blank
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.28
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-5

Segment 1:

Segment 2:

Segment 3:
Ep = 0.143V
ip = 2.627e-5A
Ah = 2.670e-5C

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, -2.765e-7, -2.765e-9
0.648, -1.829e-7, -4.594e-9
0.647, -1.437e-7, -6.032e-9
0.646, -1.181e-7, -7.212e-9
0.645, -1.153e-7, -8.365e-9
0.644, -1.028e-7, -9.393e-9
0.643, -8.334e-8, -1.023e-8
0.642, -4.299e-8, -1.066e-8
0.641, -6.883e-9, -1.073e-8
0.640, 1.131e-8, -1.061e-8
0.639, 1.924e-8, -1.042e-8
0.638, 1.839e-8, -1.024e-8
0.637, 1.165e-8, -1.012e-8
0.636, 1.035e-8, -1.002e-8
0.635, 2.403e-8, -9.775e-9
0.634, 5.019e-8, -9.274e-9
0.633, 7.557e-8, -8.518e-9
0.632, 8.742e-8, -7.644e-9
0.631, 7.231e-8, -6.921e-9
0.630, 3.783e-8, -6.542e-9
0.629, 5.698e-8, -5.972e-9
0.628, 8.836e-8, -5.089e-9
0.627, 7.265e-8, -4.362e-9
0.626, 9.001e-8, -3.462e-9
0.625, 1.266e-7, -2.196e-9
0.624, 1.243e-7, -9.527e-10
0.623, 1.166e-7, 2.129e-10
0.622, 1.085e-7, 1.298e-9
0.621, 1.016e-7, 2.314e-9
0.620, 9.711e-8, 3.285e-9
0.619, 7.909e-8, 4.076e-9
0.618, 1.035e-7, 5.111e-9
0.617, 2.070e-7, 7.181e-9
0.616, 1.589e-7, 8.771e-9
0.615, 1.424e-7, 1.019e-8
0.614, 1.275e-7, 1.147e-8
0.613, 1.226e-7, 1.270e-8
0.612, 1.257e-7, 1.395e-8
0.611, 1.377e-7, 1.533e-8
0.610, 1.357e-7, 1.669e-8
0.609, 1.339e-7, 1.802e-8
0.608, 1.452e-7, 1.948e-8
0.607, 2.147e-7, 2.162e-8
0.606, 1.861e-7, 2.348e-8
0.605, 1.578e-7, 2.506e-8
0.604, 1.582e-7, 2.664e-8
0.603, 1.776e-7, 2.842e-8
0.602, 2.015e-7, 3.043e-8
0.601, 2.142e-7, 3.258e-8
0.600, 2.127e-7, 3.470e-8
0.599, 1.966e-7, 3.667e-8
0.598, 1.336e-7, 3.801e-8
0.597, 1.255e-7, 3.926e-8
0.596, 2.503e-7, 4.176e-8
0.595, 2.596e-7, 4.436e-8
0.594, 2.447e-7, 4.681e-8
0.593, 2.343e-7, 4.915e-8
0.592, 2.215e-7, 5.137e-8
0.591, 2.685e-7, 5.405e-8
0.590, 2.355e-7, 5.641e-8
0.589, 2.290e-7, 5.870e-8
0.588, 2.422e-7, 6.112e-8
0.587, 2.645e-7, 6.376e-8
0.586, 2.826e-7, 6.659e-8
0.585, 2.887e-7, 6.947e-8
0.584, 2.835e-7, 7.231e-8
0.583, 2.761e-7, 7.507e-8
0.582, 2.663e-7, 7.773e-8
0.581, 2.695e-7, 8.043e-8
0.580, 2.864e-7, 8.329e-8
0.579, 3.020e-7, 8.631e-8
0.578, 3.061e-7, 8.937e-8
0.577, 2.870e-7, 9.224e-8
0.576, 3.034e-7, 9.528e-8
0.575, 2.953e-7, 9.823e-8
0.574, 3.390e-7, 1.016e-7
0.573, 3.198e-7, 1.048e-7
0.572, 3.317e-7, 1.081e-7
0.571, 3.529e-7, 1.117e-7
0.570, 3.663e-7, 1.153e-7
0.569, 3.654e-7, 1.190e-7
0.568, 3.620e-7, 1.226e-7
0.567, 3.517e-7, 1.261e-7
0.566, 3.485e-7, 1.296e-7
0.565, 3.588e-7, 1.332e-7
0.564, 3.809e-7, 1.370e-7
0.563, 3.997e-7, 1.410e-7
0.562, 3.991e-7, 1.450e-7
0.561, 3.540e-7, 1.485e-7
0.560, 3.943e-7, 1.525e-7
0.559, 4.280e-7, 1.568e-7
0.558, 4.078e-7, 1.608e-7
0.557, 4.085e-7, 1.649e-7
0.556, 4.323e-7, 1.692e-7
0.555, 4.540e-7, 1.738e-7
0.554, 4.524e-7, 1.783e-7
0.553, 3.906e-7, 1.822e-7
0.552, 4.427e-7, 1.866e-7
0.551, 4.968e-7, 1.916e-7
0.550, 4.706e-7, 1.963e-7
0.549, 4.785e-7, 2.011e-7
0.548, 4.975e-7, 2.061e-7
0.547, 5.166e-7, 2.112e-7
0.546, 5.235e-7, 2.165e-7
0.545, 5.213e-7, 2.217e-7
0.544, 5.016e-7, 2.267e-7
0.543, 4.627e-7, 2.313e-7
0.542, 5.505e-7, 2.368e-7
0.541, 5.577e-7, 2.424e-7
0.540, 5.724e-7, 2.481e-7
0.539, 5.873e-7, 2.540e-7
0.538, 5.905e-7, 2.599e-7
0.537, 5.908e-7, 2.658e-7
0.536, 5.855e-7, 2.717e-7
0.535, 5.776e-7, 2.774e-7
0.534, 5.862e-7, 2.833e-7
0.533, 6.320e-7, 2.896e-7
0.532, 6.545e-7, 2.962e-7
0.531, 6.697e-7, 3.029e-7
0.530, 6.730e-7, 3.096e-7
0.529, 6.731e-7, 3.163e-7
0.528, 6.714e-7, 3.230e-7
0.527, 6.730e-7, 3.298e-7
0.526, 6.638e-7, 3.364e-7
0.525, 6.745e-7, 3.432e-7
0.524, 7.748e-7, 3.509e-7
0.523, 7.722e-7, 3.586e-7
0.522, 7.724e-7, 3.664e-7
0.521, 7.749e-7, 3.741e-7
0.520, 7.752e-7, 3.819e-7
0.519, 7.776e-7, 3.896e-7
0.518, 6.929e-7, 3.966e-7
0.517, 6.801e-7, 4.034e-7
0.516, 7.435e-7, 4.108e-7
0.515, 8.016e-7, 4.188e-7
0.514, 1.011e-6, 4.289e-7
0.513, 9.603e-7, 4.385e-7
0.512, 9.150e-7, 4.477e-7
0.511, 9.179e-7, 4.569e-7
0.510, 9.398e-7, 4.663e-7
0.509, 9.750e-7, 4.760e-7
0.508, 9.974e-7, 4.860e-7
0.507, 1.009e-6, 4.961e-7
0.506, 1.005e-6, 5.061e-7
0.505, 9.318e-7, 5.154e-7
0.504, 8.892e-7, 5.243e-7
0.503, 1.094e-6, 5.353e-7
0.502, 1.166e-6, 5.469e-7
0.501, 1.148e-6, 5.584e-7
0.500, 1.159e-6, 5.700e-7
0.499, 1.171e-6, 5.817e-7
0.498, 1.204e-6, 5.938e-7
0.497, 1.207e-6, 6.058e-7
0.496, 1.221e-6, 6.180e-7
0.495, 1.244e-6, 6.305e-7
0.494, 1.153e-6, 6.420e-7
0.493, 1.373e-6, 6.557e-7
0.492, 1.369e-6, 6.694e-7
0.491, 1.379e-6, 6.832e-7
0.490, 1.309e-6, 6.963e-7
0.489, 1.267e-6, 7.090e-7
0.488, 1.570e-6, 7.247e-7
0.487, 1.498e-6, 7.396e-7
0.486, 1.528e-6, 7.549e-7
0.485, 1.566e-6, 7.706e-7
0.484, 1.598e-6, 7.866e-7
0.483, 1.626e-6, 8.028e-7
0.482, 1.624e-6, 8.191e-7
0.481, 1.619e-6, 8.353e-7
0.480, 1.719e-6, 8.524e-7
0.479, 1.737e-6, 8.698e-7
0.478, 1.775e-6, 8.876e-7
0.477, 1.805e-6, 9.056e-7
0.476, 1.720e-6, 9.228e-7
0.475, 1.952e-6, 9.423e-7
0.474, 1.966e-6, 9.620e-7
0.473, 1.960e-6, 9.816e-7
0.472, 1.990e-6, 1.002e-6
0.471, 2.038e-6, 1.022e-6
0.470, 2.098e-6, 1.043e-6
0.469, 2.147e-6, 1.064e-6
0.468, 2.188e-6, 1.086e-6
0.467, 2.223e-6, 1.108e-6
0.466, 2.249e-6, 1.131e-6
0.465, 2.284e-6, 1.154e-6
0.464, 2.326e-6, 1.177e-6
0.463, 2.268e-6, 1.200e-6
0.462, 2.149e-6, 1.221e-6
0.461, 2.023e-6, 1.241e-6
0.460, 2.193e-6, 1.263e-6
0.459, 2.190e-6, 1.285e-6
0.458, 2.991e-6, 1.315e-6
0.457, 2.763e-6, 1.343e-6
0.456, 2.770e-6, 1.371e-6
0.455, 2.848e-6, 1.399e-6
0.454, 2.937e-6, 1.428e-6
0.453, 2.988e-6, 1.458e-6
0.452, 2.875e-6, 1.487e-6
0.451, 3.019e-6, 1.517e-6
0.450, 3.211e-6, 1.549e-6
0.449, 3.230e-6, 1.582e-6
0.448, 3.286e-6, 1.614e-6
0.447, 3.352e-6, 1.648e-6
0.446, 3.424e-6, 1.682e-6
0.445, 3.184e-6, 1.714e-6
0.444, 3.663e-6, 1.751e-6
0.443, 3.647e-6, 1.787e-6
0.442, 3.676e-6, 1.824e-6
0.441, 3.764e-6, 1.862e-6
0.440, 3.870e-6, 1.900e-6
0.439, 3.953e-6, 1.940e-6
0.438, 4.032e-6, 1.980e-6
0.437, 4.104e-6, 2.021e-6
0.436, 4.157e-6, 2.063e-6
0.435, 4.205e-6, 2.105e-6
0.434, 4.262e-6, 2.147e-6
0.433, 4.335e-6, 2.191e-6
0.432, 4.454e-6, 2.235e-6
0.431, 4.548e-6, 2.281e-6
0.430, 4.629e-6, 2.327e-6
0.429, 4.589e-6, 2.373e-6
0.428, 4.381e-6, 2.417e-6
0.427, 3.922e-6, 2.456e-6
0.426, 5.185e-6, 2.508e-6
0.425, 5.075e-6, 2.559e-6
0.424, 5.142e-6, 2.610e-6
0.423, 5.240e-6, 2.662e-6
