Sept. 20, 2023   14:06:29
Cyclic Voltammetry
File: d:\周三电化学\medium.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 0.5mM H2SO4 Blank
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.28
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-5

Segment 1:

Segment 2:
Segment 3:
Ep = 0.192V
ip = 7.082e-6A
Ah = 9.688e-6C

Ep = -0.103V
ip = 2.248e-5A
Ah = 1.861e-6C

Segment 4:
Segment 5:
Ep = 0.159V
ip = 7.087e-6A
Ah = 6.598e-7C

Segment 6:
Potential/V, Current/A, Charge/C

Segment 1:
0.649, -1.892e-7, -1.892e-9
0.648, -1.442e-7, -3.334e-9
0.647, -1.115e-7, -4.449e-9
0.646, -9.767e-8, -5.426e-9
0.645, -8.279e-8, -6.254e-9
0.644, -6.852e-8, -6.939e-9
0.643, -5.571e-8, -7.496e-9
0.642, -4.611e-8, -7.957e-9
0.641, -3.286e-8, -8.286e-9
0.640, -3.112e-8, -8.597e-9
0.639, -1.706e-8, -8.768e-9
0.638, -1.081e-8, -8.876e-9
0.637, -3.766e-9, -8.913e-9
0.636, -6.706e-10, -8.920e-9
0.635, 9.358e-9, -8.826e-9
0.634, 1.177e-8, -8.709e-9
0.633, 2.257e-8, -8.483e-9
0.632, 2.397e-8, -8.243e-9
0.631, 3.185e-8, -7.925e-9
0.630, 3.293e-8, -7.596e-9
0.629, 4.186e-8, -7.177e-9
0.628, 4.110e-8, -6.766e-9
0.627, 4.956e-8, -6.270e-9
0.626, 4.693e-8, -5.801e-9
0.625, 5.844e-8, -5.217e-9
0.624, 5.734e-8, -4.643e-9
0.623, 6.404e-8, -4.003e-9
0.622, 6.514e-8, -3.352e-9
0.621, 6.923e-8, -2.659e-9
0.620, 6.860e-8, -1.973e-9
0.619, 7.829e-8, -1.190e-9
0.618, 7.572e-8, -4.332e-10
0.617, 8.083e-8, 3.751e-10
0.616, 8.032e-8, 1.178e-9
0.615, 8.532e-8, 2.032e-9
0.614, 7.911e-8, 2.823e-9
0.613, 8.918e-8, 3.715e-9
0.612, 8.899e-8, 4.604e-9
0.611, 9.372e-8, 5.542e-9
0.610, 9.334e-8, 6.475e-9
0.609, 9.694e-8, 7.444e-9
0.608, 9.692e-8, 8.414e-9
0.607, 1.015e-7, 9.429e-9
0.606, 1.028e-7, 1.046e-8
0.605, 1.065e-7, 1.152e-8
0.604, 1.045e-7, 1.257e-8
0.603, 1.109e-7, 1.368e-8
0.602, 1.077e-7, 1.475e-8
0.601, 1.127e-7, 1.588e-8
0.600, 1.128e-7, 1.701e-8
0.599, 1.173e-7, 1.818e-8
0.598, 1.153e-7, 1.933e-8
0.597, 1.227e-7, 2.056e-8
0.596, 1.183e-7, 2.174e-8
0.595, 1.243e-7, 2.299e-8
0.594, 1.232e-7, 2.422e-8
0.593, 1.291e-7, 2.551e-8
0.592, 1.268e-7, 2.678e-8
0.591, 1.333e-7, 2.811e-8
0.590, 1.337e-7, 2.945e-8
0.589, 1.400e-7, 3.085e-8
0.588, 1.375e-7, 3.222e-8
0.587, 1.464e-7, 3.369e-8
0.586, 1.432e-7, 3.512e-8
0.585, 1.479e-7, 3.660e-8
0.584, 1.477e-7, 3.807e-8
0.583, 1.557e-7, 3.963e-8
0.582, 1.571e-7, 4.120e-8
0.581, 1.646e-7, 4.285e-8
0.580, 1.623e-7, 4.447e-8
0.579, 1.752e-7, 4.622e-8
0.578, 1.710e-7, 4.793e-8
0.577, 1.824e-7, 4.976e-8
0.576, 1.820e-7, 5.158e-8
0.575, 1.907e-7, 5.348e-8
0.574, 1.915e-7, 5.540e-8
0.573, 1.987e-7, 5.738e-8
0.572, 1.963e-7, 5.935e-8
0.571, 2.108e-7, 6.146e-8
0.570, 2.075e-7, 6.353e-8
0.569, 2.163e-7, 6.569e-8
0.568, 2.177e-7, 6.787e-8
0.567, 2.284e-7, 7.015e-8
0.566, 2.252e-7, 7.241e-8
0.565, 2.330e-7, 7.474e-8
0.564, 2.334e-7, 7.707e-8
0.563, 2.464e-7, 7.953e-8
0.562, 2.423e-7, 8.196e-8
0.561, 2.553e-7, 8.451e-8
0.560, 2.526e-7, 8.704e-8
0.559, 2.639e-7, 8.967e-8
0.558, 2.631e-7, 9.231e-8
0.557, 2.737e-7, 9.504e-8
0.556, 2.713e-7, 9.775e-8
0.555, 2.841e-7, 1.006e-7
0.554, 2.813e-7, 1.034e-7
0.553, 2.899e-7, 1.063e-7
0.552, 2.926e-7, 1.092e-7
0.551, 2.993e-7, 1.122e-7
0.550, 2.996e-7, 1.152e-7
0.549, 3.081e-7, 1.183e-7
0.548, 3.071e-7, 1.214e-7
0.547, 3.190e-7, 1.246e-7
0.546, 3.214e-7, 1.278e-7
0.545, 3.316e-7, 1.311e-7
0.544, 3.326e-7, 1.344e-7
0.543, 3.439e-7, 1.379e-7
0.542, 3.466e-7, 1.413e-7
0.541, 3.575e-7, 1.449e-7
0.540, 3.585e-7, 1.485e-7
0.539, 3.741e-7, 1.522e-7
0.538, 3.762e-7, 1.560e-7
0.537, 3.873e-7, 1.599e-7
0.536, 3.915e-7, 1.638e-7
0.535, 4.004e-7, 1.678e-7
0.534, 4.056e-7, 1.718e-7
0.533, 4.172e-7, 1.760e-7
0.532, 4.222e-7, 1.802e-7
0.531, 4.384e-7, 1.846e-7
0.530, 4.391e-7, 1.890e-7
0.529, 4.546e-7, 1.935e-7
0.528, 4.629e-7, 1.982e-7
0.527, 4.752e-7, 2.029e-7
0.526, 4.816e-7, 2.077e-7
0.525, 4.938e-7, 2.127e-7
0.524, 4.976e-7, 2.177e-7
0.523, 5.129e-7, 2.228e-7
0.522, 5.194e-7, 2.280e-7
0.521, 5.349e-7, 2.333e-7
0.520, 5.421e-7, 2.388e-7
0.519, 5.586e-7, 2.443e-7
0.518, 5.630e-7, 2.500e-7
0.517, 5.799e-7, 2.558e-7
0.516, 5.841e-7, 2.616e-7
0.515, 5.986e-7, 2.676e-7
0.514, 6.032e-7, 2.736e-7
0.513, 6.217e-7, 2.798e-7
0.512, 6.325e-7, 2.862e-7
0.511, 6.535e-7, 2.927e-7
0.510, 6.576e-7, 2.993e-7
0.509, 6.744e-7, 3.060e-7
0.508, 6.822e-7, 3.128e-7
0.507, 6.995e-7, 3.198e-7
0.506, 7.063e-7, 3.269e-7
0.505, 7.271e-7, 3.342e-7
0.504, 7.374e-7, 3.415e-7
0.503, 7.583e-7, 3.491e-7
0.502, 7.699e-7, 3.568e-7
0.501, 7.955e-7, 3.648e-7
0.500, 8.060e-7, 3.728e-7
0.499, 8.312e-7, 3.812e-7
0.498, 8.440e-7, 3.896e-7
0.497, 8.678e-7, 3.983e-7
0.496, 8.797e-7, 4.071e-7
0.495, 9.047e-7, 4.161e-7
0.494, 9.185e-7, 4.253e-7
0.493, 9.429e-7, 4.347e-7
0.492, 9.567e-7, 4.443e-7
0.491, 9.821e-7, 4.541e-7
0.490, 9.935e-7, 4.641e-7
0.489, 1.020e-6, 4.743e-7
0.488, 1.036e-6, 4.846e-7
0.487, 1.063e-6, 4.953e-7
0.486, 1.076e-6, 5.060e-7
0.485, 1.099e-6, 5.170e-7
0.484, 1.119e-6, 5.282e-7
0.483, 1.151e-6, 5.397e-7
0.482, 1.169e-6, 5.514e-7
0.481, 1.201e-6, 5.634e-7
0.480, 1.223e-6, 5.756e-7
0.479, 1.257e-6, 5.882e-7
0.478, 1.277e-6, 6.010e-7
0.477, 1.307e-6, 6.141e-7
0.476, 1.331e-6, 6.274e-7
0.475, 1.365e-6, 6.410e-7
0.474, 1.382e-6, 6.548e-7
0.473, 1.412e-6, 6.689e-7
0.472, 1.435e-6, 6.833e-7
0.471, 1.468e-6, 6.980e-7
0.470, 1.487e-6, 7.128e-7
0.469, 1.525e-6, 7.281e-7
0.468, 1.549e-6, 7.436e-7
0.467, 1.586e-6, 7.595e-7
0.466, 1.615e-6, 7.756e-7
0.465, 1.652e-6, 7.921e-7
0.464, 1.679e-6, 8.089e-7
0.463, 1.717e-6, 8.261e-7
0.462, 1.744e-6, 8.435e-7
0.461, 1.776e-6, 8.613e-7
0.460, 1.801e-6, 8.793e-7
0.459, 1.844e-6, 8.977e-7
0.458, 1.864e-6, 9.164e-7
0.457, 1.901e-6, 9.354e-7
0.456, 1.932e-6, 9.547e-7
0.455, 1.972e-6, 9.744e-7
0.454, 2.004e-6, 9.945e-7
0.453, 2.045e-6, 1.015e-6
0.452, 2.075e-6, 1.036e-6
0.451, 2.118e-6, 1.057e-6
0.450, 2.142e-6, 1.078e-6
0.449, 2.181e-6, 1.100e-6
0.448, 2.212e-6, 1.122e-6
0.447, 2.249e-6, 1.145e-6
0.446, 2.281e-6, 1.168e-6
0.445, 2.327e-6, 1.191e-6
0.444, 2.356e-6, 1.214e-6
0.443, 2.403e-6, 1.238e-6
0.442, 2.436e-6, 1.263e-6
0.441, 2.475e-6, 1.287e-6
0.440, 2.511e-6, 1.313e-6
0.439, 2.550e-6, 1.338e-6
0.438, 2.580e-6, 1.364e-6
0.437, 2.626e-6, 1.390e-6
0.436, 2.651e-6, 1.417e-6
0.435, 2.697e-6, 1.444e-6
0.434, 2.731e-6, 1.471e-6
0.433, 2.779e-6, 1.499e-6
0.432, 2.818e-6, 1.527e-6
0.431, 2.865e-6, 1.556e-6
0.430, 2.909e-6, 1.585e-6
0.429, 2.968e-6, 1.614e-6
0.428, 3.008e-6, 1.644e-6
0.427, 3.052e-6, 1.675e-6
0.426, 3.089e-6, 1.706e-6
