Sept. 20, 2023   14:11:03
Cyclic Voltammetry
File: d:\周三电化学\slow.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 0.5mM H2SO4 Blank
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.28
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-5

Segment 1:
Ep = 0.305V
ip = 4.804e-6A
Ah = 5.621e-6C

Ep = -0.191V
ip = 2.426e-6A
Ah = 2.218e-6C

Segment 2:

Segment 3:
Ep = 0.307V
ip = 2.283e-6A
Ah = 2.714e-6C

Ep = -0.190V
ip = 2.496e-6A
Ah = 2.332e-6C

Segment 4:

Segment 5:
Ep = 0.312V
ip = 2.341e-6A
Ah = 2.727e-6C

Ep = -0.189V
ip = 2.483e-6A
Ah = 2.347e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, -2.987e-8, -2.987e-10
0.648, 3.404e-8, 4.171e-11
0.647, 6.597e-8, 7.014e-10
0.646, 9.126e-8, 1.614e-9
0.645, 1.042e-7, 2.656e-9
0.644, 1.192e-7, 3.849e-9
0.643, 1.271e-7, 5.119e-9
0.642, 1.423e-7, 6.542e-9
0.641, 1.513e-7, 8.056e-9
0.640, 1.626e-7, 9.682e-9
0.639, 1.712e-7, 1.139e-8
0.638, 1.927e-7, 1.332e-8
0.637, 2.000e-7, 1.532e-8
0.636, 2.144e-7, 1.747e-8
0.635, 2.212e-7, 1.968e-8
0.634, 2.351e-7, 2.203e-8
0.633, 2.365e-7, 2.439e-8
0.632, 2.525e-7, 2.692e-8
0.631, 2.555e-7, 2.947e-8
0.630, 2.670e-7, 3.214e-8
0.629, 2.736e-7, 3.488e-8
0.628, 2.830e-7, 3.771e-8
0.627, 2.846e-7, 4.056e-8
0.626, 2.938e-7, 4.350e-8
0.625, 2.955e-7, 4.645e-8
0.624, 3.055e-7, 4.951e-8
0.623, 3.072e-7, 5.258e-8
0.622, 3.179e-7, 5.576e-8
0.621, 3.195e-7, 5.895e-8
0.620, 3.283e-7, 6.223e-8
0.619, 3.334e-7, 6.557e-8
0.618, 3.420e-7, 6.899e-8
0.617, 3.443e-7, 7.243e-8
0.616, 3.571e-7, 7.600e-8
0.615, 3.581e-7, 7.958e-8
0.614, 3.593e-7, 8.318e-8
0.613, 3.683e-7, 8.686e-8
0.612, 3.777e-7, 9.064e-8
0.611, 3.801e-7, 9.444e-8
0.610, 3.871e-7, 9.831e-8
0.609, 3.904e-7, 1.022e-7
0.608, 3.995e-7, 1.062e-7
0.607, 4.023e-7, 1.102e-7
0.606, 4.115e-7, 1.143e-7
0.605, 4.143e-7, 1.185e-7
0.604, 4.215e-7, 1.227e-7
0.603, 4.281e-7, 1.270e-7
0.602, 4.378e-7, 1.314e-7
0.601, 4.390e-7, 1.358e-7
0.600, 4.515e-7, 1.403e-7
0.599, 4.538e-7, 1.448e-7
0.598, 4.681e-7, 1.495e-7
0.597, 4.722e-7, 1.542e-7
0.596, 4.826e-7, 1.590e-7
0.595, 4.849e-7, 1.639e-7
0.594, 4.924e-7, 1.688e-7
0.593, 4.989e-7, 1.738e-7
0.592, 5.080e-7, 1.789e-7
0.591, 5.157e-7, 1.840e-7
0.590, 5.281e-7, 1.893e-7
0.589, 5.295e-7, 1.946e-7
0.588, 5.399e-7, 2.000e-7
0.587, 5.482e-7, 2.055e-7
0.586, 5.570e-7, 2.111e-7
0.585, 5.648e-7, 2.167e-7
0.584, 5.751e-7, 2.225e-7
0.583, 5.788e-7, 2.282e-7
0.582, 5.871e-7, 2.341e-7
0.581, 5.928e-7, 2.400e-7
0.580, 6.011e-7, 2.461e-7
0.579, 6.065e-7, 2.521e-7
0.578, 6.198e-7, 2.583e-7
0.577, 6.281e-7, 2.646e-7
0.576, 6.394e-7, 2.710e-7
0.575, 6.454e-7, 2.774e-7
0.574, 6.574e-7, 2.840e-7
0.573, 6.642e-7, 2.907e-7
0.572, 6.786e-7, 2.975e-7
0.571, 6.859e-7, 3.043e-7
0.570, 6.982e-7, 3.113e-7
0.569, 7.047e-7, 3.183e-7
0.568, 7.195e-7, 3.255e-7
0.567, 7.286e-7, 3.328e-7
0.566, 7.417e-7, 3.402e-7
0.565, 7.533e-7, 3.478e-7
0.564, 7.657e-7, 3.554e-7
0.563, 7.773e-7, 3.632e-7
0.562, 7.879e-7, 3.711e-7
0.561, 7.958e-7, 3.790e-7
0.560, 8.070e-7, 3.871e-7
0.559, 8.184e-7, 3.953e-7
0.558, 8.343e-7, 4.036e-7
0.557, 8.448e-7, 4.121e-7
0.556, 8.596e-7, 4.207e-7
0.555, 8.704e-7, 4.294e-7
0.554, 8.833e-7, 4.382e-7
0.553, 8.925e-7, 4.471e-7
0.552, 9.077e-7, 4.562e-7
0.551, 9.162e-7, 4.654e-7
0.550, 9.333e-7, 4.747e-7
0.549, 9.453e-7, 4.842e-7
0.548, 9.624e-7, 4.938e-7
0.547, 9.731e-7, 5.035e-7
0.546, 9.881e-7, 5.134e-7
0.545, 1.002e-6, 5.234e-7
0.544, 1.019e-6, 5.336e-7
0.543, 1.031e-6, 5.439e-7
0.542, 1.052e-6, 5.544e-7
0.541, 1.065e-6, 5.651e-7
0.540, 1.080e-6, 5.759e-7
0.539, 1.097e-6, 5.869e-7
0.538, 1.115e-6, 5.980e-7
0.537, 1.128e-6, 6.093e-7
0.536, 1.149e-6, 6.208e-7
0.535, 1.165e-6, 6.324e-7
0.534, 1.182e-6, 6.442e-7
0.533, 1.197e-6, 6.562e-7
0.532, 1.216e-6, 6.684e-7
0.531, 1.236e-6, 6.807e-7
0.530, 1.256e-6, 6.933e-7
0.529, 1.273e-6, 7.060e-7
0.528, 1.295e-6, 7.190e-7
0.527, 1.310e-6, 7.321e-7
0.526, 1.335e-6, 7.454e-7
0.525, 1.351e-6, 7.589e-7
0.524, 1.370e-6, 7.726e-7
0.523, 1.389e-6, 7.865e-7
0.522, 1.410e-6, 8.006e-7
0.521, 1.431e-6, 8.150e-7
0.520, 1.453e-6, 8.295e-7
0.519, 1.473e-6, 8.442e-7
0.518, 1.497e-6, 8.592e-7
0.517, 1.519e-6, 8.744e-7
0.516, 1.545e-6, 8.898e-7
0.515, 1.564e-6, 9.055e-7
0.514, 1.588e-6, 9.213e-7
0.513, 1.611e-6, 9.375e-7
0.512, 1.638e-6, 9.538e-7
0.511, 1.661e-6, 9.704e-7
0.510, 1.684e-6, 9.873e-7
0.509, 1.706e-6, 1.004e-6
0.508, 1.731e-6, 1.022e-6
0.507, 1.756e-6, 1.039e-6
0.506, 1.778e-6, 1.057e-6
0.505, 1.803e-6, 1.075e-6
0.504, 1.832e-6, 1.093e-6
0.503, 1.857e-6, 1.112e-6
0.502, 1.882e-6, 1.131e-6
0.501, 1.908e-6, 1.150e-6
0.500, 1.940e-6, 1.169e-6
0.499, 1.964e-6, 1.189e-6
0.498, 1.994e-6, 1.209e-6
0.497, 2.030e-6, 1.229e-6
0.496, 2.056e-6, 1.250e-6
0.495, 2.082e-6, 1.270e-6
0.494, 2.115e-6, 1.292e-6
0.493, 2.143e-6, 1.313e-6
0.492, 2.164e-6, 1.335e-6
0.491, 2.195e-6, 1.357e-6
0.490, 2.226e-6, 1.379e-6
0.489, 2.255e-6, 1.401e-6
0.488, 2.285e-6, 1.424e-6
0.487, 2.318e-6, 1.447e-6
0.486, 2.349e-6, 1.471e-6
0.485, 2.380e-6, 1.495e-6
0.484, 2.417e-6, 1.519e-6
0.483, 2.446e-6, 1.543e-6
0.482, 2.476e-6, 1.568e-6
0.481, 2.510e-6, 1.593e-6
0.480, 2.539e-6, 1.619e-6
0.479, 2.571e-6, 1.644e-6
0.478, 2.607e-6, 1.670e-6
0.477, 2.639e-6, 1.697e-6
0.476, 2.671e-6, 1.724e-6
0.475, 2.709e-6, 1.751e-6
0.474, 2.743e-6, 1.778e-6
0.473, 2.781e-6, 1.806e-6
0.472, 2.823e-6, 1.834e-6
0.471, 2.859e-6, 1.863e-6
0.470, 2.904e-6, 1.892e-6
0.469, 2.949e-6, 1.921e-6
0.468, 2.992e-6, 1.951e-6
0.467, 3.031e-6, 1.981e-6
0.466, 3.064e-6, 2.012e-6
0.465, 3.101e-6, 2.043e-6
0.464, 3.133e-6, 2.074e-6
0.463, 3.170e-6, 2.106e-6
0.462, 3.212e-6, 2.138e-6
0.461, 3.251e-6, 2.171e-6
0.460, 3.288e-6, 2.204e-6
0.459, 3.322e-6, 2.237e-6
0.458, 3.354e-6, 2.270e-6
0.457, 3.395e-6, 2.304e-6
0.456, 3.429e-6, 2.339e-6
0.455, 3.468e-6, 2.373e-6
0.454, 3.506e-6, 2.408e-6
0.453, 3.544e-6, 2.444e-6
0.452, 3.583e-6, 2.480e-6
0.451, 3.621e-6, 2.516e-6
0.450, 3.660e-6, 2.552e-6
0.449, 3.701e-6, 2.589e-6
0.448, 3.735e-6, 2.627e-6
0.447, 3.777e-6, 2.665e-6
0.446, 3.813e-6, 2.703e-6
0.445, 3.852e-6, 2.741e-6
0.444, 3.892e-6, 2.780e-6
0.443, 3.932e-6, 2.819e-6
0.442, 3.970e-6, 2.859e-6
0.441, 4.011e-6, 2.899e-6
0.440, 4.053e-6, 2.940e-6
0.439, 4.095e-6, 2.981e-6
0.438, 4.128e-6, 3.022e-6
0.437, 4.173e-6, 3.064e-6
0.436, 4.211e-6, 3.106e-6
0.435, 4.251e-6, 3.148e-6
0.434, 4.292e-6, 3.191e-6
0.433, 4.336e-6, 3.235e-6
0.432, 4.379e-6, 3.278e-6
0.431, 4.417e-6, 3.323e-6
