Oct. 19, 2023   13:24:28
Cyclic Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\0_1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5

Segment 1:

Segment 2:
Ep = 0.430V
ip = 2.313e-5A
Ah = 2.328e-5C

Ep = -0.290V
ip = 2.288e-5A
Ah = 1.434e-5C

Segment 3:

Segment 4:
Ep = 0.440V
ip = 2.383e-5A
Ah = 2.130e-5C

Ep = -0.290V
ip = 2.137e-5A
Ah = 1.492e-5C

Segment 5:

Segment 6:
Ep = 0.430V
ip = 2.332e-5A
Ah = 2.354e-5C

Ep = -0.290V
ip = 2.314e-5A
Ah = 1.588e-5C

Potential/V, Current/A, Charge/C

Segment 1:
0.010, -4.629e-6, -4.629e-7
0.020, -4.149e-6, -8.779e-7
0.030, -3.623e-6, -1.240e-6
0.040, -3.422e-6, -1.582e-6
0.050, -2.894e-6, -1.872e-6
0.060, -2.798e-6, -2.152e-6
0.070, -2.560e-6, -2.407e-6
0.080, -2.388e-6, -2.646e-6
0.090, -2.394e-6, -2.886e-6
0.100, -2.218e-6, -3.107e-6
0.110, -2.295e-6, -3.337e-6
0.120, -2.226e-6, -3.560e-6
0.130, -2.210e-6, -3.781e-6
0.140, -2.282e-6, -4.009e-6
0.150, -2.182e-6, -4.227e-6
0.160, -2.276e-6, -4.455e-6
0.170, -2.214e-6, -4.676e-6
0.180, -2.203e-6, -4.896e-6
0.190, -2.268e-6, -5.123e-6
0.200, -2.141e-6, -5.337e-6
0.210, -2.252e-6, -5.563e-6
0.220, -2.195e-6, -5.782e-6
0.230, -2.249e-6, -6.007e-6
0.240, -2.323e-6, -6.239e-6
0.250, -2.286e-6, -6.468e-6
0.260, -2.448e-6, -6.713e-6
0.270, -2.403e-6, -6.953e-6
0.280, -2.492e-6, -7.202e-6
0.290, -2.572e-6, -7.459e-6
0.300, -2.552e-6, -7.714e-6
0.310, -2.705e-6, -7.985e-6
0.320, -2.673e-6, -8.252e-6
0.330, -2.778e-6, -8.530e-6
0.340, -2.866e-6, -8.817e-6
0.350, -2.887e-6, -9.105e-6
0.360, -3.096e-6, -9.415e-6
0.370, -3.108e-6, -9.726e-6
0.380, -3.321e-6, -1.006e-5
0.390, -3.475e-6, -1.041e-5
0.400, -3.587e-6, -1.076e-5
0.410, -3.864e-6, -1.115e-5
0.420, -3.942e-6, -1.154e-5
0.430, -4.256e-6, -1.197e-5
0.440, -4.497e-6, -1.242e-5
0.450, -4.723e-6, -1.289e-5
0.460, -5.177e-6, -1.341e-5
0.470, -5.416e-6, -1.395e-5
0.480, -6.032e-6, -1.455e-5
0.490, -6.544e-6, -1.521e-5
0.500, -7.255e-6, -1.593e-5
0.510, -8.290e-6, -1.676e-5
0.520, -9.091e-6, -1.767e-5
0.530, -1.038e-5, -1.871e-5
0.540, -1.121e-5, -1.983e-5
0.550, -1.229e-5, -2.106e-5
0.560, -1.330e-5, -2.239e-5
0.570, -1.389e-5, -2.378e-5
0.580, -1.496e-5, -2.528e-5
0.590, -1.542e-5, -2.682e-5
0.600, -1.631e-5, -2.845e-5
0.610, -1.703e-5, -3.015e-5
0.620, -1.749e-5, -3.190e-5
0.630, -1.851e-5, -3.375e-5
0.640, -1.881e-5, -3.563e-5
0.650, -1.961e-5, -3.759e-5
0.660, -2.019e-5, -3.961e-5
0.670, -2.053e-5, -4.167e-5
0.680, -2.139e-5, -4.381e-5
0.690, -2.148e-5, -4.595e-5
0.700, -2.219e-5, -4.817e-5
0.710, -2.256e-5, -5.043e-5
0.720, -2.285e-5, -5.271e-5
0.730, -2.357e-5, -5.507e-5
0.740, -2.363e-5, -5.743e-5
0.750, -2.439e-5, -5.987e-5
0.760, -2.469e-5, -6.234e-5
0.770, -2.507e-5, -6.485e-5
0.780, -2.574e-5, -6.742e-5
0.790, -2.587e-5, -7.001e-5
0.800, -2.664e-5, -7.267e-5
0.810, -2.700e-5, -7.537e-5
0.820, -2.750e-5, -7.812e-5
0.830, -2.824e-5, -8.095e-5
0.840, -2.855e-5, -8.380e-5
0.850, -2.944e-5, -8.675e-5
0.860, -2.987e-5, -8.973e-5
0.870, -3.056e-5, -9.279e-5
0.880, -3.129e-5, -9.592e-5
0.890, -3.173e-5, -9.909e-5
0.900, -3.269e-5, -1.024e-4
0.910, -3.309e-5, -1.057e-4
0.920, -3.382e-5, -1.091e-4
0.930, -3.451e-5, -1.125e-4
0.940, -3.489e-5, -1.160e-4
0.950, -3.575e-5, -1.196e-4
0.960, -3.607e-5, -1.232e-4
0.970, -3.680e-5, -1.269e-4
0.980, -3.735e-5, -1.306e-4
0.990, -3.773e-5, -1.344e-4
1.000, -3.851e-5, -1.382e-4
1.010, -3.877e-5, -1.421e-4
1.020, -3.941e-5, -1.460e-4
1.030, -3.991e-5, -1.500e-4
1.040, -4.029e-5, -1.541e-4
1.050, -4.098e-5, -1.582e-4
1.060, -4.116e-5, -1.623e-4
1.070, -4.183e-5, -1.665e-4
1.080, -4.219e-5, -1.707e-4
1.090, -4.256e-5, -1.749e-4

Segment 2:
1.100, -3.522e-5, -1.784e-4
1.090, -2.415e-5, -1.809e-4
1.080, -1.770e-5, -1.826e-4
1.070, -1.327e-5, -1.840e-4
1.060, -1.005e-5, -1.850e-4
1.050, -7.843e-6, -1.857e-4
1.040, -5.923e-6, -1.863e-4
1.030, -4.668e-6, -1.868e-4
1.020, -3.605e-6, -1.872e-4
1.010, -2.650e-6, -1.874e-4
1.000, -2.091e-6, -1.876e-4
0.990, -1.366e-6, -1.878e-4
0.980, -9.767e-7, -1.879e-4
0.970, -5.632e-7, -1.879e-4
0.960, -1.212e-7, -1.879e-4
0.950, 4.849e-8, -1.879e-4
0.940, 4.731e-7, -1.879e-4
0.930, 6.192e-7, -1.878e-4
0.920, 9.067e-7, -1.877e-4
0.910, 1.186e-6, -1.876e-4
0.900, 1.245e-6, -1.875e-4
0.890, 1.620e-6, -1.873e-4
0.880, 1.671e-6, -1.872e-4
0.870, 1.942e-6, -1.870e-4
0.860, 2.159e-6, -1.868e-4
0.850, 2.223e-6, -1.865e-4
0.840, 2.590e-6, -1.863e-4
0.830, 2.621e-6, -1.860e-4
0.820, 2.932e-6, -1.857e-4
0.810, 3.142e-6, -1.854e-4
0.800, 3.278e-6, -1.851e-4
0.790, 3.691e-6, -1.847e-4
0.780, 3.730e-6, -1.843e-4
0.770, 4.159e-6, -1.839e-4
0.760, 4.369e-6, -1.835e-4
0.750, 4.611e-6, -1.830e-4
0.740, 5.083e-6, -1.825e-4
0.730, 5.216e-6, -1.820e-4
0.720, 5.792e-6, -1.814e-4
0.710, 6.062e-6, -1.808e-4
0.700, 6.485e-6, -1.802e-4
0.690, 7.095e-6, -1.795e-4
0.680, 7.450e-6, -1.787e-4
0.670, 8.269e-6, -1.779e-4
0.660, 8.683e-6, -1.770e-4
0.650, 9.413e-6, -1.761e-4
0.640, 1.019e-5, -1.751e-4
0.630, 1.083e-5, -1.740e-4
0.620, 1.192e-5, -1.728e-4
0.610, 1.265e-5, -1.715e-4
0.600, 1.388e-5, -1.701e-4
0.590, 1.506e-5, -1.686e-4
0.580, 1.625e-5, -1.670e-4
0.570, 1.794e-5, -1.652e-4
0.560, 1.928e-5, -1.633e-4
0.550, 2.127e-5, -1.611e-4
0.540, 2.312e-5, -1.588e-4
0.530, 2.523e-5, -1.563e-4
0.520, 2.766e-5, -1.535e-4
0.510, 2.979e-5, -1.506e-4
0.500, 3.266e-5, -1.473e-4
0.490, 3.490e-5, -1.438e-4
0.480, 3.744e-5, -1.401e-4
0.470, 3.988e-5, -1.361e-4
0.460, 4.164e-5, -1.319e-4
0.450, 4.350e-5, -1.276e-4
0.440, 4.409e-5, -1.232e-4
0.430, 4.450e-5, -1.187e-4
0.420, 4.392e-5, -1.143e-4
0.410, 4.243e-5, -1.101e-4
0.400, 4.073e-5, -1.060e-4
0.390, 3.783e-5, -1.022e-4
0.380, 3.516e-5, -9.869e-5
0.370, 3.216e-5, -9.548e-5
0.360, 2.905e-5, -9.257e-5
0.350, 2.646e-5, -8.993e-5
0.340, 2.369e-5, -8.756e-5
0.330, 2.142e-5, -8.542e-5
0.320, 1.934e-5, -8.348e-5
0.310, 1.747e-5, -8.174e-5
0.300, 1.603e-5, -8.013e-5
0.290, 1.447e-5, -7.869e-5
0.280, 1.334e-5, -7.735e-5
0.270, 1.224e-5, -7.613e-5
0.260, 1.124e-5, -7.500e-5
0.250, 1.052e-5, -7.395e-5
0.240, 9.665e-6, -7.298e-5
0.230, 9.111e-6, -7.207e-5
0.220, 8.529e-6, -7.122e-5
0.210, 7.970e-6, -7.042e-5
0.200, 7.644e-6, -6.966e-5
0.190, 7.056e-6, -6.895e-5
0.180, 6.828e-6, -6.827e-5
0.170, 6.510e-6, -6.762e-5
0.160, 6.251e-6, -6.699e-5
0.150, 6.167e-6, -6.638e-5
0.140, 5.896e-6, -6.579e-5
0.130, 5.884e-6, -6.520e-5
0.120, 5.689e-6, -6.463e-5
0.110, 5.554e-6, -6.408e-5
0.100, 5.568e-6, -6.352e-5
0.090, 5.385e-6, -6.298e-5
0.080, 5.508e-6, -6.243e-5
0.070, 5.427e-6, -6.189e-5
0.060, 5.519e-6, -6.133e-5
0.050, 5.724e-6, -6.076e-5
0.040, 5.815e-6, -6.018e-5
0.030, 6.274e-6, -5.955e-5
0.020, 6.532e-6, -5.890e-5
