Oct. 19, 2023   13:27:43
Cyclic Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\0_2.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.2
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5

Segment 1:

Segment 2:
Ep = 0.415V
ip = 2.469e-5A
Ah = 1.347e-5C

Ep = -0.295V
ip = 3.099e-5A
Ah = 9.901e-6C

Segment 3:

Segment 4:
Ep = 0.425V
ip = 3.720e-5A
Ah = 1.843e-5C

Ep = -0.295V
ip = 3.555e-5A
Ah = 1.224e-5C

Segment 5:

Segment 6:
Ep = 0.425V
ip = 3.946e-5A
Ah = 1.865e-5C

Potential/V, Current/A, Charge/C

Segment 1:
0.005, -4.655e-6, -1.164e-7
0.010, -4.747e-6, -2.351e-7
0.015, -4.785e-6, -3.547e-7
0.020, -4.743e-6, -4.732e-7
0.025, -4.663e-6, -5.898e-7
0.030, -4.423e-6, -7.004e-7
0.035, -4.167e-6, -8.046e-7
0.040, -3.908e-6, -9.023e-7
0.045, -3.810e-6, -9.975e-7
0.050, -3.777e-6, -1.092e-6
0.055, -3.756e-6, -1.186e-6
0.060, -3.670e-6, -1.278e-6
0.065, -3.521e-6, -1.366e-6
0.070, -3.349e-6, -1.449e-6
0.075, -3.230e-6, -1.530e-6
0.080, -3.205e-6, -1.610e-6
0.085, -3.234e-6, -1.691e-6
0.090, -3.245e-6, -1.772e-6
0.095, -3.178e-6, -1.852e-6
0.100, -3.106e-6, -1.929e-6
0.105, -3.001e-6, -2.004e-6
0.110, -2.969e-6, -2.079e-6
0.115, -2.988e-6, -2.153e-6
0.120, -3.045e-6, -2.229e-6
0.125, -3.100e-6, -2.307e-6
0.130, -3.052e-6, -2.383e-6
0.135, -3.009e-6, -2.458e-6
0.140, -2.942e-6, -2.532e-6
0.145, -2.958e-6, -2.606e-6
0.150, -2.997e-6, -2.681e-6
0.155, -3.094e-6, -2.758e-6
0.160, -3.109e-6, -2.836e-6
0.165, -3.106e-6, -2.914e-6
0.170, -3.024e-6, -2.989e-6
0.175, -3.007e-6, -3.064e-6
0.180, -3.021e-6, -3.140e-6
0.185, -3.118e-6, -3.218e-6
0.190, -3.191e-6, -3.298e-6
0.195, -3.185e-6, -3.377e-6
0.200, -3.146e-6, -3.456e-6
0.205, -3.041e-6, -3.532e-6
0.210, -3.075e-6, -3.609e-6
0.215, -3.106e-6, -3.686e-6
0.220, -3.187e-6, -3.766e-6
0.225, -3.262e-6, -3.848e-6
0.230, -3.249e-6, -3.929e-6
0.235, -3.218e-6, -4.009e-6
0.240, -3.143e-6, -4.088e-6
0.245, -3.194e-6, -4.168e-6
0.250, -3.238e-6, -4.249e-6
0.255, -3.343e-6, -4.332e-6
0.260, -3.366e-6, -4.416e-6
0.265, -3.350e-6, -4.500e-6
0.270, -3.316e-6, -4.583e-6
0.275, -3.283e-6, -4.665e-6
0.280, -3.309e-6, -4.748e-6
0.285, -3.413e-6, -4.833e-6
0.290, -3.484e-6, -4.920e-6
0.295, -3.508e-6, -5.008e-6
0.300, -3.483e-6, -5.095e-6
0.305, -3.459e-6, -5.182e-6
0.310, -3.456e-6, -5.268e-6
0.315, -3.511e-6, -5.356e-6
0.320, -3.587e-6, -5.445e-6
0.325, -3.693e-6, -5.538e-6
0.330, -3.686e-6, -5.630e-6
0.335, -3.677e-6, -5.722e-6
0.340, -3.632e-6, -5.813e-6
0.345, -3.683e-6, -5.905e-6
0.350, -3.741e-6, -5.998e-6
0.355, -3.860e-6, -6.095e-6
0.360, -3.930e-6, -6.193e-6
0.365, -3.959e-6, -6.292e-6
0.370, -3.943e-6, -6.390e-6
0.375, -3.946e-6, -6.489e-6
0.380, -4.000e-6, -6.589e-6
0.385, -4.135e-6, -6.692e-6
0.390, -4.279e-6, -6.799e-6
0.395, -4.375e-6, -6.909e-6
0.400, -4.400e-6, -7.019e-6
0.405, -4.434e-6, -7.130e-6
0.410, -4.481e-6, -7.242e-6
0.415, -4.603e-6, -7.357e-6
0.420, -4.752e-6, -7.476e-6
0.425, -4.944e-6, -7.599e-6
0.430, -5.037e-6, -7.725e-6
0.435, -5.117e-6, -7.853e-6
0.440, -5.135e-6, -7.981e-6
0.445, -5.285e-6, -8.114e-6
0.450, -5.465e-6, -8.250e-6
0.455, -5.704e-6, -8.393e-6
0.460, -5.922e-6, -8.541e-6
0.465, -6.093e-6, -8.693e-6
0.470, -6.200e-6, -8.848e-6
0.475, -6.333e-6, -9.006e-6
0.480, -6.563e-6, -9.171e-6
0.485, -6.890e-6, -9.343e-6
0.490, -7.320e-6, -9.526e-6
0.495, -7.706e-6, -9.718e-6
0.500, -8.030e-6, -9.919e-6
0.505, -8.414e-6, -1.013e-5
0.510, -8.871e-6, -1.035e-5
0.515, -9.404e-6, -1.059e-5
0.520, -1.002e-5, -1.084e-5
0.525, -1.084e-5, -1.111e-5
0.530, -1.152e-5, -1.140e-5
0.535, -1.212e-5, -1.170e-5
0.540, -1.263e-5, -1.201e-5
0.545, -1.325e-5, -1.235e-5
0.550, -1.395e-5, -1.269e-5
0.555, -1.478e-5, -1.306e-5
0.560, -1.563e-5, -1.345e-5
0.565, -1.631e-5, -1.386e-5
0.570, -1.687e-5, -1.428e-5
0.575, -1.733e-5, -1.472e-5
0.580, -1.791e-5, -1.517e-5
0.585, -1.865e-5, -1.563e-5
0.590, -1.952e-5, -1.612e-5
0.595, -2.033e-5, -1.663e-5
0.600, -2.095e-5, -1.715e-5
0.605, -2.150e-5, -1.769e-5
0.610, -2.202e-5, -1.824e-5
0.615, -2.259e-5, -1.880e-5
0.620, -2.348e-5, -1.939e-5
0.625, -2.457e-5, -2.001e-5
0.630, -2.540e-5, -2.064e-5
0.635, -2.602e-5, -2.129e-5
0.640, -2.642e-5, -2.195e-5
0.645, -2.700e-5, -2.263e-5
0.650, -2.770e-5, -2.332e-5
0.655, -2.863e-5, -2.403e-5
0.660, -2.955e-5, -2.477e-5
0.665, -3.029e-5, -2.553e-5
0.670, -3.077e-5, -2.630e-5
0.675, -3.113e-5, -2.708e-5
0.680, -3.166e-5, -2.787e-5
0.685, -3.242e-5, -2.868e-5
0.690, -3.331e-5, -2.951e-5
0.695, -3.415e-5, -3.037e-5
0.700, -3.465e-5, -3.123e-5
0.705, -3.503e-5, -3.211e-5
0.710, -3.534e-5, -3.299e-5
0.715, -3.588e-5, -3.389e-5
0.720, -3.654e-5, -3.480e-5
0.725, -3.744e-5, -3.574e-5
0.730, -3.808e-5, -3.669e-5
0.735, -3.852e-5, -3.765e-5
0.740, -3.876e-5, -3.862e-5
0.745, -3.912e-5, -3.960e-5
0.750, -3.963e-5, -4.059e-5
0.755, -4.035e-5, -4.160e-5
0.760, -4.118e-5, -4.263e-5
0.765, -4.178e-5, -4.367e-5
0.770, -4.219e-5, -4.473e-5
0.775, -4.240e-5, -4.579e-5
0.780, -4.276e-5, -4.686e-5
0.785, -4.331e-5, -4.794e-5
0.790, -4.409e-5, -4.904e-5
0.795, -4.489e-5, -5.016e-5
0.800, -4.543e-5, -5.130e-5
0.805, -4.584e-5, -5.245e-5
0.810, -4.612e-5, -5.360e-5
0.815, -4.664e-5, -5.477e-5
0.820, -4.722e-5, -5.595e-5
0.825, -4.817e-5, -5.715e-5
0.830, -4.899e-5, -5.838e-5
0.835, -4.958e-5, -5.961e-5
0.840, -5.001e-5, -6.086e-5
0.845, -5.045e-5, -6.213e-5
0.850, -5.106e-5, -6.340e-5
0.855, -5.187e-5, -6.470e-5
0.860, -5.289e-5, -6.602e-5
0.865, -5.372e-5, -6.736e-5
0.870, -5.439e-5, -6.872e-5
0.875, -5.485e-5, -7.010e-5
0.880, -5.549e-5, -7.148e-5
0.885, -5.621e-5, -7.289e-5
0.890, -5.714e-5, -7.432e-5
0.895, -5.822e-5, -7.577e-5
0.900, -5.902e-5, -7.725e-5
0.905, -5.968e-5, -7.874e-5
0.910, -6.018e-5, -8.024e-5
0.915, -6.081e-5, -8.176e-5
0.920, -6.164e-5, -8.331e-5
0.925, -6.273e-5, -8.487e-5
0.930, -6.381e-5, -8.647e-5
0.935, -6.457e-5, -8.808e-5
0.940, -6.516e-5, -8.971e-5
0.945, -6.573e-5, -9.136e-5
0.950, -6.639e-5, -9.301e-5
0.955, -6.728e-5, -9.470e-5
0.960, -6.842e-5, -9.641e-5
0.965, -6.939e-5, -9.814e-5
0.970, -7.013e-5, -9.990e-5
0.975, -7.070e-5, -1.017e-4
0.980, -7.130e-5, -1.034e-4
0.985, -7.203e-5, -1.052e-4
0.990, -7.300e-5, -1.071e-4
0.995, -7.414e-5, -1.089e-4
1.000, -7.501e-5, -1.108e-4
1.005, -7.569e-5, -1.127e-4
1.010, -7.622e-5, -1.146e-4
1.015, -7.684e-5, -1.165e-4
1.020, -7.763e-5, -1.185e-4
1.025, -7.859e-5, -1.204e-4
1.030, -7.974e-5, -1.224e-4
1.035, -8.056e-5, -1.244e-4
1.040, -8.117e-5, -1.265e-4
1.045, -8.174e-5, -1.285e-4
1.050, -8.239e-5, -1.306e-4
1.055, -8.327e-5, -1.326e-4
1.060, -8.443e-5, -1.348e-4
1.065, -8.543e-5, -1.369e-4
1.070, -8.622e-5, -1.390e-4
1.075, -8.688e-5, -1.412e-4
1.080, -8.746e-5, -1.434e-4
1.085, -8.813e-5, -1.456e-4
1.090, -8.910e-5, -1.478e-4
1.095, -9.027e-5, -1.501e-4

Segment 2:
1.100, -8.268e-5, -1.522e-4
