Oct. 19, 2023   13:29:53
Cyclic Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\0_5.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.5
Segment = 6
Sample Interval (V) = 0.003
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5

Segment 1:

Segment 2:
Ep = 0.391V
ip = 6.792e-5A
Ah = 1.581e-5C

Segment 3:

Segment 4:
Ep = 0.395V
ip = 7.566e-5A
Ah = 1.663e-5C

Ep = -0.193V
ip = 1.149e-4A
Ah = 2.843e-5C

Segment 5:

Segment 6:
Ep = 0.402V
ip = 8.402e-5A
Ah = 1.710e-5C

Ep = -0.192V
ip = 1.127e-4A
Ah = 2.874e-5C

Potential/V, Current/A, Charge/C

Segment 1:
0.003, -1.678e-5, -1.007e-7
0.006, -2.036e-5, -2.229e-7
0.009, -2.048e-5, -3.457e-7
0.012, -2.076e-5, -4.703e-7
0.015, -2.096e-5, -5.961e-7
0.018, -1.973e-5, -7.145e-7
0.021, -1.942e-5, -8.310e-7
0.024, -1.910e-5, -9.456e-7
0.027, -1.831e-5, -1.056e-6
0.030, -1.779e-5, -1.162e-6
0.033, -1.730e-5, -1.266e-6
0.036, -1.720e-5, -1.369e-6
0.039, -1.619e-5, -1.466e-6
0.042, -1.589e-5, -1.562e-6
0.045, -1.592e-5, -1.657e-6
0.048, -1.493e-5, -1.747e-6
0.051, -1.481e-5, -1.836e-6
0.054, -1.464e-5, -1.923e-6
0.057, -1.411e-5, -2.008e-6
0.060, -1.381e-5, -2.091e-6
0.063, -1.354e-5, -2.172e-6
0.066, -1.361e-5, -2.254e-6
0.069, -1.297e-5, -2.332e-6
0.072, -1.282e-5, -2.409e-6
0.075, -1.296e-5, -2.486e-6
0.078, -1.229e-5, -2.560e-6
0.081, -1.230e-5, -2.634e-6
0.084, -1.232e-5, -2.708e-6
0.087, -1.189e-5, -2.779e-6
0.090, -1.174e-5, -2.850e-6
0.093, -1.173e-5, -2.920e-6
0.096, -1.182e-5, -2.991e-6
0.099, -1.142e-5, -3.059e-6
0.102, -1.143e-5, -3.128e-6
0.105, -1.165e-5, -3.198e-6
0.108, -1.117e-5, -3.265e-6
0.111, -1.131e-5, -3.333e-6
0.114, -1.142e-5, -3.401e-6
0.117, -1.120e-5, -3.468e-6
0.120, -1.121e-5, -3.536e-6
0.123, -1.124e-5, -3.603e-6
0.126, -1.142e-5, -3.672e-6
0.129, -1.112e-5, -3.738e-6
0.132, -1.126e-5, -3.806e-6
0.135, -1.149e-5, -3.875e-6
0.138, -1.116e-5, -3.942e-6
0.141, -1.138e-5, -4.010e-6
0.144, -1.155e-5, -4.080e-6
0.147, -1.132e-5, -4.147e-6
0.150, -1.143e-5, -4.216e-6
0.153, -1.146e-5, -4.285e-6
0.156, -1.166e-5, -4.355e-6
0.159, -1.140e-5, -4.423e-6
0.162, -1.149e-5, -4.492e-6
0.165, -1.177e-5, -4.563e-6
0.168, -1.135e-5, -4.631e-6
0.171, -1.152e-5, -4.700e-6
0.174, -1.170e-5, -4.770e-6
0.177, -1.152e-5, -4.839e-6
0.180, -1.150e-5, -4.908e-6
0.183, -1.153e-5, -4.977e-6
0.186, -1.166e-5, -5.047e-6
0.189, -1.144e-5, -5.116e-6
0.192, -1.150e-5, -5.185e-6
0.195, -1.180e-5, -5.256e-6
0.198, -1.144e-5, -5.325e-6
0.201, -1.165e-5, -5.394e-6
0.204, -1.171e-5, -5.465e-6
0.207, -1.162e-5, -5.534e-6
0.210, -1.167e-5, -5.604e-6
0.213, -1.174e-5, -5.675e-6
0.216, -1.197e-5, -5.747e-6
0.219, -1.172e-5, -5.817e-6
0.222, -1.188e-5, -5.888e-6
0.225, -1.222e-5, -5.962e-6
0.228, -1.185e-5, -6.033e-6
0.231, -1.206e-5, -6.105e-6
0.234, -1.226e-5, -6.179e-6
0.237, -1.212e-5, -6.251e-6
0.240, -1.216e-5, -6.324e-6
0.243, -1.226e-5, -6.398e-6
0.246, -1.243e-5, -6.473e-6
0.249, -1.216e-5, -6.545e-6
0.252, -1.232e-5, -6.619e-6
0.255, -1.261e-5, -6.695e-6
0.258, -1.219e-5, -6.768e-6
0.261, -1.240e-5, -6.843e-6
0.264, -1.254e-5, -6.918e-6
0.267, -1.237e-5, -6.992e-6
0.270, -1.238e-5, -7.066e-6
0.273, -1.240e-5, -7.141e-6
0.276, -1.262e-5, -7.217e-6
0.279, -1.237e-5, -7.291e-6
0.282, -1.247e-5, -7.366e-6
0.285, -1.279e-5, -7.442e-6
0.288, -1.244e-5, -7.517e-6
0.291, -1.269e-5, -7.593e-6
0.294, -1.288e-5, -7.670e-6
0.297, -1.274e-5, -7.747e-6
0.300, -1.284e-5, -7.824e-6
0.303, -1.293e-5, -7.901e-6
0.306, -1.331e-5, -7.981e-6
0.309, -1.301e-5, -8.059e-6
0.312, -1.323e-5, -8.139e-6
0.315, -1.358e-5, -8.220e-6
0.318, -1.330e-5, -8.300e-6
0.321, -1.352e-5, -8.381e-6
0.324, -1.371e-5, -8.463e-6
0.327, -1.366e-5, -8.545e-6
0.330, -1.370e-5, -8.628e-6
0.333, -1.377e-5, -8.710e-6
0.336, -1.411e-5, -8.795e-6
0.339, -1.386e-5, -8.878e-6
0.342, -1.404e-5, -8.962e-6
0.345, -1.439e-5, -9.049e-6
0.348, -1.408e-5, -9.133e-6
0.351, -1.435e-5, -9.219e-6
0.354, -1.453e-5, -9.306e-6
0.357, -1.445e-5, -9.393e-6
0.360, -1.453e-5, -9.480e-6
0.363, -1.465e-5, -9.568e-6
0.366, -1.496e-5, -9.658e-6
0.369, -1.478e-5, -9.747e-6
0.372, -1.502e-5, -9.837e-6
0.375, -1.549e-5, -9.930e-6
0.378, -1.517e-5, -1.002e-5
0.381, -1.551e-5, -1.011e-5
0.384, -1.577e-5, -1.021e-5
0.387, -1.588e-5, -1.030e-5
0.390, -1.598e-5, -1.040e-5
0.393, -1.624e-5, -1.050e-5
0.396, -1.677e-5, -1.060e-5
0.399, -1.660e-5, -1.070e-5
0.402, -1.701e-5, -1.080e-5
0.405, -1.747e-5, -1.090e-5
0.408, -1.732e-5, -1.101e-5
0.411, -1.774e-5, -1.111e-5
0.414, -1.812e-5, -1.122e-5
0.417, -1.822e-5, -1.133e-5
0.420, -1.839e-5, -1.144e-5
0.423, -1.868e-5, -1.155e-5
0.426, -1.925e-5, -1.167e-5
0.429, -1.910e-5, -1.179e-5
0.432, -1.948e-5, -1.190e-5
0.435, -2.015e-5, -1.202e-5
0.438, -1.997e-5, -1.214e-5
0.441, -2.039e-5, -1.227e-5
0.444, -2.082e-5, -1.239e-5
0.447, -2.111e-5, -1.252e-5
0.450, -2.131e-5, -1.264e-5
0.453, -2.168e-5, -1.277e-5
0.456, -2.252e-5, -1.291e-5
0.459, -2.244e-5, -1.304e-5
0.462, -2.312e-5, -1.318e-5
0.465, -2.396e-5, -1.333e-5
0.468, -2.387e-5, -1.347e-5
0.471, -2.468e-5, -1.362e-5
0.474, -2.536e-5, -1.377e-5
0.477, -2.589e-5, -1.393e-5
0.480, -2.635e-5, -1.408e-5
0.483, -2.711e-5, -1.425e-5
0.486, -2.830e-5, -1.442e-5
0.489, -2.853e-5, -1.459e-5
0.492, -2.942e-5, -1.476e-5
0.495, -3.076e-5, -1.495e-5
0.498, -3.112e-5, -1.514e-5
0.501, -3.224e-5, -1.533e-5
0.504, -3.333e-5, -1.553e-5
0.507, -3.443e-5, -1.574e-5
0.510, -3.527e-5, -1.595e-5
0.513, -3.655e-5, -1.617e-5
0.516, -3.816e-5, -1.640e-5
0.519, -3.886e-5, -1.663e-5
0.522, -4.042e-5, -1.687e-5
0.525, -4.218e-5, -1.712e-5
0.528, -4.294e-5, -1.738e-5
0.531, -4.450e-5, -1.765e-5
0.534, -4.611e-5, -1.793e-5
0.537, -4.773e-5, -1.821e-5
0.540, -4.900e-5, -1.851e-5
0.543, -5.056e-5, -1.881e-5
0.546, -5.276e-5, -1.913e-5
0.549, -5.359e-5, -1.945e-5
0.552, -5.535e-5, -1.978e-5
0.555, -5.742e-5, -2.012e-5
0.558, -5.843e-5, -2.047e-5
0.561, -6.013e-5, -2.083e-5
0.564, -6.180e-5, -2.121e-5
0.567, -6.353e-5, -2.159e-5
0.570, -6.473e-5, -2.198e-5
0.573, -6.620e-5, -2.237e-5
0.576, -6.842e-5, -2.278e-5
0.579, -6.909e-5, -2.320e-5
0.582, -7.074e-5, -2.362e-5
0.585, -7.254e-5, -2.406e-5
0.588, -7.321e-5, -2.450e-5
0.591, -7.443e-5, -2.494e-5
0.594, -7.574e-5, -2.540e-5
0.597, -7.707e-5, -2.586e-5
0.600, -7.774e-5, -2.633e-5
0.603, -7.879e-5, -2.680e-5
0.606, -8.061e-5, -2.728e-5
0.609, -8.081e-5, -2.777e-5
0.612, -8.182e-5, -2.826e-5
0.615, -8.278e-5, -2.876e-5
0.618, -8.343e-5, -2.926e-5
0.621, -8.445e-5, -2.976e-5
0.624, -8.554e-5, -3.028e-5
0.627, -8.692e-5, -3.080e-5
0.630, -8.743e-5, -3.132e-5
0.633, -8.834e-5, -3.185e-5
0.636, -9.000e-5, -3.239e-5
0.639, -9.003e-5, -3.293e-5
0.642, -9.128e-5, -3.348e-5
0.645, -9.267e-5, -3.404e-5
0.648, -9.304e-5, -3.459e-5
0.651, -9.392e-5, -3.516e-5
0.654, -9.508e-5, -3.573e-5
0.657, -9.644e-5, -3.631e-5
0.660, -9.682e-5, -3.689e-5
