Oct. 19, 2023   14:41:38
Linear Sweep Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\lsv.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.3
Final E (V) = 1.1
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5


Potential/V, Current/A, Charge/C

Segment 1:
-0.295, 1.739e-5, 8.697e-6
-0.290, 1.486e-5, 1.613e-5
-0.285, 1.371e-5, 2.298e-5
-0.280, 1.337e-5, 2.967e-5
-0.275, 1.500e-5, 3.717e-5
-0.270, 1.300e-5, 4.367e-5
-0.265, 1.396e-5, 5.065e-5
-0.260, 1.361e-5, 5.746e-5
-0.255, 1.286e-5, 6.389e-5
-0.250, 1.532e-5, 7.154e-5
-0.245, 1.195e-5, 7.752e-5
-0.240, 1.248e-5, 8.376e-5
-0.235, 1.217e-5, 8.984e-5
-0.230, 1.323e-5, 9.646e-5
-0.225, 1.327e-5, 1.031e-4
-0.220, 1.512e-5, 1.107e-4
-0.215, 1.456e-5, 1.179e-4
-0.210, 1.548e-5, 1.257e-4
-0.205, 1.470e-5, 1.330e-4
-0.200, 1.211e-5, 1.391e-4
-0.195, 1.435e-5, 1.463e-4
-0.190, 1.663e-5, 1.546e-4
-0.185, 1.830e-5, 1.637e-4
-0.180, 1.784e-5, 1.726e-4
-0.175, 1.618e-5, 1.807e-4
-0.170, 1.542e-5, 1.884e-4
-0.165, 1.624e-5, 1.966e-4
-0.160, 1.558e-5, 2.043e-4
-0.155, 1.468e-5, 2.117e-4
-0.150, 1.502e-5, 2.192e-4
-0.145, 1.435e-5, 2.264e-4
-0.140, 1.448e-5, 2.336e-4
-0.135, 1.686e-5, 2.420e-4
-0.130, 1.494e-5, 2.495e-4
-0.125, 1.551e-5, 2.573e-4
-0.120, 1.486e-5, 2.647e-4
-0.115, 1.421e-5, 2.718e-4
-0.110, 1.420e-5, 2.789e-4
-0.105, 1.624e-5, 2.870e-4
-0.100, 1.528e-5, 2.947e-4
-0.095, 1.544e-5, 3.024e-4
-0.090, 1.619e-5, 3.105e-4
-0.085, 1.500e-5, 3.180e-4
-0.080, 1.688e-5, 3.264e-4
-0.075, 1.619e-5, 3.345e-4
-0.070, 1.466e-5, 3.418e-4
-0.065, 1.535e-5, 3.495e-4
-0.060, 1.503e-5, 3.570e-4
-0.055, 1.474e-5, 3.644e-4
-0.050, 1.601e-5, 3.724e-4
-0.045, 1.453e-5, 3.797e-4
-0.040, 1.483e-5, 3.871e-4
-0.035, 1.444e-5, 3.943e-4
-0.030, 1.786e-5, 4.032e-4
-0.025, 1.541e-5, 4.109e-4
-0.020, 1.680e-5, 4.193e-4
-0.015, 1.699e-5, 4.278e-4
-0.010, 1.830e-5, 4.370e-4
-0.005, 1.535e-5, 4.447e-4
-0.000, 1.790e-5, 4.536e-4
0.005, 1.817e-5, 4.627e-4
0.010, 1.607e-5, 4.707e-4
0.015, 1.726e-5, 4.794e-4
0.020, 1.791e-5, 4.883e-4
0.025, 1.755e-5, 4.971e-4
0.030, 1.726e-5, 5.057e-4
0.035, 1.818e-5, 5.148e-4
0.040, 1.865e-5, 5.241e-4
0.045, 1.751e-5, 5.329e-4
0.050, 1.607e-5, 5.409e-4
0.055, 1.680e-5, 5.493e-4
0.060, 1.575e-5, 5.572e-4
0.065, 1.599e-5, 5.652e-4
0.070, 1.760e-5, 5.740e-4
0.075, 1.613e-5, 5.821e-4
0.080, 1.810e-5, 5.911e-4
0.085, 1.743e-5, 5.998e-4
0.090, 1.558e-5, 6.076e-4
0.095, 1.549e-5, 6.154e-4
0.100, 1.794e-5, 6.243e-4
0.105, 1.729e-5, 6.330e-4
0.110, 1.748e-5, 6.417e-4
0.115, 1.711e-5, 6.503e-4
0.120, 1.884e-5, 6.597e-4
0.125, 1.780e-5, 6.686e-4
0.130, 1.781e-5, 6.775e-4
0.135, 1.734e-5, 6.862e-4
0.140, 1.674e-5, 6.945e-4
0.145, 1.544e-5, 7.023e-4
0.150, 1.546e-5, 7.100e-4
0.155, 1.638e-5, 7.182e-4
0.160, 1.550e-5, 7.259e-4
0.165, 1.627e-5, 7.341e-4
0.170, 1.686e-5, 7.425e-4
0.175, 1.727e-5, 7.511e-4
0.180, 1.688e-5, 7.596e-4
0.185, 1.737e-5, 7.683e-4
0.190, 1.465e-5, 7.756e-4
0.195, 1.529e-5, 7.832e-4
0.200, 1.609e-5, 7.913e-4
0.205, 1.566e-5, 7.991e-4
0.210, 1.471e-5, 8.065e-4
0.215, 1.467e-5, 8.138e-4
0.220, 1.560e-5, 8.216e-4
0.225, 1.653e-5, 8.299e-4
0.230, 1.401e-5, 8.369e-4
0.235, 1.433e-5, 8.440e-4
0.240, 1.440e-5, 8.512e-4
0.245, 1.399e-5, 8.582e-4
0.250, 1.504e-5, 8.657e-4
0.255, 1.556e-5, 8.735e-4
0.260, 1.485e-5, 8.809e-4
0.265, 1.568e-5, 8.888e-4
0.270, 1.625e-5, 8.969e-4
0.275, 1.588e-5, 9.048e-4
0.280, 1.447e-5, 9.121e-4
0.285, 1.334e-5, 9.188e-4
0.290, 1.490e-5, 9.262e-4
0.295, 1.373e-5, 9.331e-4
0.300, 1.247e-5, 9.393e-4
0.305, 1.246e-5, 9.455e-4
0.310, 1.309e-5, 9.521e-4
0.315, 1.220e-5, 9.582e-4
0.320, 1.261e-5, 9.645e-4
0.325, 1.277e-5, 9.709e-4
0.330, 1.242e-5, 9.771e-4
0.335, 1.113e-5, 9.826e-4
0.340, 1.193e-5, 9.886e-4
0.345, 1.302e-5, 9.951e-4
0.350, 1.118e-5, 1.001e-3
0.355, 1.067e-5, 1.006e-3
0.360, 1.155e-5, 1.012e-3
0.365, 1.267e-5, 1.018e-3
0.370, 1.179e-5, 1.024e-3
0.375, 1.134e-5, 1.030e-3
0.380, 1.136e-5, 1.035e-3
0.385, 1.061e-5, 1.041e-3
0.390, 1.055e-5, 1.046e-3
0.395, 1.011e-5, 1.051e-3
0.400, 1.045e-5, 1.056e-3
0.405, 1.041e-5, 1.061e-3
0.410, 9.681e-6, 1.066e-3
0.415, 8.626e-6, 1.071e-3
0.420, 8.927e-6, 1.075e-3
0.425, 8.979e-6, 1.080e-3
0.430, 8.693e-6, 1.084e-3
0.435, 8.243e-6, 1.088e-3
0.440, 7.866e-6, 1.092e-3
0.445, 7.432e-6, 1.096e-3
0.450, 6.826e-6, 1.099e-3
0.455, 6.799e-6, 1.103e-3
0.460, 6.296e-6, 1.106e-3
0.465, 6.064e-6, 1.109e-3
0.470, 5.684e-6, 1.112e-3
0.475, 5.003e-6, 1.114e-3
0.480, 4.637e-6, 1.116e-3
0.485, 4.365e-6, 1.119e-3
0.490, 4.030e-6, 1.121e-3
0.495, 3.681e-6, 1.122e-3
0.500, 3.256e-6, 1.124e-3
0.505, 2.858e-6, 1.125e-3
0.510, 2.492e-6, 1.127e-3
0.515, 2.106e-6, 1.128e-3
0.520, 1.681e-6, 1.129e-3
0.525, 1.300e-6, 1.129e-3
0.530, 9.434e-7, 1.130e-3
0.535, 6.293e-7, 1.130e-3
0.540, 2.767e-7, 1.130e-3
0.545, 1.236e-8, 1.130e-3
0.550, -2.297e-7, 1.130e-3
0.555, -4.522e-7, 1.130e-3
0.560, -6.726e-7, 1.129e-3
0.565, -8.582e-7, 1.129e-3
0.570, -1.029e-6, 1.129e-3
0.575, -1.218e-6, 1.128e-3
0.580, -1.384e-6, 1.127e-3
0.585, -1.538e-6, 1.126e-3
0.590, -1.683e-6, 1.126e-3
0.595, -1.804e-6, 1.125e-3
0.600, -1.911e-6, 1.124e-3
0.605, -2.027e-6, 1.123e-3
0.610, -2.125e-6, 1.122e-3
0.615, -2.211e-6, 1.121e-3
0.620, -2.313e-6, 1.119e-3
0.625, -2.387e-6, 1.118e-3
0.630, -2.470e-6, 1.117e-3
0.635, -2.541e-6, 1.116e-3
0.640, -2.595e-6, 1.114e-3
0.645, -2.654e-6, 1.113e-3
0.650, -2.716e-6, 1.112e-3
0.655, -2.765e-6, 1.110e-3
0.660, -2.815e-6, 1.109e-3
0.665, -2.860e-6, 1.108e-3
0.670, -2.899e-6, 1.106e-3
0.675, -2.945e-6, 1.105e-3
0.680, -2.987e-6, 1.103e-3
0.685, -3.026e-6, 1.102e-3
0.690, -3.059e-6, 1.100e-3
0.695, -3.098e-6, 1.099e-3
0.700, -3.136e-6, 1.097e-3
0.705, -3.171e-6, 1.095e-3
0.710, -3.208e-6, 1.094e-3
0.715, -3.249e-6, 1.092e-3
0.720, -3.272e-6, 1.091e-3
0.725, -3.298e-6, 1.089e-3
0.730, -3.319e-6, 1.087e-3
0.735, -3.345e-6, 1.086e-3
0.740, -3.367e-6, 1.084e-3
0.745, -3.393e-6, 1.082e-3
0.750, -3.420e-6, 1.080e-3
0.755, -3.450e-6, 1.079e-3
0.760, -3.481e-6, 1.077e-3
0.765, -3.514e-6, 1.075e-3
0.770, -3.544e-6, 1.073e-3
0.775, -3.576e-6, 1.072e-3
0.780, -3.613e-6, 1.070e-3
0.785, -3.654e-6, 1.068e-3
0.790, -3.697e-6, 1.066e-3
0.795, -3.738e-6, 1.064e-3
0.800, -3.776e-6, 1.062e-3
0.805, -3.817e-6, 1.061e-3
0.810, -3.865e-6, 1.059e-3
0.815, -3.915e-6, 1.057e-3
0.820, -3.961e-6, 1.055e-3
0.825, -4.008e-6, 1.053e-3
0.830, -4.046e-6, 1.051e-3
0.835, -4.092e-6, 1.049e-3
0.840, -4.147e-6, 1.046e-3
0.845, -4.203e-6, 1.044e-3
