Oct. 19, 2023   14:20:56
Linear Sweep Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\mor_lsv.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.3
Final E (V) = 1.1
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5

Ep = 0.500V
ip = -3.730e-5A
Ah = -3.978e-4C

Potential/V, Current/A, Charge/C

Segment 1:
-0.295, 3.188e-6, 1.594e-6
-0.290, 1.315e-6, 2.252e-6
-0.285, 1.428e-6, 2.966e-6
-0.280, 1.051e-6, 3.491e-6
-0.275, 8.613e-7, 3.922e-6
-0.270, 5.391e-7, 4.192e-6
-0.265, 4.092e-7, 4.396e-6
-0.260, 4.935e-7, 4.643e-6
-0.255, 3.568e-7, 4.821e-6
-0.250, 2.552e-7, 4.949e-6
-0.245, 4.548e-7, 5.176e-6
-0.240, 3.150e-7, 5.334e-6
-0.235, 2.310e-7, 5.449e-6
-0.230, 1.699e-7, 5.534e-6
-0.225, 1.912e-7, 5.630e-6
-0.220, 3.575e-7, 5.809e-6
-0.215, 4.702e-7, 6.044e-6
-0.210, 4.892e-7, 6.288e-6
-0.205, 5.368e-7, 6.557e-6
-0.200, 4.573e-7, 6.785e-6
-0.195, 4.352e-7, 7.003e-6
-0.190, 2.826e-7, 7.144e-6
-0.185, 4.735e-7, 7.381e-6
-0.180, 4.419e-7, 7.602e-6
-0.175, 3.872e-7, 7.795e-6
-0.170, 5.367e-7, 8.064e-6
-0.165, 5.321e-7, 8.330e-6
-0.160, 5.142e-7, 8.587e-6
-0.155, 7.422e-7, 8.958e-6
-0.150, 5.362e-7, 9.226e-6
-0.145, 4.530e-7, 9.453e-6
-0.140, 6.399e-7, 9.773e-6
-0.135, 1.025e-6, 1.029e-5
-0.130, 9.125e-7, 1.074e-5
-0.125, 7.402e-7, 1.111e-5
-0.120, 7.260e-7, 1.147e-5
-0.115, 6.306e-7, 1.179e-5
-0.110, 7.654e-7, 1.217e-5
-0.105, 9.093e-7, 1.263e-5
-0.100, 1.101e-6, 1.318e-5
-0.095, 9.026e-7, 1.363e-5
-0.090, 8.466e-7, 1.405e-5
-0.085, 7.730e-7, 1.444e-5
-0.080, 1.025e-6, 1.495e-5
-0.075, 1.153e-6, 1.553e-5
-0.070, 1.096e-6, 1.608e-5
-0.065, 9.305e-7, 1.654e-5
-0.060, 9.012e-7, 1.699e-5
-0.055, 1.072e-6, 1.753e-5
-0.050, 1.193e-6, 1.812e-5
-0.045, 1.408e-6, 1.883e-5
-0.040, 1.355e-6, 1.951e-5
-0.035, 1.338e-6, 2.017e-5
-0.030, 1.368e-6, 2.086e-5
-0.025, 1.358e-6, 2.154e-5
-0.020, 1.314e-6, 2.219e-5
-0.015, 1.246e-6, 2.282e-5
-0.010, 1.184e-6, 2.341e-5
-0.005, 1.316e-6, 2.407e-5
-0.000, 1.463e-6, 2.480e-5
0.005, 1.431e-6, 2.551e-5
0.010, 1.529e-6, 2.628e-5
0.015, 1.470e-6, 2.701e-5
0.020, 1.190e-6, 2.761e-5
0.025, 1.148e-6, 2.818e-5
0.030, 1.210e-6, 2.879e-5
0.035, 1.360e-6, 2.947e-5
0.040, 1.415e-6, 3.018e-5
0.045, 1.175e-6, 3.076e-5
0.050, 1.211e-6, 3.137e-5
0.055, 1.369e-6, 3.205e-5
0.060, 1.365e-6, 3.274e-5
0.065, 1.292e-6, 3.338e-5
0.070, 1.230e-6, 3.400e-5
0.075, 1.092e-6, 3.454e-5
0.080, 1.071e-6, 3.508e-5
0.085, 1.086e-6, 3.562e-5
0.090, 1.154e-6, 3.620e-5
0.095, 1.042e-6, 3.672e-5
0.100, 9.455e-7, 3.719e-5
0.105, 9.777e-7, 3.768e-5
0.110, 9.418e-7, 3.815e-5
0.115, 9.368e-7, 3.862e-5
0.120, 9.061e-7, 3.907e-5
0.125, 8.767e-7, 3.951e-5
0.130, 9.205e-7, 3.997e-5
0.135, 9.138e-7, 4.043e-5
0.140, 9.084e-7, 4.088e-5
0.145, 8.063e-7, 4.129e-5
0.150, 7.099e-7, 4.164e-5
0.155, 7.117e-7, 4.200e-5
0.160, 7.154e-7, 4.236e-5
0.165, 6.992e-7, 4.271e-5
0.170, 6.634e-7, 4.304e-5
0.175, 6.393e-7, 4.336e-5
0.180, 6.134e-7, 4.366e-5
0.185, 5.464e-7, 4.394e-5
0.190, 3.578e-7, 4.412e-5
0.195, 2.926e-7, 4.426e-5
0.200, 2.372e-7, 4.438e-5
0.205, 1.733e-7, 4.447e-5
0.210, 2.171e-7, 4.458e-5
0.215, 1.319e-7, 4.464e-5
0.220, 3.744e-8, 4.466e-5
0.225, -8.084e-8, 4.462e-5
0.230, -1.752e-7, 4.453e-5
0.235, -2.225e-7, 4.442e-5
0.240, -3.361e-7, 4.425e-5
0.245, -5.265e-7, 4.399e-5
0.250, -7.260e-7, 4.363e-5
0.255, -8.964e-7, 4.318e-5
0.260, -9.840e-7, 4.269e-5
0.265, -1.208e-6, 4.208e-5
0.270, -1.473e-6, 4.135e-5
0.275, -1.707e-6, 4.049e-5
0.280, -1.933e-6, 3.953e-5
0.285, -2.305e-6, 3.837e-5
0.290, -2.688e-6, 3.703e-5
0.295, -3.111e-6, 3.547e-5
0.300, -3.595e-6, 3.368e-5
0.305, -4.159e-6, 3.160e-5
0.310, -4.804e-6, 2.920e-5
0.315, -5.492e-6, 2.645e-5
0.320, -6.273e-6, 2.331e-5
0.325, -7.109e-6, 1.976e-5
0.330, -8.074e-6, 1.572e-5
0.335, -9.102e-6, 1.117e-5
0.340, -1.015e-5, 6.095e-6
0.345, -1.124e-5, 4.754e-7
0.350, -1.235e-5, -5.702e-6
0.355, -1.349e-5, -1.245e-5
0.360, -1.468e-5, -1.978e-5
0.365, -1.586e-5, -2.772e-5
0.370, -1.712e-5, -3.627e-5
0.375, -1.837e-5, -4.546e-5
0.380, -1.959e-5, -5.525e-5
0.385, -2.079e-5, -6.565e-5
0.390, -2.202e-5, -7.666e-5
0.395, -2.324e-5, -8.828e-5
0.400, -2.453e-5, -1.005e-4
0.405, -2.572e-5, -1.134e-4
0.410, -2.690e-5, -1.269e-4
0.415, -2.813e-5, -1.409e-4
0.420, -2.937e-5, -1.556e-4
0.425, -3.071e-5, -1.710e-4
0.430, -3.217e-5, -1.870e-4
0.435, -3.366e-5, -2.039e-4
0.440, -3.513e-5, -2.214e-4
0.445, -3.655e-5, -2.397e-4
0.450, -3.794e-5, -2.587e-4
0.455, -3.929e-5, -2.783e-4
0.460, -4.062e-5, -2.986e-4
0.465, -4.183e-5, -3.196e-4
0.470, -4.295e-5, -3.410e-4
0.475, -4.397e-5, -3.630e-4
0.480, -4.486e-5, -3.854e-4
0.485, -4.555e-5, -4.082e-4
0.490, -4.602e-5, -4.312e-4
0.495, -4.627e-5, -4.544e-4
0.500, -4.628e-5, -4.775e-4
0.505, -4.605e-5, -5.005e-4
0.510, -4.559e-5, -5.233e-4
0.515, -4.490e-5, -5.458e-4
0.520, -4.404e-5, -5.678e-4
0.525, -4.299e-5, -5.893e-4
0.530, -4.186e-5, -6.102e-4
0.535, -4.065e-5, -6.306e-4
0.540, -3.931e-5, -6.502e-4
0.545, -3.798e-5, -6.692e-4
0.550, -3.669e-5, -6.875e-4
0.555, -3.538e-5, -7.052e-4
0.560, -3.409e-5, -7.223e-4
0.565, -3.281e-5, -7.387e-4
0.570, -3.150e-5, -7.544e-4
0.575, -3.024e-5, -7.696e-4
0.580, -2.901e-5, -7.841e-4
0.585, -2.779e-5, -7.980e-4
0.590, -2.658e-5, -8.112e-4
0.595, -2.538e-5, -8.239e-4
0.600, -2.418e-5, -8.360e-4
0.605, -2.302e-5, -8.475e-4
0.610, -2.195e-5, -8.585e-4
0.615, -2.090e-5, -8.690e-4
0.620, -1.990e-5, -8.789e-4
0.625, -1.896e-5, -8.884e-4
0.630, -1.808e-5, -8.974e-4
0.635, -1.725e-5, -9.061e-4
0.640, -1.645e-5, -9.143e-4
0.645, -1.573e-5, -9.221e-4
0.650, -1.506e-5, -9.297e-4
0.655, -1.443e-5, -9.369e-4
0.660, -1.385e-5, -9.438e-4
0.665, -1.334e-5, -9.505e-4
0.670, -1.283e-5, -9.569e-4
0.675, -1.239e-5, -9.631e-4
0.680, -1.198e-5, -9.691e-4
0.685, -1.161e-5, -9.749e-4
0.690, -1.127e-5, -9.805e-4
0.695, -1.096e-5, -9.860e-4
0.700, -1.068e-5, -9.913e-4
0.705, -1.043e-5, -9.966e-4
0.710, -1.020e-5, -1.002e-3
0.715, -1.001e-5, -1.007e-3
0.720, -9.827e-6, -1.012e-3
0.725, -9.683e-6, -1.016e-3
0.730, -9.565e-6, -1.021e-3
0.735, -9.453e-6, -1.026e-3
0.740, -9.357e-6, -1.031e-3
0.745, -9.292e-6, -1.035e-3
0.750, -9.238e-6, -1.040e-3
0.755, -9.197e-6, -1.044e-3
0.760, -9.169e-6, -1.049e-3
0.765, -9.166e-6, -1.054e-3
0.770, -9.186e-6, -1.058e-3
0.775, -9.220e-6, -1.063e-3
0.780, -9.276e-6, -1.067e-3
0.785, -9.342e-6, -1.072e-3
0.790, -9.417e-6, -1.077e-3
0.795, -9.509e-6, -1.082e-3
0.800, -9.625e-6, -1.086e-3
0.805, -9.741e-6, -1.091e-3
0.810, -9.888e-6, -1.096e-3
0.815, -1.006e-5, -1.101e-3
0.820, -1.025e-5, -1.106e-3
0.825, -1.044e-5, -1.112e-3
0.830, -1.065e-5, -1.117e-3
0.835, -1.088e-5, -1.122e-3
