Oct. 19, 2023   13:40:02
Cyclic Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\fast.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5

Segment 1:
Segment 2:
Ep = -0.235V
ip = 3.297e-5A
Ah = 2.591e-5C

Segment 3:

Segment 4:
Ep = -0.075V
ip = 5.719e-5A
Ah = 2.194e-5C

Segment 5:
Ep = 1.090V
ip = -4.731e-7A
Ah = -2.051e-7C

Segment 6:
Ep = -0.120V
ip = 3.445e-6A
Ah = 3.164e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.005, 2.800e-4, 1.400e-5
0.010, 2.772e-4, 2.786e-5
0.015, 2.765e-4, 4.168e-5
0.020, 2.741e-4, 5.539e-5
0.025, 2.683e-4, 6.880e-5
0.030, 2.654e-4, 8.207e-5
0.035, 2.619e-4, 9.517e-5
0.040, 2.552e-4, 1.079e-4
0.045, 2.520e-4, 1.205e-4
0.050, 2.497e-4, 1.330e-4
0.055, 2.466e-4, 1.453e-4
0.060, 2.482e-4, 1.578e-4
0.065, 2.485e-4, 1.702e-4
0.070, 2.478e-4, 1.826e-4
0.075, 2.443e-4, 1.948e-4
0.080, 2.454e-4, 2.071e-4
0.085, 2.473e-4, 2.194e-4
0.090, 2.449e-4, 2.317e-4
0.095, 2.446e-4, 2.439e-4
0.100, 2.448e-4, 2.561e-4
0.105, 2.425e-4, 2.683e-4
0.110, 2.380e-4, 2.802e-4
0.115, 2.375e-4, 2.920e-4
0.120, 2.382e-4, 3.039e-4
0.125, 2.361e-4, 3.157e-4
0.130, 2.363e-4, 3.276e-4
0.135, 2.358e-4, 3.393e-4
0.140, 2.334e-4, 3.510e-4
0.145, 2.322e-4, 3.626e-4
0.150, 2.316e-4, 3.742e-4
0.155, 2.312e-4, 3.858e-4
0.160, 2.323e-4, 3.974e-4
0.165, 2.358e-4, 4.092e-4
0.170, 2.377e-4, 4.211e-4
0.175, 2.360e-4, 4.329e-4
0.180, 2.343e-4, 4.446e-4
0.185, 2.329e-4, 4.562e-4
0.190, 2.302e-4, 4.677e-4
0.195, 2.266e-4, 4.791e-4
0.200, 2.220e-4, 4.902e-4
0.205, 2.162e-4, 5.010e-4
0.210, 2.122e-4, 5.116e-4
0.215, 2.089e-4, 5.220e-4
0.220, 2.058e-4, 5.323e-4
0.225, 2.001e-4, 5.423e-4
0.230, 1.969e-4, 5.522e-4
0.235, 1.936e-4, 5.618e-4
0.240, 1.893e-4, 5.713e-4
0.245, 1.858e-4, 5.806e-4
0.250, 1.832e-4, 5.898e-4
0.255, 1.805e-4, 5.988e-4
0.260, 1.762e-4, 6.076e-4
0.265, 1.736e-4, 6.163e-4
0.270, 1.715e-4, 6.248e-4
0.275, 1.675e-4, 6.332e-4
0.280, 1.651e-4, 6.415e-4
0.285, 1.628e-4, 6.496e-4
0.290, 1.596e-4, 6.576e-4
0.295, 1.558e-4, 6.654e-4
0.300, 1.527e-4, 6.730e-4
0.305, 1.494e-4, 6.805e-4
0.310, 1.449e-4, 6.877e-4
0.315, 1.414e-4, 6.948e-4
0.320, 1.381e-4, 7.017e-4
0.325, 1.341e-4, 7.084e-4
0.330, 1.305e-4, 7.149e-4
0.335, 1.270e-4, 7.213e-4
0.340, 1.229e-4, 7.274e-4
0.345, 1.186e-4, 7.334e-4
0.350, 1.144e-4, 7.391e-4
0.355, 1.105e-4, 7.446e-4
0.360, 1.063e-4, 7.499e-4
0.365, 1.024e-4, 7.550e-4
0.370, 1.012e-4, 7.601e-4
0.375, 9.779e-5, 7.650e-4
0.380, 9.309e-5, 7.697e-4
0.385, 8.840e-5, 7.741e-4
0.390, 8.402e-5, 7.783e-4
0.395, 7.947e-5, 7.822e-4
0.400, 7.532e-5, 7.860e-4
0.405, 7.171e-5, 7.896e-4
0.410, 6.763e-5, 7.930e-4
0.415, 6.384e-5, 7.962e-4
0.420, 6.037e-5, 7.992e-4
0.425, 5.691e-5, 8.020e-4
0.430, 5.313e-5, 8.047e-4
0.435, 4.977e-5, 8.072e-4
0.440, 4.675e-5, 8.095e-4
0.445, 4.352e-5, 8.117e-4
0.450, 4.037e-5, 8.137e-4
0.455, 3.765e-5, 8.156e-4
0.460, 3.475e-5, 8.173e-4
0.465, 3.191e-5, 8.189e-4
0.470, 2.941e-5, 8.204e-4
0.475, 2.708e-5, 8.218e-4
0.480, 2.445e-5, 8.230e-4
0.485, 2.210e-5, 8.241e-4
0.490, 2.015e-5, 8.251e-4
0.495, 1.790e-5, 8.260e-4
0.500, 1.578e-5, 8.268e-4
0.505, 1.410e-5, 8.275e-4
0.510, 1.220e-5, 8.281e-4
0.515, 1.020e-5, 8.286e-4
0.520, 8.621e-6, 8.290e-4
0.525, 7.108e-6, 8.294e-4
0.530, 5.289e-6, 8.296e-4
0.535, 3.858e-6, 8.298e-4
0.540, 2.746e-6, 8.300e-4
0.545, 1.341e-6, 8.300e-4
0.550, -1.713e-8, 8.300e-4
0.555, -8.893e-7, 8.300e-4
0.560, -1.928e-6, 8.299e-4
0.565, -3.211e-6, 8.297e-4
0.570, -3.989e-6, 8.295e-4
0.575, -4.698e-6, 8.293e-4
0.580, -5.820e-6, 8.290e-4
0.585, -6.631e-6, 8.287e-4
0.590, -7.087e-6, 8.283e-4
0.595, -7.981e-6, 8.279e-4
0.600, -8.920e-6, 8.275e-4
0.605, -9.326e-6, 8.270e-4
0.610, -9.894e-6, 8.265e-4
0.615, -1.075e-5, 8.260e-4
0.620, -1.121e-5, 8.254e-4
0.625, -1.152e-5, 8.249e-4
0.630, -1.236e-5, 8.242e-4
0.635, -1.291e-5, 8.236e-4
0.640, -1.302e-5, 8.229e-4
0.645, -1.367e-5, 8.223e-4
0.650, -1.437e-5, 8.215e-4
0.655, -1.447e-5, 8.208e-4
0.660, -1.482e-5, 8.201e-4
0.665, -1.563e-5, 8.193e-4
0.670, -1.586e-5, 8.185e-4
0.675, -1.598e-5, 8.177e-4
0.680, -1.664e-5, 8.169e-4
0.685, -1.711e-5, 8.160e-4
0.690, -1.708e-5, 8.152e-4
0.695, -1.753e-5, 8.143e-4
0.700, -1.818e-5, 8.134e-4
0.705, -1.818e-5, 8.125e-4
0.710, -1.837e-5, 8.115e-4
0.715, -1.912e-5, 8.106e-4
0.720, -1.931e-5, 8.096e-4
0.725, -1.929e-5, 8.087e-4
0.730, -1.985e-5, 8.077e-4
0.735, -2.031e-5, 8.066e-4
0.740, -2.020e-5, 8.056e-4
0.745, -2.054e-5, 8.046e-4
0.750, -2.118e-5, 8.036e-4
0.755, -2.117e-5, 8.025e-4
0.760, -2.127e-5, 8.014e-4
0.765, -2.193e-5, 8.003e-4
0.770, -2.215e-5, 7.992e-4
0.775, -2.209e-5, 7.981e-4
0.780, -2.259e-5, 7.970e-4
0.785, -2.305e-5, 7.958e-4
0.790, -2.299e-5, 7.947e-4
0.795, -2.327e-5, 7.935e-4
0.800, -2.392e-5, 7.923e-4
0.805, -2.401e-5, 7.911e-4
0.810, -2.411e-5, 7.899e-4
0.815, -2.474e-5, 7.887e-4
0.820, -2.500e-5, 7.874e-4
0.825, -2.498e-5, 7.862e-4
0.830, -2.541e-5, 7.849e-4
0.835, -2.592e-5, 7.836e-4
0.840, -2.591e-5, 7.823e-4
0.845, -2.614e-5, 7.810e-4
0.850, -2.680e-5, 7.797e-4
0.855, -2.690e-5, 7.783e-4
0.860, -2.698e-5, 7.770e-4
0.865, -2.752e-5, 7.756e-4
0.870, -2.789e-5, 7.742e-4
0.875, -2.785e-5, 7.728e-4
0.880, -2.824e-5, 7.714e-4
0.885, -2.877e-5, 7.700e-4
0.890, -2.876e-5, 7.685e-4
0.895, -2.897e-5, 7.671e-4
0.900, -2.955e-5, 7.656e-4
0.905, -2.971e-5, 7.641e-4
0.910, -2.973e-5, 7.626e-4
0.915, -3.025e-5, 7.611e-4
0.920, -3.062e-5, 7.596e-4
0.925, -3.058e-5, 7.581e-4
0.930, -3.090e-5, 7.565e-4
0.935, -3.138e-5, 7.549e-4
0.940, -3.137e-5, 7.534e-4
0.945, -3.151e-5, 7.518e-4
0.950, -3.212e-5, 7.502e-4
0.955, -3.225e-5, 7.486e-4
0.960, -3.221e-5, 7.470e-4
0.965, -3.266e-5, 7.453e-4
0.970, -3.300e-5, 7.437e-4
0.975, -3.291e-5, 7.420e-4
0.980, -3.313e-5, 7.404e-4
0.985, -3.360e-5, 7.387e-4
0.990, -3.357e-5, 7.370e-4
0.995, -3.359e-5, 7.354e-4
1.000, -3.407e-5, 7.337e-4
1.005, -3.418e-5, 7.319e-4
1.010, -3.407e-5, 7.302e-4
1.015, -3.441e-5, 7.285e-4
1.020, -3.475e-5, 7.268e-4
1.025, -3.454e-5, 7.251e-4
1.030, -3.471e-5, 7.233e-4
1.035, -3.515e-5, 7.216e-4
1.040, -3.511e-5, 7.198e-4
1.045, -3.509e-5, 7.181e-4
1.050, -3.553e-5, 7.163e-4
1.055, -3.569e-5, 7.145e-4
1.060, -3.556e-5, 7.127e-4
1.065, -3.586e-5, 7.109e-4
1.070, -3.620e-5, 7.091e-4
1.075, -3.609e-5, 7.073e-4
1.080, -3.620e-5, 7.055e-4
1.085, -3.667e-5, 7.037e-4
1.090, -3.670e-5, 7.018e-4
1.095, -3.667e-5, 7.000e-4

Segment 2:
1.100, -3.269e-5, 6.984e-4
1.095, -2.609e-5, 6.971e-4
1.090, -2.134e-5, 6.960e-4
