Oct. 19, 2023   13:59:49
Linear Sweep Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\fast_lsv.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.3
Final E (V) = 1.1
Scan Rate (V/s) = 0.01
Sample Interval (V) = 2e-4
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5


Potential/V, Current/A, Charge/C

Segment 1:
-0.2998, 3.524e-4, 7.048e-6
-0.2996, 3.627e-4, 1.430e-5
-0.2994, 3.725e-4, 2.175e-5
-0.2992, 3.780e-4, 2.931e-5
-0.2990, 3.813e-4, 3.694e-5
-0.2988, 3.864e-4, 4.467e-5
-0.2986, 3.900e-4, 5.247e-5
-0.2984, 3.900e-4, 6.027e-5
-0.2982, 3.877e-4, 6.802e-5
-0.2980, 3.859e-4, 7.574e-5
-0.2978, 3.840e-4, 8.342e-5
-0.2976, 3.778e-4, 9.098e-5
-0.2974, 3.671e-4, 9.832e-5
-0.2972, 3.614e-4, 1.055e-4
-0.2970, 3.583e-4, 1.127e-4
-0.2968, 3.538e-4, 1.198e-4
-0.2966, 3.471e-4, 1.267e-4
-0.2964, 3.419e-4, 1.336e-4
-0.2962, 3.396e-4, 1.404e-4
-0.2960, 3.395e-4, 1.471e-4
-0.2958, 3.375e-4, 1.539e-4
-0.2956, 3.365e-4, 1.606e-4
-0.2954, 3.396e-4, 1.674e-4
-0.2952, 3.480e-4, 1.744e-4
-0.2950, 3.627e-4, 1.816e-4
-0.2948, 3.782e-4, 1.892e-4
-0.2946, 3.863e-4, 1.969e-4
-0.2944, 3.903e-4, 2.047e-4
-0.2942, 3.927e-4, 2.126e-4
-0.2940, 3.934e-4, 2.205e-4
-0.2938, 3.963e-4, 2.284e-4
-0.2936, 4.018e-4, 2.364e-4
-0.2934, 4.090e-4, 2.446e-4
-0.2932, 4.142e-4, 2.529e-4
-0.2930, 4.207e-4, 2.613e-4
-0.2928, 4.296e-4, 2.699e-4
-0.2926, 4.366e-4, 2.786e-4
-0.2924, 4.394e-4, 2.874e-4
-0.2922, 4.364e-4, 2.961e-4
-0.2920, 4.303e-4, 3.047e-4
-0.2918, 4.251e-4, 3.132e-4
-0.2916, 4.206e-4, 3.217e-4
-0.2914, 4.146e-4, 3.299e-4
-0.2912, 4.102e-4, 3.381e-4
-0.2910, 4.096e-4, 3.463e-4
-0.2908, 4.105e-4, 3.545e-4
-0.2906, 4.082e-4, 3.627e-4
-0.2904, 4.040e-4, 3.708e-4
-0.2902, 3.988e-4, 3.788e-4
-0.2900, 3.936e-4, 3.866e-4
-0.2898, 3.882e-4, 3.944e-4
-0.2896, 3.829e-4, 4.021e-4
-0.2894, 3.782e-4, 4.096e-4
-0.2892, 3.749e-4, 4.171e-4
-0.2890, 3.763e-4, 4.247e-4
-0.2888, 3.888e-4, 4.324e-4
-0.2886, 4.060e-4, 4.405e-4
-0.2884, 4.164e-4, 4.489e-4
-0.2882, 4.213e-4, 4.573e-4
-0.2880, 4.205e-4, 4.657e-4
-0.2878, 4.122e-4, 4.740e-4
-0.2876, 4.002e-4, 4.820e-4
-0.2874, 3.894e-4, 4.897e-4
-0.2872, 3.790e-4, 4.973e-4
-0.2870, 3.719e-4, 5.048e-4
-0.2868, 3.677e-4, 5.121e-4
-0.2866, 3.653e-4, 5.194e-4
-0.2864, 3.633e-4, 5.267e-4
-0.2862, 3.612e-4, 5.339e-4
-0.2860, 3.593e-4, 5.411e-4
-0.2858, 3.588e-4, 5.483e-4
-0.2856, 3.599e-4, 5.555e-4
-0.2854, 3.646e-4, 5.628e-4
-0.2852, 3.689e-4, 5.701e-4
-0.2850, 3.682e-4, 5.775e-4
-0.2848, 3.633e-4, 5.848e-4
-0.2846, 3.563e-4, 5.919e-4
-0.2844, 3.518e-4, 5.989e-4
-0.2842, 3.509e-4, 6.060e-4
-0.2840, 3.519e-4, 6.130e-4
-0.2838, 3.501e-4, 6.200e-4
-0.2836, 3.496e-4, 6.270e-4
-0.2834, 3.537e-4, 6.341e-4
-0.2832, 3.612e-4, 6.413e-4
-0.2830, 3.654e-4, 6.486e-4
-0.2828, 3.676e-4, 6.559e-4
-0.2826, 3.713e-4, 6.634e-4
-0.2824, 3.764e-4, 6.709e-4
-0.2822, 3.775e-4, 6.785e-4
-0.2820, 3.768e-4, 6.860e-4
-0.2818, 3.814e-4, 6.936e-4
-0.2816, 3.867e-4, 7.014e-4
-0.2814, 3.903e-4, 7.092e-4
-0.2812, 3.889e-4, 7.169e-4
-0.2810, 3.845e-4, 7.246e-4
-0.2808, 3.782e-4, 7.322e-4
-0.2806, 3.711e-4, 7.396e-4
-0.2804, 3.616e-4, 7.468e-4
-0.2802, 3.533e-4, 7.539e-4
-0.2800, 3.492e-4, 7.609e-4
-0.2798, 3.476e-4, 7.678e-4
-0.2796, 3.463e-4, 7.748e-4
-0.2794, 3.459e-4, 7.817e-4
-0.2792, 3.463e-4, 7.886e-4
-0.2790, 3.468e-4, 7.956e-4
-0.2788, 3.462e-4, 8.025e-4
-0.2786, 3.440e-4, 8.094e-4
-0.2784, 3.437e-4, 8.162e-4
-0.2782, 3.443e-4, 8.231e-4
-0.2780, 3.443e-4, 8.300e-4
-0.2778, 3.422e-4, 8.368e-4
-0.2776, 3.407e-4, 8.437e-4
-0.2774, 3.398e-4, 8.505e-4
-0.2772, 3.389e-4, 8.572e-4
-0.2770, 3.352e-4, 8.639e-4
-0.2768, 3.324e-4, 8.706e-4
-0.2766, 3.318e-4, 8.772e-4
-0.2764, 3.321e-4, 8.839e-4
-0.2762, 3.308e-4, 8.905e-4
-0.2760, 3.293e-4, 8.971e-4
-0.2758, 3.297e-4, 9.037e-4
-0.2756, 3.319e-4, 9.103e-4
-0.2754, 3.323e-4, 9.169e-4
-0.2752, 3.283e-4, 9.235e-4
-0.2750, 3.252e-4, 9.300e-4
-0.2748, 3.242e-4, 9.365e-4
-0.2746, 3.246e-4, 9.430e-4
-0.2744, 3.260e-4, 9.495e-4
-0.2742, 3.316e-4, 9.561e-4
-0.2740, 3.391e-4, 9.629e-4
-0.2738, 3.511e-4, 9.699e-4
-0.2736, 3.632e-4, 9.772e-4
-0.2734, 3.712e-4, 9.846e-4
-0.2732, 3.763e-4, 9.922e-4
-0.2730, 3.772e-4, 9.997e-4
-0.2728, 3.747e-4, 1.007e-3
-0.2726, 3.713e-4, 1.015e-3
-0.2724, 3.696e-4, 1.022e-3
-0.2722, 3.709e-4, 1.029e-3
-0.2720, 3.711e-4, 1.037e-3
-0.2718, 3.668e-4, 1.044e-3
-0.2716, 3.625e-4, 1.051e-3
-0.2714, 3.600e-4, 1.059e-3
-0.2712, 3.580e-4, 1.066e-3
-0.2710, 3.547e-4, 1.073e-3
-0.2708, 3.521e-4, 1.080e-3
-0.2706, 3.510e-4, 1.087e-3
-0.2704, 3.519e-4, 1.094e-3
-0.2702, 3.495e-4, 1.101e-3
-0.2700, 3.435e-4, 1.108e-3
-0.2698, 3.384e-4, 1.115e-3
-0.2696, 3.349e-4, 1.121e-3
-0.2694, 3.314e-4, 1.128e-3
-0.2692, 3.278e-4, 1.135e-3
-0.2690, 3.263e-4, 1.141e-3
-0.2688, 3.269e-4, 1.148e-3
-0.2686, 3.267e-4, 1.154e-3
-0.2684, 3.238e-4, 1.161e-3
-0.2682, 3.216e-4, 1.167e-3
-0.2680, 3.207e-4, 1.173e-3
-0.2678, 3.204e-4, 1.180e-3
-0.2676, 3.195e-4, 1.186e-3
-0.2674, 3.196e-4, 1.193e-3
-0.2672, 3.205e-4, 1.199e-3
-0.2670, 3.217e-4, 1.205e-3
-0.2668, 3.197e-4, 1.212e-3
-0.2666, 3.175e-4, 1.218e-3
-0.2664, 3.175e-4, 1.225e-3
-0.2662, 3.181e-4, 1.231e-3
-0.2660, 3.177e-4, 1.237e-3
-0.2658, 3.170e-4, 1.244e-3
-0.2656, 3.176e-4, 1.250e-3
-0.2654, 3.190e-4, 1.256e-3
-0.2652, 3.192e-4, 1.263e-3
-0.2650, 3.164e-4, 1.269e-3
-0.2648, 3.149e-4, 1.275e-3
-0.2646, 3.148e-4, 1.282e-3
-0.2644, 3.141e-4, 1.288e-3
-0.2642, 3.120e-4, 1.294e-3
-0.2640, 3.116e-4, 1.300e-3
-0.2638, 3.132e-4, 1.307e-3
-0.2636, 3.184e-4, 1.313e-3
-0.2634, 3.214e-4, 1.319e-3
-0.2632, 3.201e-4, 1.326e-3
-0.2630, 3.230e-4, 1.332e-3
-0.2628, 3.275e-4, 1.339e-3
-0.2626, 3.305e-4, 1.345e-3
-0.2624, 3.314e-4, 1.352e-3
-0.2622, 3.325e-4, 1.359e-3
-0.2620, 3.359e-4, 1.365e-3
-0.2618, 3.403e-4, 1.372e-3
-0.2616, 3.389e-4, 1.379e-3
-0.2614, 3.350e-4, 1.386e-3
-0.2612, 3.320e-4, 1.392e-3
-0.2610, 3.287e-4, 1.399e-3
-0.2608, 3.243e-4, 1.405e-3
-0.2606, 3.198e-4, 1.412e-3
-0.2604, 3.182e-4, 1.418e-3
-0.2602, 3.177e-4, 1.425e-3
-0.2600, 3.148e-4, 1.431e-3
-0.2598, 3.130e-4, 1.437e-3
-0.2596, 3.162e-4, 1.443e-3
-0.2594, 3.190e-4, 1.450e-3
-0.2592, 3.204e-4, 1.456e-3
-0.2590, 3.217e-4, 1.463e-3
-0.2588, 3.235e-4, 1.469e-3
-0.2586, 3.259e-4, 1.476e-3
-0.2584, 3.285e-4, 1.482e-3
-0.2582, 3.304e-4, 1.489e-3
-0.2580, 3.347e-4, 1.496e-3
-0.2578, 3.384e-4, 1.502e-3
