Oct. 19, 2023   13:42:56
Cyclic Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\low.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5

Segment 1:

Segment 2:

Segment 3:
Segment 4:
Ep = 0.280V
ip = 1.302e-4A
Ah = 1.633e-4C

Segment 5:
Segment 6:
Ep = 0.285V
ip = 1.410e-4A
Ah = 1.743e-4C

Ep = -0.250V
ip = 1.881e-5A
Ah = 9.300e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.005, 2.644e-4, 1.322e-5
0.010, 2.647e-4, 2.645e-5
0.015, 2.643e-4, 3.967e-5
0.020, 2.635e-4, 5.284e-5
0.025, 2.628e-4, 6.598e-5
0.030, 2.629e-4, 7.913e-5
0.035, 2.637e-4, 9.231e-5
0.040, 2.644e-4, 1.055e-4
0.045, 2.639e-4, 1.187e-4
0.050, 2.625e-4, 1.319e-4
0.055, 2.606e-4, 1.449e-4
0.060, 2.585e-4, 1.578e-4
0.065, 2.556e-4, 1.706e-4
0.070, 2.520e-4, 1.832e-4
0.075, 2.480e-4, 1.956e-4
0.080, 2.448e-4, 2.078e-4
0.085, 2.421e-4, 2.199e-4
0.090, 2.402e-4, 2.320e-4
0.095, 2.389e-4, 2.439e-4
0.100, 2.378e-4, 2.558e-4
0.105, 2.365e-4, 2.676e-4
0.110, 2.350e-4, 2.794e-4
0.115, 2.331e-4, 2.910e-4
0.120, 2.311e-4, 3.026e-4
0.125, 2.290e-4, 3.140e-4
0.130, 2.270e-4, 3.254e-4
0.135, 2.249e-4, 3.366e-4
0.140, 2.230e-4, 3.478e-4
0.145, 2.209e-4, 3.588e-4
0.150, 2.191e-4, 3.698e-4
0.155, 2.173e-4, 3.806e-4
0.160, 2.155e-4, 3.914e-4
0.165, 2.137e-4, 4.021e-4
0.170, 2.118e-4, 4.127e-4
0.175, 2.096e-4, 4.232e-4
0.180, 2.070e-4, 4.335e-4
0.185, 2.041e-4, 4.437e-4
0.190, 2.011e-4, 4.538e-4
0.195, 1.983e-4, 4.637e-4
0.200, 1.959e-4, 4.735e-4
0.205, 1.936e-4, 4.832e-4
0.210, 1.916e-4, 4.927e-4
0.215, 1.897e-4, 5.022e-4
0.220, 1.880e-4, 5.116e-4
0.225, 1.862e-4, 5.209e-4
0.230, 1.845e-4, 5.302e-4
0.235, 1.826e-4, 5.393e-4
0.240, 1.808e-4, 5.483e-4
0.245, 1.790e-4, 5.573e-4
0.250, 1.769e-4, 5.661e-4
0.255, 1.745e-4, 5.749e-4
0.260, 1.716e-4, 5.834e-4
0.265, 1.685e-4, 5.919e-4
0.270, 1.651e-4, 6.001e-4
0.275, 1.614e-4, 6.082e-4
0.280, 1.578e-4, 6.161e-4
0.285, 1.540e-4, 6.238e-4
0.290, 1.505e-4, 6.313e-4
0.295, 1.470e-4, 6.386e-4
0.300, 1.437e-4, 6.458e-4
0.305, 1.404e-4, 6.529e-4
0.310, 1.370e-4, 6.597e-4
0.315, 1.336e-4, 6.664e-4
0.320, 1.300e-4, 6.729e-4
0.325, 1.265e-4, 6.792e-4
0.330, 1.226e-4, 6.853e-4
0.335, 1.189e-4, 6.913e-4
0.340, 1.150e-4, 6.970e-4
0.345, 1.113e-4, 7.026e-4
0.350, 1.076e-4, 7.080e-4
0.355, 1.040e-4, 7.132e-4
0.360, 1.003e-4, 7.182e-4
0.365, 9.662e-5, 7.230e-4
0.370, 9.302e-5, 7.277e-4
0.375, 8.943e-5, 7.322e-4
0.380, 8.586e-5, 7.364e-4
0.385, 8.231e-5, 7.406e-4
0.390, 7.886e-5, 7.445e-4
0.395, 7.541e-5, 7.483e-4
0.400, 7.203e-5, 7.519e-4
0.405, 6.860e-5, 7.553e-4
0.410, 6.531e-5, 7.586e-4
0.415, 6.203e-5, 7.617e-4
0.420, 5.882e-5, 7.646e-4
0.425, 5.568e-5, 7.674e-4
0.430, 5.255e-5, 7.700e-4
0.435, 4.955e-5, 7.725e-4
0.440, 4.662e-5, 7.748e-4
0.445, 4.373e-5, 7.770e-4
0.450, 4.093e-5, 7.791e-4
0.455, 3.814e-5, 7.810e-4
0.460, 3.547e-5, 7.827e-4
0.465, 3.291e-5, 7.844e-4
0.470, 3.041e-5, 7.859e-4
0.475, 2.798e-5, 7.873e-4
0.480, 2.570e-5, 7.886e-4
0.485, 2.346e-5, 7.898e-4
0.490, 2.127e-5, 7.908e-4
0.495, 1.918e-5, 7.918e-4
0.500, 1.722e-5, 7.927e-4
0.505, 1.527e-5, 7.934e-4
0.510, 1.342e-5, 7.941e-4
0.515, 1.163e-5, 7.947e-4
0.520, 9.932e-6, 7.952e-4
0.525, 8.299e-6, 7.956e-4
0.530, 6.680e-6, 7.959e-4
0.535, 5.219e-6, 7.962e-4
0.540, 3.840e-6, 7.964e-4
0.545, 2.522e-6, 7.965e-4
0.550, 1.310e-6, 7.966e-4
0.555, 1.480e-7, 7.966e-4
0.560, -9.377e-7, 7.965e-4
0.565, -1.968e-6, 7.964e-4
0.570, -2.927e-6, 7.963e-4
0.575, -3.857e-6, 7.961e-4
0.580, -4.724e-6, 7.958e-4
0.585, -5.563e-6, 7.956e-4
0.590, -6.339e-6, 7.953e-4
0.595, -7.091e-6, 7.949e-4
0.600, -7.806e-6, 7.945e-4
0.605, -8.551e-6, 7.941e-4
0.610, -9.214e-6, 7.936e-4
0.615, -9.770e-6, 7.931e-4
0.620, -1.040e-5, 7.926e-4
0.625, -1.097e-5, 7.921e-4
0.630, -1.154e-5, 7.915e-4
0.635, -1.206e-5, 7.909e-4
0.640, -1.259e-5, 7.903e-4
0.645, -1.308e-5, 7.896e-4
0.650, -1.356e-5, 7.889e-4
0.655, -1.400e-5, 7.882e-4
0.660, -1.445e-5, 7.875e-4
0.665, -1.490e-5, 7.868e-4
0.670, -1.531e-5, 7.860e-4
0.675, -1.571e-5, 7.852e-4
0.680, -1.611e-5, 7.844e-4
0.685, -1.650e-5, 7.836e-4
0.690, -1.684e-5, 7.827e-4
0.695, -1.724e-5, 7.819e-4
0.700, -1.758e-5, 7.810e-4
0.705, -1.792e-5, 7.801e-4
0.710, -1.827e-5, 7.792e-4
0.715, -1.864e-5, 7.782e-4
0.720, -1.897e-5, 7.773e-4
0.725, -1.931e-5, 7.763e-4
0.730, -1.959e-5, 7.754e-4
0.735, -1.992e-5, 7.744e-4
0.740, -2.024e-5, 7.733e-4
0.745, -2.055e-5, 7.723e-4
0.750, -2.085e-5, 7.713e-4
0.755, -2.118e-5, 7.702e-4
0.760, -2.147e-5, 7.691e-4
0.765, -2.178e-5, 7.681e-4
0.770, -2.211e-5, 7.669e-4
0.775, -2.241e-5, 7.658e-4
0.780, -2.270e-5, 7.647e-4
0.785, -2.302e-5, 7.635e-4
0.790, -2.333e-5, 7.624e-4
0.795, -2.364e-5, 7.612e-4
0.800, -2.402e-5, 7.600e-4
0.805, -2.436e-5, 7.588e-4
0.810, -2.467e-5, 7.575e-4
0.815, -2.504e-5, 7.563e-4
0.820, -2.533e-5, 7.550e-4
0.825, -2.566e-5, 7.537e-4
0.830, -2.602e-5, 7.524e-4
0.835, -2.637e-5, 7.511e-4
0.840, -2.673e-5, 7.498e-4
0.845, -2.707e-5, 7.484e-4
0.850, -2.740e-5, 7.471e-4
0.855, -2.777e-5, 7.457e-4
0.860, -2.812e-5, 7.443e-4
0.865, -2.846e-5, 7.428e-4
0.870, -2.886e-5, 7.414e-4
0.875, -2.920e-5, 7.399e-4
0.880, -2.953e-5, 7.385e-4
0.885, -2.991e-5, 7.370e-4
0.890, -3.023e-5, 7.355e-4
0.895, -3.055e-5, 7.339e-4
0.900, -3.091e-5, 7.324e-4
0.905, -3.123e-5, 7.308e-4
0.910, -3.154e-5, 7.292e-4
0.915, -3.194e-5, 7.276e-4
0.920, -3.225e-5, 7.260e-4
0.925, -3.255e-5, 7.244e-4
0.930, -3.286e-5, 7.228e-4
0.935, -3.313e-5, 7.211e-4
0.940, -3.339e-5, 7.194e-4
0.945, -3.367e-5, 7.178e-4
0.950, -3.392e-5, 7.161e-4
0.955, -3.417e-5, 7.143e-4
0.960, -3.439e-5, 7.126e-4
0.965, -3.465e-5, 7.109e-4
0.970, -3.488e-5, 7.091e-4
0.975, -3.511e-5, 7.074e-4
0.980, -3.530e-5, 7.056e-4
0.985, -3.552e-5, 7.039e-4
0.990, -3.573e-5, 7.021e-4
0.995, -3.593e-5, 7.003e-4
1.000, -3.611e-5, 6.985e-4
1.005, -3.628e-5, 6.967e-4
1.010, -3.647e-5, 6.948e-4
1.015, -3.668e-5, 6.930e-4
1.020, -3.687e-5, 6.912e-4
1.025, -3.696e-5, 6.893e-4
1.030, -3.714e-5, 6.874e-4
1.035, -3.732e-5, 6.856e-4
1.040, -3.749e-5, 6.837e-4
1.045, -3.767e-5, 6.818e-4
1.050, -3.783e-5, 6.799e-4
1.055, -3.799e-5, 6.780e-4
1.060, -3.816e-5, 6.761e-4
1.065, -3.834e-5, 6.742e-4
1.070, -3.850e-5, 6.723e-4
1.075, -3.869e-5, 6.703e-4
1.080, -3.886e-5, 6.684e-4
1.085, -3.904e-5, 6.665e-4
1.090, -3.920e-5, 6.645e-4
1.095, -3.940e-5, 6.625e-4

Segment 2:
1.100, -3.520e-5, 6.608e-4
1.095, -2.834e-5, 6.593e-4
1.090, -2.360e-5, 6.582e-4
1.085, -1.991e-5, 6.572e-4
1.080, -1.699e-5, 6.563e-4
