Oct. 19, 2023   13:56:50
Linear Sweep Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\low_lsv.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.3
Final E (V) = 1.1
Scan Rate (V/s) = 0.01
Sample Interval (V) = 2e-4
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5

Potential/V, Current/A, Charge/C

Segment 1:
-0.2998, 1.869e-4, 3.738e-6
-0.2996, 1.854e-4, 7.446e-6
-0.2994, 1.845e-4, 1.114e-5
-0.2992, 1.840e-4, 1.481e-5
-0.2990, 1.834e-4, 1.848e-5
-0.2988, 1.830e-4, 2.214e-5
-0.2986, 1.827e-4, 2.580e-5
-0.2984, 1.823e-4, 2.944e-5
-0.2982, 1.820e-4, 3.308e-5
-0.2980, 1.817e-4, 3.672e-5
-0.2978, 1.813e-4, 4.034e-5
-0.2976, 1.810e-4, 4.396e-5
-0.2974, 1.807e-4, 4.757e-5
-0.2972, 1.805e-4, 5.118e-5
-0.2970, 1.803e-4, 5.479e-5
-0.2968, 1.800e-4, 5.839e-5
-0.2966, 1.799e-4, 6.199e-5
-0.2964, 1.797e-4, 6.558e-5
-0.2962, 1.795e-4, 6.917e-5
-0.2960, 1.792e-4, 7.276e-5
-0.2958, 1.789e-4, 7.633e-5
-0.2956, 1.786e-4, 7.991e-5
-0.2954, 1.785e-4, 8.348e-5
-0.2952, 1.782e-4, 8.704e-5
-0.2950, 1.780e-4, 9.060e-5
-0.2948, 1.778e-4, 9.416e-5
-0.2946, 1.777e-4, 9.771e-5
-0.2944, 1.775e-4, 1.013e-4
-0.2942, 1.774e-4, 1.048e-4
-0.2940, 1.773e-4, 1.084e-4
-0.2938, 1.771e-4, 1.119e-4
-0.2936, 1.769e-4, 1.154e-4
-0.2934, 1.766e-4, 1.190e-4
-0.2932, 1.765e-4, 1.225e-4
-0.2930, 1.762e-4, 1.260e-4
-0.2928, 1.760e-4, 1.295e-4
-0.2926, 1.757e-4, 1.331e-4
-0.2924, 1.755e-4, 1.366e-4
-0.2922, 1.754e-4, 1.401e-4
-0.2920, 1.751e-4, 1.436e-4
-0.2918, 1.750e-4, 1.471e-4
-0.2916, 1.748e-4, 1.506e-4
-0.2914, 1.746e-4, 1.541e-4
-0.2912, 1.744e-4, 1.576e-4
-0.2910, 1.742e-4, 1.610e-4
-0.2908, 1.739e-4, 1.645e-4
-0.2906, 1.737e-4, 1.680e-4
-0.2904, 1.735e-4, 1.715e-4
-0.2902, 1.732e-4, 1.749e-4
-0.2900, 1.731e-4, 1.784e-4
-0.2898, 1.729e-4, 1.818e-4
-0.2896, 1.726e-4, 1.853e-4
-0.2894, 1.724e-4, 1.887e-4
-0.2892, 1.722e-4, 1.922e-4
-0.2890, 1.720e-4, 1.956e-4
-0.2888, 1.718e-4, 1.991e-4
-0.2886, 1.716e-4, 2.025e-4
-0.2884, 1.715e-4, 2.059e-4
-0.2882, 1.713e-4, 2.094e-4
-0.2880, 1.710e-4, 2.128e-4
-0.2878, 1.708e-4, 2.162e-4
-0.2876, 1.706e-4, 2.196e-4
-0.2874, 1.703e-4, 2.230e-4
-0.2872, 1.702e-4, 2.264e-4
-0.2870, 1.700e-4, 2.298e-4
-0.2868, 1.698e-4, 2.332e-4
-0.2866, 1.696e-4, 2.366e-4
-0.2864, 1.694e-4, 2.400e-4
-0.2862, 1.693e-4, 2.434e-4
-0.2860, 1.691e-4, 2.468e-4
-0.2858, 1.690e-4, 2.501e-4
-0.2856, 1.689e-4, 2.535e-4
-0.2854, 1.687e-4, 2.569e-4
-0.2852, 1.687e-4, 2.603e-4
-0.2850, 1.686e-4, 2.636e-4
-0.2848, 1.685e-4, 2.670e-4
-0.2846, 1.685e-4, 2.704e-4
-0.2844, 1.684e-4, 2.737e-4
-0.2842, 1.683e-4, 2.771e-4
-0.2840, 1.682e-4, 2.805e-4
-0.2838, 1.681e-4, 2.838e-4
-0.2836, 1.681e-4, 2.872e-4
-0.2834, 1.681e-4, 2.906e-4
-0.2832, 1.681e-4, 2.939e-4
-0.2830, 1.681e-4, 2.973e-4
-0.2828, 1.681e-4, 3.006e-4
-0.2826, 1.681e-4, 3.040e-4
-0.2824, 1.683e-4, 3.074e-4
-0.2822, 1.683e-4, 3.107e-4
-0.2820, 1.683e-4, 3.141e-4
-0.2818, 1.684e-4, 3.175e-4
-0.2816, 1.684e-4, 3.208e-4
-0.2814, 1.685e-4, 3.242e-4
-0.2812, 1.686e-4, 3.276e-4
-0.2810, 1.686e-4, 3.310e-4
-0.2808, 1.687e-4, 3.343e-4
-0.2806, 1.688e-4, 3.377e-4
-0.2804, 1.690e-4, 3.411e-4
-0.2802, 1.691e-4, 3.445e-4
-0.2800, 1.692e-4, 3.479e-4
-0.2798, 1.693e-4, 3.512e-4
-0.2796, 1.694e-4, 3.546e-4
-0.2794, 1.695e-4, 3.580e-4
-0.2792, 1.697e-4, 3.614e-4
-0.2790, 1.698e-4, 3.648e-4
-0.2788, 1.698e-4, 3.682e-4
-0.2786, 1.701e-4, 3.716e-4
-0.2784, 1.702e-4, 3.750e-4
-0.2782, 1.703e-4, 3.784e-4
-0.2780, 1.706e-4, 3.818e-4
-0.2778, 1.707e-4, 3.852e-4
-0.2776, 1.709e-4, 3.887e-4
-0.2774, 1.712e-4, 3.921e-4
-0.2772, 1.714e-4, 3.955e-4
-0.2770, 1.716e-4, 3.989e-4
-0.2768, 1.717e-4, 4.024e-4
-0.2766, 1.719e-4, 4.058e-4
-0.2764, 1.722e-4, 4.093e-4
-0.2762, 1.727e-4, 4.127e-4
-0.2760, 1.729e-4, 4.162e-4
-0.2758, 1.732e-4, 4.196e-4
-0.2756, 1.735e-4, 4.231e-4
-0.2754, 1.739e-4, 4.266e-4
-0.2752, 1.742e-4, 4.301e-4
-0.2750, 1.740e-4, 4.335e-4
-0.2748, 1.744e-4, 4.370e-4
-0.2746, 1.747e-4, 4.405e-4
-0.2744, 1.749e-4, 4.440e-4
-0.2742, 1.748e-4, 4.475e-4
-0.2740, 1.754e-4, 4.510e-4
-0.2738, 1.752e-4, 4.545e-4
-0.2736, 1.755e-4, 4.580e-4
-0.2734, 1.758e-4, 4.616e-4
-0.2732, 1.760e-4, 4.651e-4
-0.2730, 1.761e-4, 4.686e-4
-0.2728, 1.762e-4, 4.721e-4
-0.2726, 1.762e-4, 4.757e-4
-0.2724, 1.762e-4, 4.792e-4
-0.2722, 1.761e-4, 4.827e-4
-0.2720, 1.761e-4, 4.862e-4
-0.2718, 1.761e-4, 4.897e-4
-0.2716, 1.761e-4, 4.933e-4
-0.2714, 1.762e-4, 4.968e-4
-0.2712, 1.761e-4, 5.003e-4
-0.2710, 1.762e-4, 5.038e-4
-0.2708, 1.761e-4, 5.074e-4
-0.2706, 1.759e-4, 5.109e-4
-0.2704, 1.759e-4, 5.144e-4
-0.2702, 1.758e-4, 5.179e-4
-0.2700, 1.758e-4, 5.214e-4
-0.2698, 1.758e-4, 5.249e-4
-0.2696, 1.758e-4, 5.285e-4
-0.2694, 1.758e-4, 5.320e-4
-0.2692, 1.757e-4, 5.355e-4
-0.2690, 1.758e-4, 5.390e-4
-0.2688, 1.759e-4, 5.425e-4
-0.2686, 1.760e-4, 5.460e-4
-0.2684, 1.761e-4, 5.496e-4
-0.2682, 1.762e-4, 5.531e-4
-0.2680, 1.763e-4, 5.566e-4
-0.2678, 1.764e-4, 5.601e-4
-0.2676, 1.765e-4, 5.637e-4
-0.2674, 1.766e-4, 5.672e-4
-0.2672, 1.768e-4, 5.707e-4
-0.2670, 1.771e-4, 5.743e-4
-0.2668, 1.773e-4, 5.778e-4
-0.2666, 1.776e-4, 5.814e-4
-0.2664, 1.780e-4, 5.849e-4
-0.2662, 1.783e-4, 5.885e-4
-0.2660, 1.786e-4, 5.921e-4
-0.2658, 1.789e-4, 5.957e-4
-0.2656, 1.792e-4, 5.992e-4
-0.2654, 1.795e-4, 6.028e-4
-0.2652, 1.797e-4, 6.064e-4
-0.2650, 1.801e-4, 6.100e-4
-0.2648, 1.804e-4, 6.136e-4
-0.2646, 1.808e-4, 6.173e-4
-0.2644, 1.811e-4, 6.209e-4
-0.2642, 1.817e-4, 6.245e-4
-0.2640, 1.820e-4, 6.282e-4
-0.2638, 1.820e-4, 6.318e-4
-0.2636, 1.825e-4, 6.354e-4
-0.2634, 1.825e-4, 6.391e-4
-0.2632, 1.825e-4, 6.427e-4
-0.2630, 1.827e-4, 6.464e-4
-0.2628, 1.827e-4, 6.501e-4
-0.2626, 1.827e-4, 6.537e-4
-0.2624, 1.829e-4, 6.574e-4
-0.2622, 1.832e-4, 6.610e-4
-0.2620, 1.835e-4, 6.647e-4
-0.2618, 1.837e-4, 6.684e-4
-0.2616, 1.838e-4, 6.720e-4
-0.2614, 1.839e-4, 6.757e-4
-0.2612, 1.839e-4, 6.794e-4
-0.2610, 1.840e-4, 6.831e-4
-0.2608, 1.840e-4, 6.868e-4
-0.2606, 1.840e-4, 6.904e-4
-0.2604, 1.841e-4, 6.941e-4
-0.2602, 1.842e-4, 6.978e-4
-0.2600, 1.842e-4, 7.015e-4
-0.2598, 1.843e-4, 7.052e-4
-0.2596, 1.843e-4, 7.089e-4
-0.2594, 1.844e-4, 7.126e-4
-0.2592, 1.849e-4, 7.163e-4
-0.2590, 1.848e-4, 7.199e-4
-0.2588, 1.844e-4, 7.236e-4
-0.2586, 1.843e-4, 7.273e-4
-0.2584, 1.840e-4, 7.310e-4
-0.2582, 1.839e-4, 7.347e-4
-0.2580, 1.839e-4, 7.384e-4
-0.2578, 1.845e-4, 7.420e-4
