Oct. 19, 2023   13:45:42
Cyclic Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\non.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5

Segment 1:

Segment 2:
Ep = 0.285V
ip = 7.952e-5A
Ah = 1.004e-4C

Ep = -0.245V
ip = 1.065e-5A
Ah = 4.995e-6C

Segment 3:

Segment 4:
Ep = 0.310V
ip = 7.400e-5A
Ah = 8.824e-5C

Ep = -0.115V
ip = 1.425e-5A
Ah = 6.828e-6C

Segment 5:

Segment 6:
Ep = 0.325V
ip = 7.695e-5A
Ah = 8.469e-5C

Ep = -0.110V
ip = 1.653e-5A
Ah = 7.560e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.005, 1.685e-4, 8.426e-6
0.010, 1.661e-4, 1.673e-5
0.015, 1.639e-4, 2.493e-5
0.020, 1.617e-4, 3.301e-5
0.025, 1.597e-4, 4.100e-5
0.030, 1.578e-4, 4.889e-5
0.035, 1.559e-4, 5.668e-5
0.040, 1.540e-4, 6.438e-5
0.045, 1.522e-4, 7.199e-5
0.050, 1.504e-4, 7.951e-5
0.055, 1.487e-4, 8.695e-5
0.060, 1.469e-4, 9.429e-5
0.065, 1.453e-4, 1.016e-4
0.070, 1.437e-4, 1.087e-4
0.075, 1.421e-4, 1.158e-4
0.080, 1.405e-4, 1.229e-4
0.085, 1.389e-4, 1.298e-4
0.090, 1.374e-4, 1.367e-4
0.095, 1.359e-4, 1.435e-4
0.100, 1.344e-4, 1.502e-4
0.105, 1.330e-4, 1.569e-4
0.110, 1.314e-4, 1.634e-4
0.115, 1.300e-4, 1.699e-4
0.120, 1.286e-4, 1.764e-4
0.125, 1.272e-4, 1.827e-4
0.130, 1.258e-4, 1.890e-4
0.135, 1.244e-4, 1.952e-4
0.140, 1.229e-4, 2.014e-4
0.145, 1.216e-4, 2.075e-4
0.150, 1.202e-4, 2.135e-4
0.155, 1.189e-4, 2.194e-4
0.160, 1.176e-4, 2.253e-4
0.165, 1.162e-4, 2.311e-4
0.170, 1.148e-4, 2.368e-4
0.175, 1.135e-4, 2.425e-4
0.180, 1.122e-4, 2.481e-4
0.185, 1.108e-4, 2.537e-4
0.190, 1.095e-4, 2.591e-4
0.195, 1.081e-4, 2.645e-4
0.200, 1.068e-4, 2.699e-4
0.205, 1.055e-4, 2.752e-4
0.210, 1.041e-4, 2.804e-4
0.215, 1.027e-4, 2.855e-4
0.220, 1.013e-4, 2.906e-4
0.225, 9.984e-5, 2.956e-4
0.230, 9.845e-5, 3.005e-4
0.235, 9.702e-5, 3.053e-4
0.240, 9.558e-5, 3.101e-4
0.245, 9.413e-5, 3.148e-4
0.250, 9.257e-5, 3.194e-4
0.255, 9.107e-5, 3.240e-4
0.260, 8.956e-5, 3.285e-4
0.265, 8.803e-5, 3.329e-4
0.270, 8.649e-5, 3.372e-4
0.275, 8.485e-5, 3.414e-4
0.280, 8.324e-5, 3.456e-4
0.285, 8.164e-5, 3.497e-4
0.290, 8.002e-5, 3.537e-4
0.295, 7.837e-5, 3.576e-4
0.300, 7.669e-5, 3.614e-4
0.305, 7.500e-5, 3.652e-4
0.310, 7.328e-5, 3.689e-4
0.315, 7.155e-5, 3.724e-4
0.320, 6.977e-5, 3.759e-4
0.325, 6.796e-5, 3.793e-4
0.330, 6.620e-5, 3.826e-4
0.335, 6.439e-5, 3.859e-4
0.340, 6.261e-5, 3.890e-4
0.345, 6.072e-5, 3.920e-4
0.350, 5.891e-5, 3.950e-4
0.355, 5.704e-5, 3.978e-4
0.360, 5.521e-5, 4.006e-4
0.365, 5.327e-5, 4.032e-4
0.370, 5.141e-5, 4.058e-4
0.375, 4.954e-5, 4.083e-4
0.380, 4.770e-5, 4.107e-4
0.385, 4.582e-5, 4.130e-4
0.390, 4.398e-5, 4.152e-4
0.395, 4.212e-5, 4.173e-4
0.400, 4.030e-5, 4.193e-4
0.405, 3.843e-5, 4.212e-4
0.410, 3.658e-5, 4.230e-4
0.415, 3.479e-5, 4.248e-4
0.420, 3.305e-5, 4.264e-4
0.425, 3.131e-5, 4.280e-4
0.430, 2.951e-5, 4.295e-4
0.435, 2.784e-5, 4.309e-4
0.440, 2.620e-5, 4.322e-4
0.445, 2.458e-5, 4.334e-4
0.450, 2.295e-5, 4.345e-4
0.455, 2.135e-5, 4.356e-4
0.460, 1.984e-5, 4.366e-4
0.465, 1.835e-5, 4.375e-4
0.470, 1.693e-5, 4.384e-4
0.475, 1.552e-5, 4.391e-4
0.480, 1.413e-5, 4.399e-4
0.485, 1.279e-5, 4.405e-4
0.490, 1.148e-5, 4.411e-4
0.495, 1.017e-5, 4.416e-4
0.500, 8.892e-6, 4.420e-4
0.505, 7.624e-6, 4.424e-4
0.510, 6.294e-6, 4.427e-4
0.515, 5.093e-6, 4.430e-4
0.520, 3.917e-6, 4.432e-4
0.525, 2.751e-6, 4.433e-4
0.530, 1.631e-6, 4.434e-4
0.535, 5.640e-7, 4.434e-4
0.540, -4.711e-7, 4.434e-4
0.545, -1.449e-6, 4.433e-4
0.550, -2.407e-6, 4.432e-4
0.555, -3.301e-6, 4.430e-4
0.560, -4.163e-6, 4.428e-4
0.565, -4.992e-6, 4.426e-4
0.570, -5.770e-6, 4.423e-4
0.575, -6.509e-6, 4.420e-4
0.580, -7.228e-6, 4.416e-4
0.585, -7.909e-6, 4.412e-4
0.590, -8.636e-6, 4.408e-4
0.595, -9.258e-6, 4.403e-4
0.600, -9.868e-6, 4.398e-4
0.605, -1.046e-5, 4.393e-4
0.610, -1.102e-5, 4.387e-4
0.615, -1.149e-5, 4.382e-4
0.620, -1.204e-5, 4.376e-4
0.625, -1.256e-5, 4.369e-4
0.630, -1.305e-5, 4.363e-4
0.635, -1.352e-5, 4.356e-4
0.640, -1.399e-5, 4.349e-4
0.645, -1.442e-5, 4.342e-4
0.650, -1.486e-5, 4.334e-4
0.655, -1.528e-5, 4.327e-4
0.660, -1.569e-5, 4.319e-4
0.665, -1.612e-5, 4.311e-4
0.670, -1.649e-5, 4.303e-4
0.675, -1.689e-5, 4.294e-4
0.680, -1.729e-5, 4.286e-4
0.685, -1.764e-5, 4.277e-4
0.690, -1.801e-5, 4.268e-4
0.695, -1.837e-5, 4.259e-4
0.700, -1.873e-5, 4.249e-4
0.705, -1.909e-5, 4.240e-4
0.710, -1.943e-5, 4.230e-4
0.715, -1.981e-5, 4.220e-4
0.720, -2.015e-5, 4.210e-4
0.725, -2.048e-5, 4.200e-4
0.730, -2.083e-5, 4.189e-4
0.735, -2.116e-5, 4.179e-4
0.740, -2.147e-5, 4.168e-4
0.745, -2.180e-5, 4.157e-4
0.750, -2.213e-5, 4.146e-4
0.755, -2.245e-5, 4.135e-4
0.760, -2.277e-5, 4.123e-4
0.765, -2.310e-5, 4.112e-4
0.770, -2.342e-5, 4.100e-4
0.775, -2.373e-5, 4.088e-4
0.780, -2.410e-5, 4.076e-4
0.785, -2.439e-5, 4.064e-4
0.790, -2.471e-5, 4.052e-4
0.795, -2.501e-5, 4.039e-4
0.800, -2.528e-5, 4.027e-4
0.805, -2.559e-5, 4.014e-4
0.810, -2.590e-5, 4.001e-4
0.815, -2.619e-5, 3.988e-4
0.820, -2.645e-5, 3.974e-4
0.825, -2.678e-5, 3.961e-4
0.830, -2.709e-5, 3.948e-4
0.835, -2.737e-5, 3.934e-4
0.840, -2.769e-5, 3.920e-4
0.845, -2.799e-5, 3.906e-4
0.850, -2.827e-5, 3.892e-4
0.855, -2.859e-5, 3.878e-4
0.860, -2.892e-5, 3.863e-4
0.865, -2.920e-5, 3.849e-4
0.870, -2.955e-5, 3.834e-4
0.875, -2.984e-5, 3.819e-4
0.880, -3.013e-5, 3.804e-4
0.885, -3.044e-5, 3.789e-4
0.890, -3.073e-5, 3.773e-4
0.895, -3.102e-5, 3.758e-4
0.900, -3.129e-5, 3.742e-4
0.905, -3.158e-5, 3.726e-4
0.910, -3.193e-5, 3.710e-4
0.915, -3.217e-5, 3.694e-4
0.920, -3.248e-5, 3.678e-4
0.925, -3.274e-5, 3.662e-4
0.930, -3.298e-5, 3.645e-4
0.935, -3.319e-5, 3.628e-4
0.940, -3.343e-5, 3.612e-4
0.945, -3.364e-5, 3.595e-4
0.950, -3.384e-5, 3.578e-4
0.955, -3.403e-5, 3.561e-4
0.960, -3.423e-5, 3.544e-4
0.965, -3.443e-5, 3.527e-4
0.970, -3.463e-5, 3.509e-4
0.975, -3.481e-5, 3.492e-4
0.980, -3.496e-5, 3.474e-4
0.985, -3.510e-5, 3.457e-4
0.990, -3.526e-5, 3.439e-4
0.995, -3.543e-5, 3.422e-4
1.000, -3.555e-5, 3.404e-4
1.005, -3.570e-5, 3.386e-4
1.010, -3.585e-5, 3.368e-4
1.015, -3.596e-5, 3.350e-4
1.020, -3.608e-5, 3.332e-4
1.025, -3.616e-5, 3.314e-4
1.030, -3.630e-5, 3.296e-4
1.035, -3.643e-5, 3.278e-4
1.040, -3.656e-5, 3.259e-4
1.045, -3.668e-5, 3.241e-4
1.050, -3.680e-5, 3.223e-4
1.055, -3.692e-5, 3.204e-4
1.060, -3.702e-5, 3.186e-4
1.065, -3.717e-5, 3.167e-4
1.070, -3.730e-5, 3.148e-4
1.075, -3.744e-5, 3.130e-4
1.080, -3.758e-5, 3.111e-4
1.085, -3.771e-5, 3.092e-4
1.090, -3.787e-5, 3.073e-4
1.095, -3.798e-5, 3.054e-4

