Oct. 19, 2023   13:53:07
Linear Sweep Voltammetry
File: c:\users\pku\desktop\zzx�绯ѧ\non_lsv.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.3
Final E (V) = 1.1
Scan Rate (V/s) = 0.01
Sample Interval (V) = 2e-4
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5


Potential/V, Current/A, Charge/C

Segment 1:
-0.2998, 1.490e-4, 2.981e-6
-0.2996, 1.472e-4, 5.925e-6
-0.2994, 1.461e-4, 8.848e-6
-0.2992, 1.453e-4, 1.175e-5
-0.2990, 1.445e-4, 1.464e-5
-0.2988, 1.438e-4, 1.752e-5
-0.2986, 1.431e-4, 2.038e-5
-0.2984, 1.424e-4, 2.323e-5
-0.2982, 1.418e-4, 2.606e-5
-0.2980, 1.412e-4, 2.889e-5
-0.2978, 1.406e-4, 3.170e-5
-0.2976, 1.400e-4, 3.450e-5
-0.2974, 1.394e-4, 3.729e-5
-0.2972, 1.388e-4, 4.006e-5
-0.2970, 1.382e-4, 4.283e-5
-0.2968, 1.378e-4, 4.558e-5
-0.2966, 1.371e-4, 4.832e-5
-0.2964, 1.367e-4, 5.106e-5
-0.2962, 1.361e-4, 5.378e-5
-0.2960, 1.356e-4, 5.649e-5
-0.2958, 1.351e-4, 5.919e-5
-0.2956, 1.347e-4, 6.189e-5
-0.2954, 1.342e-4, 6.457e-5
-0.2952, 1.337e-4, 6.725e-5
-0.2950, 1.333e-4, 6.991e-5
-0.2948, 1.328e-4, 7.257e-5
-0.2946, 1.323e-4, 7.521e-5
-0.2944, 1.318e-4, 7.785e-5
-0.2942, 1.314e-4, 8.048e-5
-0.2940, 1.310e-4, 8.310e-5
-0.2938, 1.305e-4, 8.571e-5
-0.2936, 1.300e-4, 8.831e-5
-0.2934, 1.297e-4, 9.090e-5
-0.2932, 1.293e-4, 9.349e-5
-0.2930, 1.289e-4, 9.606e-5
-0.2928, 1.285e-4, 9.863e-5
-0.2926, 1.281e-4, 1.012e-4
-0.2924, 1.276e-4, 1.037e-4
-0.2922, 1.272e-4, 1.063e-4
-0.2920, 1.268e-4, 1.088e-4
-0.2918, 1.265e-4, 1.114e-4
-0.2916, 1.262e-4, 1.139e-4
-0.2914, 1.258e-4, 1.164e-4
-0.2912, 1.254e-4, 1.189e-4
-0.2910, 1.250e-4, 1.214e-4
-0.2908, 1.247e-4, 1.239e-4
-0.2906, 1.243e-4, 1.264e-4
-0.2904, 1.239e-4, 1.289e-4
-0.2902, 1.235e-4, 1.313e-4
-0.2900, 1.231e-4, 1.338e-4
-0.2898, 1.228e-4, 1.363e-4
-0.2896, 1.224e-4, 1.387e-4
-0.2894, 1.222e-4, 1.411e-4
-0.2892, 1.218e-4, 1.436e-4
-0.2890, 1.214e-4, 1.460e-4
-0.2888, 1.212e-4, 1.484e-4
-0.2886, 1.209e-4, 1.509e-4
-0.2884, 1.206e-4, 1.533e-4
-0.2882, 1.203e-4, 1.557e-4
-0.2880, 1.200e-4, 1.581e-4
-0.2878, 1.196e-4, 1.605e-4
-0.2876, 1.194e-4, 1.628e-4
-0.2874, 1.191e-4, 1.652e-4
-0.2872, 1.188e-4, 1.676e-4
-0.2870, 1.185e-4, 1.700e-4
-0.2868, 1.183e-4, 1.723e-4
-0.2866, 1.179e-4, 1.747e-4
-0.2864, 1.176e-4, 1.771e-4
-0.2862, 1.173e-4, 1.794e-4
-0.2860, 1.170e-4, 1.817e-4
-0.2858, 1.168e-4, 1.841e-4
-0.2856, 1.165e-4, 1.864e-4
-0.2854, 1.162e-4, 1.887e-4
-0.2852, 1.159e-4, 1.910e-4
-0.2850, 1.156e-4, 1.934e-4
-0.2848, 1.154e-4, 1.957e-4
-0.2846, 1.151e-4, 1.980e-4
-0.2844, 1.149e-4, 2.003e-4
-0.2842, 1.146e-4, 2.026e-4
-0.2840, 1.143e-4, 2.048e-4
-0.2838, 1.141e-4, 2.071e-4
-0.2836, 1.139e-4, 2.094e-4
-0.2834, 1.136e-4, 2.117e-4
-0.2832, 1.134e-4, 2.139e-4
-0.2830, 1.131e-4, 2.162e-4
-0.2828, 1.129e-4, 2.185e-4
-0.2826, 1.126e-4, 2.207e-4
-0.2824, 1.124e-4, 2.230e-4
-0.2822, 1.122e-4, 2.252e-4
-0.2820, 1.120e-4, 2.274e-4
-0.2818, 1.117e-4, 2.297e-4
-0.2816, 1.114e-4, 2.319e-4
-0.2814, 1.112e-4, 2.341e-4
-0.2812, 1.111e-4, 2.364e-4
-0.2810, 1.108e-4, 2.386e-4
-0.2808, 1.105e-4, 2.408e-4
-0.2806, 1.103e-4, 2.430e-4
-0.2804, 1.102e-4, 2.452e-4
-0.2802, 1.099e-4, 2.474e-4
-0.2800, 1.097e-4, 2.496e-4
-0.2798, 1.094e-4, 2.518e-4
-0.2796, 1.092e-4, 2.540e-4
-0.2794, 1.090e-4, 2.561e-4
-0.2792, 1.089e-4, 2.583e-4
-0.2790, 1.087e-4, 2.605e-4
-0.2788, 1.084e-4, 2.627e-4
-0.2786, 1.082e-4, 2.648e-4
-0.2784, 1.080e-4, 2.670e-4
-0.2782, 1.078e-4, 2.691e-4
-0.2780, 1.076e-4, 2.713e-4
-0.2778, 1.074e-4, 2.734e-4
-0.2776, 1.073e-4, 2.756e-4
-0.2774, 1.070e-4, 2.777e-4
-0.2772, 1.069e-4, 2.799e-4
-0.2770, 1.066e-4, 2.820e-4
-0.2768, 1.064e-4, 2.841e-4
-0.2766, 1.062e-4, 2.862e-4
-0.2764, 1.061e-4, 2.884e-4
-0.2762, 1.058e-4, 2.905e-4
-0.2760, 1.057e-4, 2.926e-4
-0.2758, 1.055e-4, 2.947e-4
-0.2756, 1.054e-4, 2.968e-4
-0.2754, 1.051e-4, 2.989e-4
-0.2752, 1.050e-4, 3.010e-4
-0.2750, 1.047e-4, 3.031e-4
-0.2748, 1.046e-4, 3.052e-4
-0.2746, 1.044e-4, 3.073e-4
-0.2744, 1.043e-4, 3.094e-4
-0.2742, 1.040e-4, 3.115e-4
-0.2740, 1.039e-4, 3.135e-4
-0.2738, 1.037e-4, 3.156e-4
-0.2736, 1.036e-4, 3.177e-4
-0.2734, 1.033e-4, 3.197e-4
-0.2732, 1.032e-4, 3.218e-4
-0.2730, 1.030e-4, 3.239e-4
-0.2728, 1.029e-4, 3.259e-4
-0.2726, 1.026e-4, 3.280e-4
-0.2724, 1.026e-4, 3.300e-4
-0.2722, 1.023e-4, 3.321e-4
-0.2720, 1.022e-4, 3.341e-4
-0.2718, 1.020e-4, 3.362e-4
-0.2716, 1.019e-4, 3.382e-4
-0.2714, 1.017e-4, 3.402e-4
-0.2712, 1.015e-4, 3.423e-4
-0.2710, 1.014e-4, 3.443e-4
-0.2708, 1.012e-4, 3.463e-4
-0.2706, 1.009e-4, 3.483e-4
-0.2704, 1.008e-4, 3.504e-4
-0.2702, 1.006e-4, 3.524e-4
-0.2700, 1.004e-4, 3.544e-4
-0.2698, 1.003e-4, 3.564e-4
-0.2696, 1.002e-4, 3.584e-4
-0.2694, 9.999e-5, 3.604e-4
-0.2692, 9.987e-5, 3.624e-4
-0.2690, 9.974e-5, 3.644e-4
-0.2688, 9.957e-5, 3.664e-4
-0.2686, 9.947e-5, 3.684e-4
-0.2684, 9.939e-5, 3.703e-4
-0.2682, 9.921e-5, 3.723e-4
-0.2680, 9.905e-5, 3.743e-4
-0.2678, 9.887e-5, 3.763e-4
-0.2676, 9.872e-5, 3.783e-4
-0.2674, 9.856e-5, 3.802e-4
-0.2672, 9.843e-5, 3.822e-4
-0.2670, 9.821e-5, 3.842e-4
-0.2668, 9.806e-5, 3.861e-4
-0.2666, 9.789e-5, 3.881e-4
-0.2664, 9.768e-5, 3.900e-4
-0.2662, 9.765e-5, 3.920e-4
-0.2660, 9.760e-5, 3.939e-4
-0.2658, 9.743e-5, 3.959e-4
-0.2656, 9.730e-5, 3.978e-4
-0.2654, 9.711e-5, 3.998e-4
-0.2652, 9.700e-5, 4.017e-4
-0.2650, 9.685e-5, 4.037e-4
-0.2648, 9.675e-5, 4.056e-4
-0.2646, 9.661e-5, 4.075e-4
-0.2644, 9.648e-5, 4.095e-4
-0.2642, 9.629e-5, 4.114e-4
-0.2640, 9.625e-5, 4.133e-4
-0.2638, 9.604e-5, 4.152e-4
-0.2636, 9.585e-5, 4.171e-4
-0.2634, 9.580e-5, 4.191e-4
-0.2632, 9.569e-5, 4.210e-4
-0.2630, 9.556e-5, 4.229e-4
-0.2628, 9.541e-5, 4.248e-4
-0.2626, 9.522e-5, 4.267e-4
-0.2624, 9.515e-5, 4.286e-4
-0.2622, 9.503e-5, 4.305e-4
-0.2620, 9.492e-5, 4.324e-4
-0.2618, 9.475e-5, 4.343e-4
-0.2616, 9.470e-5, 4.362e-4
-0.2614, 9.456e-5, 4.381e-4
-0.2612, 9.444e-5, 4.400e-4
-0.2610, 9.427e-5, 4.419e-4
-0.2608, 9.423e-5, 4.437e-4
-0.2606, 9.401e-5, 4.456e-4
-0.2604, 9.388e-5, 4.475e-4
-0.2602, 9.375e-5, 4.494e-4
-0.2600, 9.365e-5, 4.512e-4
-0.2598, 9.354e-5, 4.531e-4
-0.2596, 9.349e-5, 4.550e-4
-0.2594, 9.333e-5, 4.568e-4
-0.2592, 9.312e-5, 4.587e-4
-0.2590, 9.302e-5, 4.606e-4
-0.2588, 9.291e-5, 4.624e-4
-0.2586, 9.271e-5, 4.643e-4
-0.2584, 9.262e-5, 4.661e-4
-0.2582, 9.246e-5, 4.680e-4
-0.2580, 9.249e-5, 4.698e-4
-0.2578, 9.223e-5, 4.717e-4
