Oct. 18, 2023   14:58:45
Cyclic Voltammetry
File: c:\users\pku\desktop\zzy�绯ѧ\cv mid o2.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.28
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 20
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.405V
ip = 1.111e-5A
Ah = 8.930e-6C

Segment 2:
Segment 3:
Ep = 0.386V
ip = 1.345e-5A
Ah = 9.642e-6C

Ep = -0.251V
ip = 1.170e-6A
Ah = 7.013e-7C

Segment 4:

Segment 5:
Ep = 0.388V
ip = 1.375e-5A
Ah = 9.690e-6C

Ep = -0.075V
ip = 9.860e-7A
Ah = 4.782e-7C

Segment 6:

Segment 7:
Ep = 0.388V
ip = 1.402e-5A
Ah = 9.944e-6C

Ep = -0.069V
ip = 1.035e-6A
Ah = 4.325e-7C

Segment 8:
Segment 9:

Segment 10:

Segment 11:

Segment 12:

Segment 13:

Segment 14:

Segment 15:

Segment 16:

Segment 17:

Segment 18:

Segment 19:

Segment 20:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, -3.419e-8, -3.419e-10
0.648, 2.807e-8, -6.127e-11
0.647, 5.332e-8, 4.719e-10
0.646, 9.180e-8, 1.390e-9
0.645, 1.053e-7, 2.443e-9
0.644, 1.375e-7, 3.818e-9
0.643, 1.475e-7, 5.293e-9
0.642, 1.528e-7, 6.821e-9
0.641, 1.725e-7, 8.546e-9
0.640, 1.923e-7, 1.047e-8
0.639, 1.971e-7, 1.244e-8
0.638, 2.076e-7, 1.452e-8
0.637, 2.240e-7, 1.676e-8
0.636, 2.402e-7, 1.916e-8
0.635, 2.449e-7, 2.161e-8
0.634, 2.474e-7, 2.408e-8
0.633, 2.519e-7, 2.660e-8
0.632, 2.695e-7, 2.930e-8
0.631, 2.827e-7, 3.212e-8
0.630, 2.919e-7, 3.504e-8
0.629, 2.941e-7, 3.798e-8
0.628, 2.944e-7, 4.093e-8
0.627, 2.967e-7, 4.390e-8
0.626, 3.047e-7, 4.694e-8
0.625, 3.229e-7, 5.017e-8
0.624, 3.347e-7, 5.352e-8
0.623, 3.403e-7, 5.692e-8
0.622, 3.427e-7, 6.035e-8
0.621, 3.433e-7, 6.378e-8
0.620, 3.457e-7, 6.724e-8
0.619, 3.545e-7, 7.078e-8
0.618, 3.679e-7, 7.446e-8
0.617, 3.797e-7, 7.826e-8
0.616, 3.898e-7, 8.216e-8
0.615, 3.917e-7, 8.607e-8
0.614, 3.922e-7, 9.000e-8
0.613, 3.999e-7, 9.400e-8
0.612, 4.188e-7, 9.818e-8
0.611, 4.331e-7, 1.025e-7
0.610, 4.396e-7, 1.069e-7
0.609, 4.410e-7, 1.113e-7
0.608, 4.447e-7, 1.158e-7
0.607, 4.520e-7, 1.203e-7
0.606, 4.725e-7, 1.250e-7
0.605, 4.839e-7, 1.299e-7
0.604, 4.889e-7, 1.347e-7
0.603, 4.911e-7, 1.397e-7
0.602, 4.999e-7, 1.446e-7
0.601, 5.149e-7, 1.498e-7
0.600, 5.336e-7, 1.551e-7
0.599, 5.379e-7, 1.605e-7
0.598, 5.392e-7, 1.659e-7
0.597, 5.456e-7, 1.714e-7
0.596, 5.666e-7, 1.770e-7
0.595, 5.822e-7, 1.829e-7
0.594, 5.877e-7, 1.887e-7
0.593, 5.942e-7, 1.947e-7
0.592, 6.187e-7, 2.009e-7
0.591, 6.330e-7, 2.072e-7
0.590, 6.380e-7, 2.136e-7
0.589, 6.469e-7, 2.200e-7
0.588, 6.738e-7, 2.268e-7
0.587, 6.844e-7, 2.336e-7
0.586, 6.884e-7, 2.405e-7
0.585, 7.044e-7, 2.475e-7
0.584, 7.301e-7, 2.548e-7
0.583, 7.339e-7, 2.622e-7
0.582, 7.426e-7, 2.696e-7
0.581, 7.699e-7, 2.773e-7
0.580, 7.832e-7, 2.851e-7
0.579, 7.995e-7, 2.931e-7
0.578, 8.252e-7, 3.014e-7
0.577, 8.327e-7, 3.097e-7
0.576, 8.526e-7, 3.182e-7
0.575, 8.785e-7, 3.270e-7
0.574, 8.834e-7, 3.359e-7
0.573, 9.121e-7, 3.450e-7
0.572, 9.287e-7, 3.543e-7
0.571, 9.383e-7, 3.637e-7
0.570, 9.730e-7, 3.734e-7
0.569, 9.839e-7, 3.832e-7
0.568, 1.021e-6, 3.934e-7
0.567, 1.032e-6, 4.037e-7
0.566, 1.069e-6, 4.144e-7
0.565, 1.078e-6, 4.252e-7
0.564, 1.112e-6, 4.363e-7
0.563, 1.126e-6, 4.476e-7
0.562, 1.158e-6, 4.592e-7
0.561, 1.179e-6, 4.710e-7
0.560, 1.218e-6, 4.831e-7
0.559, 1.230e-6, 4.954e-7
0.558, 1.269e-6, 5.081e-7
0.557, 1.294e-6, 5.211e-7
0.556, 1.320e-6, 5.343e-7
0.555, 1.357e-6, 5.478e-7
0.554, 1.385e-6, 5.617e-7
0.553, 1.419e-6, 5.759e-7
0.552, 1.463e-6, 5.905e-7
0.551, 1.509e-6, 6.056e-7
0.550, 1.533e-6, 6.209e-7
0.549, 1.567e-6, 6.366e-7
0.548, 1.613e-6, 6.527e-7
0.547, 1.658e-6, 6.693e-7
0.546, 1.686e-6, 6.862e-7
0.545, 1.717e-6, 7.033e-7
0.544, 1.761e-6, 7.209e-7
0.543, 1.808e-6, 7.390e-7
0.542, 1.854e-6, 7.576e-7
0.541, 1.893e-6, 7.765e-7
0.540, 1.936e-6, 7.959e-7
0.539, 1.982e-6, 8.157e-7
0.538, 2.029e-6, 8.360e-7
0.537, 2.073e-6, 8.567e-7
0.536, 2.121e-6, 8.779e-7
0.535, 2.172e-6, 8.996e-7
0.534, 2.225e-6, 9.219e-7
0.533, 2.277e-6, 9.446e-7
0.532, 2.327e-6, 9.679e-7
0.531, 2.387e-6, 9.918e-7
0.530, 2.440e-6, 1.016e-6
0.529, 2.494e-6, 1.041e-6
0.528, 2.555e-6, 1.067e-6
0.527, 2.614e-6, 1.093e-6
0.526, 2.676e-6, 1.120e-6
0.525, 2.738e-6, 1.147e-6
0.524, 2.802e-6, 1.175e-6
0.523, 2.870e-6, 1.204e-6
0.522, 2.934e-6, 1.233e-6
0.521, 3.009e-6, 1.263e-6
0.520, 3.074e-6, 1.294e-6
0.519, 3.147e-6, 1.325e-6
0.518, 3.221e-6, 1.358e-6
0.517, 3.291e-6, 1.390e-6
0.516, 3.373e-6, 1.424e-6
0.515, 3.447e-6, 1.459e-6
0.514, 3.521e-6, 1.494e-6
0.513, 3.603e-6, 1.530e-6
0.512, 3.689e-6, 1.567e-6
0.511, 3.777e-6, 1.605e-6
0.510, 3.858e-6, 1.643e-6
0.509, 3.943e-6, 1.683e-6
0.508, 4.032e-6, 1.723e-6
0.507, 4.125e-6, 1.764e-6
0.506, 4.212e-6, 1.806e-6
0.505, 4.306e-6, 1.849e-6
0.504, 4.400e-6, 1.893e-6
0.503, 4.495e-6, 1.938e-6
0.502, 4.609e-6, 1.984e-6
0.501, 4.712e-6, 2.031e-6
0.500, 4.812e-6, 2.080e-6
0.499, 4.914e-6, 2.129e-6
0.498, 5.015e-6, 2.179e-6
0.497, 5.122e-6, 2.230e-6
0.496, 5.229e-6, 2.282e-6
0.495, 5.340e-6, 2.336e-6
0.494, 5.448e-6, 2.390e-6
0.493, 5.557e-6, 2.446e-6
0.492, 5.669e-6, 2.503e-6
0.491, 5.784e-6, 2.560e-6
0.490, 5.894e-6, 2.619e-6
0.489, 6.011e-6, 2.679e-6
0.488, 6.143e-6, 2.741e-6
0.487, 6.263e-6, 2.803e-6
0.486, 6.378e-6, 2.867e-6
0.485, 6.503e-6, 2.932e-6
0.484, 6.617e-6, 2.998e-6
0.483, 6.743e-6, 3.066e-6
0.482, 6.862e-6, 3.134e-6
0.481, 6.986e-6, 3.204e-6
0.480, 7.110e-6, 3.275e-6
0.479, 7.234e-6, 3.348e-6
0.478, 7.358e-6, 3.421e-6
0.477, 7.488e-6, 3.496e-6
0.476, 7.605e-6, 3.572e-6
0.475, 7.757e-6, 3.650e-6
0.474, 7.883e-6, 3.729e-6
0.473, 8.010e-6, 3.809e-6
0.472, 8.133e-6, 3.890e-6
0.471, 8.263e-6, 3.973e-6
0.470, 8.385e-6, 4.057e-6
0.469, 8.517e-6, 4.142e-6
0.468, 8.641e-6, 4.228e-6
0.467, 8.766e-6, 4.316e-6
0.466, 8.891e-6, 4.405e-6
0.465, 9.015e-6, 4.495e-6
0.464, 9.137e-6, 4.586e-6
0.463, 9.265e-6, 4.679e-6
0.462, 9.386e-6, 4.773e-6
0.461, 9.508e-6, 4.868e-6
0.460, 9.637e-6, 4.964e-6
0.459, 9.753e-6, 5.062e-6
0.458, 9.870e-6, 5.160e-6
0.457, 9.988e-6, 5.260e-6
0.456, 1.010e-5, 5.361e-6
0.455, 1.022e-5, 5.464e-6
0.454, 1.033e-5, 5.567e-6
0.453, 1.044e-5, 5.671e-6
0.452, 1.055e-5, 5.777e-6
0.451, 1.066e-5, 5.883e-6
0.450, 1.076e-5, 5.991e-6
0.449, 1.089e-5, 6.100e-6
0.448, 1.099e-5, 6.210e-6
0.447, 1.109e-5, 6.321e-6
0.446, 1.119e-5, 6.433e-6
0.445, 1.129e-5, 6.545e-6
0.444, 1.137e-5, 6.659e-6
0.443, 1.147e-5, 6.774e-6
0.442, 1.156e-5, 6.889e-6
0.441, 1.165e-5, 7.006e-6
0.440, 1.173e-5, 7.123e-6
0.439, 1.181e-5, 7.241e-6
0.438, 1.189e-5, 7.360e-6
