Oct. 18, 2023   14:03:31
Cyclic Voltammetry
File: c:\users\pku\desktop\zzy�绯ѧ\cv01.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.28
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:

Segment 3:
Ep = 0.433V
ip = 1.647e-6A
Ah = 1.379e-6C

Segment 4:

Segment 5:
Ep = 0.435V
ip = 1.771e-6A
Ah = 1.467e-6C

Segment 6:

Segment 7:
Ep = 0.435V
ip = 1.841e-6A
Ah = 1.530e-6C

Segment 8:
Ep = 0.735V
ip = -1.064e-8A
Ah = -8.274e-9C

Segment 9:
Ep = 0.437V
ip = 1.883e-6A
Ah = 1.529e-6C

Segment 10:
Ep = 0.718V
ip = -2.697e-9A
Ah = -5.491e-9C

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 2.346e-8, 2.346e-10
0.648, 7.283e-8, 9.630e-10
0.647, 9.820e-8, 1.945e-9
0.646, 1.195e-7, 3.140e-9
0.645, 1.441e-7, 4.582e-9
0.644, 1.566e-7, 6.147e-9
0.643, 1.651e-7, 7.798e-9
0.642, 1.941e-7, 9.740e-9
0.641, 1.954e-7, 1.169e-8
0.640, 1.960e-7, 1.365e-8
0.639, 1.964e-7, 1.562e-8
0.638, 2.063e-7, 1.768e-8
0.637, 2.097e-7, 1.978e-8
0.636, 2.377e-7, 2.215e-8
0.635, 2.401e-7, 2.456e-8
0.634, 2.441e-7, 2.700e-8
0.633, 2.444e-7, 2.944e-8
0.632, 2.468e-7, 3.191e-8
0.631, 2.462e-7, 3.437e-8
0.630, 2.617e-7, 3.699e-8
0.629, 2.581e-7, 3.957e-8
0.628, 2.847e-7, 4.242e-8
0.627, 2.842e-7, 4.526e-8
0.626, 2.915e-7, 4.817e-8
0.625, 2.924e-7, 5.110e-8
0.624, 2.934e-7, 5.403e-8
0.623, 2.935e-7, 5.696e-8
0.622, 2.945e-7, 5.991e-8
0.621, 2.938e-7, 6.285e-8
0.620, 2.999e-7, 6.585e-8
0.619, 2.979e-7, 6.883e-8
0.618, 3.085e-7, 7.191e-8
0.617, 3.127e-7, 7.504e-8
0.616, 3.335e-7, 7.837e-8
0.615, 3.199e-7, 8.157e-8
0.614, 3.292e-7, 8.486e-8
0.613, 3.354e-7, 8.822e-8
0.612, 3.420e-7, 9.164e-8
0.611, 3.423e-7, 9.506e-8
0.610, 3.443e-7, 9.850e-8
0.609, 3.450e-7, 1.020e-7
0.608, 3.524e-7, 1.055e-7
0.607, 3.494e-7, 1.090e-7
0.606, 3.732e-7, 1.127e-7
0.605, 3.717e-7, 1.164e-7
0.604, 3.848e-7, 1.203e-7
0.603, 3.864e-7, 1.241e-7
0.602, 3.904e-7, 1.280e-7
0.601, 3.897e-7, 1.319e-7
0.600, 3.912e-7, 1.358e-7
0.599, 3.911e-7, 1.398e-7
0.598, 3.914e-7, 1.437e-7
0.597, 3.912e-7, 1.476e-7
0.596, 3.924e-7, 1.515e-7
0.595, 3.918e-7, 1.554e-7
0.594, 3.984e-7, 1.594e-7
0.593, 3.971e-7, 1.634e-7
0.592, 4.163e-7, 1.675e-7
0.591, 4.143e-7, 1.717e-7
0.590, 4.348e-7, 1.760e-7
0.589, 4.278e-7, 1.803e-7
0.588, 4.393e-7, 1.847e-7
0.587, 4.390e-7, 1.891e-7
0.586, 4.400e-7, 1.935e-7
0.585, 4.400e-7, 1.979e-7
0.584, 4.417e-7, 2.023e-7
0.583, 4.414e-7, 2.067e-7
0.582, 4.475e-7, 2.112e-7
0.581, 4.492e-7, 2.157e-7
0.580, 4.709e-7, 2.204e-7
0.579, 4.694e-7, 2.251e-7
0.578, 4.835e-7, 2.299e-7
0.577, 4.818e-7, 2.347e-7
0.576, 4.882e-7, 2.396e-7
0.575, 4.879e-7, 2.445e-7
0.574, 4.895e-7, 2.494e-7
0.573, 4.892e-7, 2.543e-7
0.572, 4.932e-7, 2.592e-7
0.571, 4.924e-7, 2.642e-7
0.570, 5.081e-7, 2.692e-7
0.569, 5.084e-7, 2.743e-7
0.568, 5.307e-7, 2.796e-7
0.567, 5.282e-7, 2.849e-7
0.566, 5.373e-7, 2.903e-7
0.565, 5.370e-7, 2.956e-7
0.564, 5.402e-7, 3.011e-7
0.563, 5.423e-7, 3.065e-7
0.562, 5.568e-7, 3.120e-7
0.561, 5.615e-7, 3.177e-7
0.560, 5.757e-7, 3.234e-7
0.559, 5.791e-7, 3.292e-7
0.558, 5.857e-7, 3.351e-7
0.557, 5.857e-7, 3.409e-7
0.556, 5.865e-7, 3.468e-7
0.555, 5.865e-7, 3.526e-7
0.554, 5.869e-7, 3.585e-7
0.553, 5.880e-7, 3.644e-7
0.552, 5.985e-7, 3.704e-7
0.551, 5.957e-7, 3.763e-7
0.550, 6.190e-7, 3.825e-7
0.549, 6.195e-7, 3.887e-7
0.548, 6.336e-7, 3.951e-7
0.547, 6.347e-7, 4.014e-7
0.546, 6.356e-7, 4.078e-7
0.545, 6.355e-7, 4.141e-7
0.544, 6.416e-7, 4.205e-7
0.543, 6.398e-7, 4.269e-7
0.542, 6.630e-7, 4.336e-7
0.541, 6.647e-7, 4.402e-7
0.540, 6.814e-7, 4.470e-7
0.539, 6.806e-7, 4.538e-7
0.538, 6.841e-7, 4.607e-7
0.537, 6.840e-7, 4.675e-7
0.536, 6.867e-7, 4.744e-7
0.535, 6.858e-7, 4.812e-7
0.534, 6.982e-7, 4.882e-7
0.533, 6.989e-7, 4.952e-7
0.532, 7.184e-7, 5.024e-7
0.531, 7.266e-7, 5.097e-7
0.530, 7.325e-7, 5.170e-7
0.529, 7.331e-7, 5.243e-7
0.528, 7.379e-7, 5.317e-7
0.527, 7.391e-7, 5.391e-7
0.526, 7.653e-7, 5.467e-7
0.525, 7.652e-7, 5.544e-7
0.524, 7.791e-7, 5.622e-7
0.523, 7.804e-7, 5.700e-7
0.522, 7.817e-7, 5.778e-7
0.521, 7.818e-7, 5.856e-7
0.520, 7.821e-7, 5.934e-7
0.519, 7.821e-7, 6.013e-7
0.518, 7.866e-7, 6.091e-7
0.517, 7.868e-7, 6.170e-7
0.516, 8.114e-7, 6.251e-7
0.515, 8.107e-7, 6.332e-7
0.514, 8.262e-7, 6.415e-7
0.513, 8.273e-7, 6.498e-7
0.512, 8.309e-7, 6.581e-7
0.511, 8.307e-7, 6.664e-7
0.510, 8.329e-7, 6.747e-7
0.509, 8.332e-7, 6.830e-7
0.508, 8.438e-7, 6.915e-7
0.507, 8.514e-7, 7.000e-7
0.506, 8.675e-7, 7.087e-7
0.505, 8.685e-7, 7.173e-7
0.504, 8.781e-7, 7.261e-7
0.503, 8.785e-7, 7.349e-7
0.502, 8.795e-7, 7.437e-7
0.501, 8.794e-7, 7.525e-7
0.500, 8.821e-7, 7.613e-7
0.499, 8.813e-7, 7.701e-7
0.498, 8.875e-7, 7.790e-7
0.497, 8.931e-7, 7.879e-7
0.496, 9.083e-7, 7.970e-7
0.495, 9.066e-7, 8.061e-7
0.494, 9.252e-7, 8.153e-7
0.493, 9.221e-7, 8.246e-7
0.492, 9.276e-7, 8.338e-7
0.491, 9.278e-7, 8.431e-7
0.490, 9.309e-7, 8.524e-7
0.489, 9.297e-7, 8.617e-7
0.488, 9.386e-7, 8.711e-7
0.487, 9.350e-7, 8.805e-7
0.486, 9.476e-7, 8.899e-7
0.485, 9.440e-7, 8.994e-7
0.484, 9.620e-7, 9.090e-7
0.483, 9.628e-7, 9.186e-7
0.482, 9.723e-7, 9.283e-7
0.481, 9.700e-7, 9.380e-7
0.480, 9.760e-7, 9.478e-7
0.479, 9.735e-7, 9.575e-7
0.478, 9.769e-7, 9.673e-7
0.477, 9.765e-7, 9.771e-7
0.476, 9.771e-7, 9.868e-7
0.475, 9.770e-7, 9.966e-7
0.474, 9.772e-7, 1.006e-6
0.473, 9.771e-7, 1.016e-6
0.472, 9.772e-7, 1.026e-6
0.471, 9.771e-7, 1.036e-6
0.470, 9.773e-7, 1.045e-6
0.469, 9.771e-7, 1.055e-6
0.468, 9.772e-7, 1.065e-6
0.467, 9.772e-7, 1.075e-6
0.466, 9.773e-7, 1.085e-6
0.465, 9.772e-7, 1.094e-6
0.464, 9.774e-7, 1.104e-6
0.463, 9.772e-7, 1.114e-6
0.462, 9.774e-7, 1.124e-6
0.461, 9.772e-7, 1.133e-6
0.460, 9.776e-7, 1.143e-6
0.459, 9.772e-7, 1.153e-6
0.458, 9.773e-7, 1.163e-6
0.457, 9.771e-7, 1.173e-6
0.456, 9.773e-7, 1.182e-6
0.455, 9.771e-7, 1.192e-6
0.454, 9.771e-7, 1.202e-6
0.453, 9.770e-7, 1.212e-6
0.452, 9.771e-7, 1.221e-6
0.451, 9.768e-7, 1.231e-6
0.450, 9.767e-7, 1.241e-6
0.449, 9.758e-7, 1.251e-6
0.448, 9.767e-7, 1.260e-6
0.447, 9.731e-7, 1.270e-6
0.446, 9.749e-7, 1.280e-6
0.445, 9.660e-7, 1.290e-6
0.444, 9.684e-7, 1.299e-6
0.443, 9.557e-7, 1.309e-6
0.442, 9.582e-7, 1.318e-6
0.441, 9.401e-7, 1.328e-6
0.440, 9.427e-7, 1.337e-6
0.439, 9.306e-7, 1.347e-6
0.438, 9.322e-7, 1.356e-6
0.437, 9.284e-7, 1.365e-6
0.436, 9.288e-7, 1.374e-6
0.435, 9.254e-7, 1.384e-6
0.434, 9.255e-7, 1.393e-6
0.433, 9.142e-7, 1.402e-6
