Nov. 23, 2023   12:21:13
Cyclic Voltammetry
File: c:\users\pku\desktop\wzc\blank5.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.5
Segment = 5
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = -0.090V
ip = 4.840e-6A
Ah = 5.556e-7C

Segment 2:

Segment 3:
Ep = 0.410V
ip = 6.354e-6A
Ah = 1.146e-6C

Ep = -0.160V
ip = 4.535e-6A
Ah = 1.095e-6C

Segment 4:
Ep = -0.080V
ip = -1.525e-6A
Ah = -9.536e-8C

Ep = 1.090V
ip = -9.908e-7A
Ah = -2.694e-7C

Segment 5:
Ep = 0.410V
ip = 6.412e-6A
Ah = 1.161e-6C

Ep = -0.250V
ip = 4.015e-6A
Ah = 4.239e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.640, 6.880e-7, 1.376e-8
0.630, 8.652e-7, 3.106e-8
0.620, 1.002e-6, 5.109e-8
0.610, 1.196e-6, 7.502e-8
0.600, 1.376e-6, 1.025e-7
0.590, 1.627e-6, 1.351e-7
0.580, 1.845e-6, 1.720e-7
0.570, 2.111e-6, 2.142e-7
0.560, 2.354e-6, 2.613e-7
0.550, 2.629e-6, 3.139e-7
0.540, 2.874e-6, 3.713e-7
0.530, 3.155e-6, 4.344e-7
0.520, 3.388e-6, 5.022e-7
0.510, 3.651e-6, 5.752e-7
0.500, 3.860e-6, 6.524e-7
0.490, 4.088e-6, 7.342e-7
0.480, 4.263e-6, 8.194e-7
0.470, 4.442e-6, 9.083e-7
0.460, 4.560e-6, 9.995e-7
0.450, 4.671e-6, 1.093e-6
0.440, 4.692e-6, 1.187e-6
0.430, 4.682e-6, 1.280e-6
0.420, 4.567e-6, 1.372e-6
0.410, 4.441e-6, 1.461e-6
0.400, 4.237e-6, 1.545e-6
0.390, 4.032e-6, 1.626e-6
0.380, 3.771e-6, 1.701e-6
0.370, 3.537e-6, 1.772e-6
0.360, 3.275e-6, 1.838e-6
0.350, 3.061e-6, 1.899e-6
0.340, 2.831e-6, 1.955e-6
0.330, 2.658e-6, 2.009e-6
0.320, 2.476e-6, 2.058e-6
0.310, 2.349e-6, 2.105e-6
0.300, 2.206e-6, 2.149e-6
0.290, 2.105e-6, 2.191e-6
0.280, 1.998e-6, 2.231e-6
0.270, 1.922e-6, 2.270e-6
0.260, 1.828e-6, 2.306e-6
0.250, 1.772e-6, 2.342e-6
0.240, 1.695e-6, 2.376e-6
0.230, 1.652e-6, 2.409e-6
0.220, 1.572e-6, 2.440e-6
0.210, 1.548e-6, 2.471e-6
0.200, 1.478e-6, 2.501e-6
0.190, 1.446e-6, 2.530e-6
0.180, 1.376e-6, 2.557e-6
0.170, 1.349e-6, 2.584e-6
0.160, 1.284e-6, 2.610e-6
0.150, 1.263e-6, 2.635e-6
0.140, 1.216e-6, 2.659e-6
0.130, 1.201e-6, 2.683e-6
0.120, 1.158e-6, 2.706e-6
0.110, 1.158e-6, 2.730e-6
0.100, 1.133e-6, 2.752e-6
0.090, 1.140e-6, 2.775e-6
0.080, 1.131e-6, 2.798e-6
0.070, 1.156e-6, 2.821e-6
0.060, 1.165e-6, 2.844e-6
0.050, 1.224e-6, 2.869e-6
0.040, 1.260e-6, 2.894e-6
0.030, 1.351e-6, 2.921e-6
0.020, 1.452e-6, 2.950e-6
0.010, 1.618e-6, 2.982e-6
0.000, 1.775e-6, 3.018e-6
-0.010, 2.026e-6, 3.058e-6
-0.020, 2.328e-6, 3.105e-6
-0.030, 2.788e-6, 3.161e-6
-0.040, 3.375e-6, 3.228e-6
-0.050, 4.153e-6, 3.311e-6
-0.060, 4.924e-6, 3.410e-6
-0.070, 5.585e-6, 3.521e-6
-0.080, 5.957e-6, 3.640e-6
-0.090, 6.109e-6, 3.763e-6
-0.100, 6.097e-6, 3.885e-6
-0.110, 6.013e-6, 4.005e-6
-0.120, 5.900e-6, 4.123e-6
-0.130, 5.840e-6, 4.240e-6
-0.140, 5.770e-6, 4.355e-6
-0.150, 5.813e-6, 4.471e-6
-0.160, 5.887e-6, 4.589e-6
-0.170, 6.125e-6, 4.712e-6
-0.180, 6.437e-6, 4.840e-6
-0.190, 6.916e-6, 4.979e-6
-0.200, 7.415e-6, 5.127e-6
-0.210, 8.080e-6, 5.289e-6
-0.220, 8.657e-6, 5.462e-6
-0.230, 9.176e-6, 5.645e-6
-0.240, 9.542e-6, 5.836e-6
-0.250, 9.810e-6, 6.032e-6
-0.260, 9.833e-6, 6.229e-6
-0.270, 9.710e-6, 6.423e-6
-0.280, 9.489e-6, 6.613e-6
-0.290, 9.390e-6, 6.801e-6
-0.300, 1.500e-6, 6.831e-6

Segment 2:
-0.290, -3.576e-6, 6.759e-6
-0.280, -4.704e-6, 6.665e-6
-0.270, -5.469e-6, 6.556e-6
-0.260, -6.071e-6, 6.434e-6
-0.250, -6.496e-6, 6.304e-6
-0.240, -6.740e-6, 6.170e-6
-0.230, -6.723e-6, 6.035e-6
-0.220, -6.573e-6, 5.904e-6
-0.210, -6.317e-6, 5.777e-6
-0.200, -6.124e-6, 5.655e-6
-0.190, -5.798e-6, 5.539e-6
-0.180, -5.423e-6, 5.430e-6
-0.170, -5.137e-6, 5.328e-6
-0.160, -4.990e-6, 5.228e-6
-0.150, -4.947e-6, 5.129e-6
-0.140, -5.001e-6, 5.029e-6
-0.130, -5.088e-6, 4.927e-6
-0.120, -5.272e-6, 4.822e-6
-0.110, -5.514e-6, 4.711e-6
-0.100, -5.838e-6, 4.595e-6
-0.090, -6.181e-6, 4.471e-6
-0.080, -6.518e-6, 4.341e-6
-0.070, -6.555e-6, 4.210e-6
-0.060, -6.079e-6, 4.088e-6
-0.050, -5.144e-6, 3.985e-6
-0.040, -4.086e-6, 3.903e-6
-0.030, -3.228e-6, 3.839e-6
-0.020, -2.656e-6, 3.786e-6
-0.010, -2.261e-6, 3.741e-6
-0.000, -1.987e-6, 3.701e-6
0.010, -1.767e-6, 3.665e-6
0.020, -1.583e-6, 3.634e-6
0.030, -1.430e-6, 3.605e-6
0.040, -1.320e-6, 3.579e-6
0.050, -1.226e-6, 3.554e-6
0.060, -1.159e-6, 3.531e-6
0.070, -1.100e-6, 3.509e-6
0.080, -1.066e-6, 3.488e-6
0.090, -1.027e-6, 3.467e-6
0.100, -1.010e-6, 3.447e-6
0.110, -9.811e-7, 3.427e-6
0.120, -9.743e-7, 3.408e-6
0.130, -9.484e-7, 3.389e-6
0.140, -9.426e-7, 3.370e-6
0.150, -9.241e-7, 3.352e-6
0.160, -9.160e-7, 3.333e-6
0.170, -8.946e-7, 3.315e-6
0.180, -8.914e-7, 3.298e-6
0.190, -8.695e-7, 3.280e-6
0.200, -8.583e-7, 3.263e-6
0.210, -8.365e-7, 3.246e-6
0.220, -8.352e-7, 3.230e-6
0.230, -8.193e-7, 3.213e-6
0.240, -8.091e-7, 3.197e-6
0.250, -7.878e-7, 3.181e-6
0.260, -7.874e-7, 3.166e-6
0.270, -7.720e-7, 3.150e-6
0.280, -7.714e-7, 3.135e-6
0.290, -7.587e-7, 3.119e-6
0.300, -7.614e-7, 3.104e-6
0.310, -7.532e-7, 3.089e-6
0.320, -7.630e-7, 3.074e-6
0.330, -7.614e-7, 3.059e-6
0.340, -7.750e-7, 3.043e-6
0.350, -7.799e-7, 3.028e-6
0.360, -8.078e-7, 3.011e-6
0.370, -8.229e-7, 2.995e-6
0.380, -8.547e-7, 2.978e-6
0.390, -8.809e-7, 2.960e-6
0.400, -9.267e-7, 2.942e-6
0.410, -9.751e-7, 2.922e-6
0.420, -1.032e-6, 2.902e-6
0.430, -1.100e-6, 2.880e-6
0.440, -1.181e-6, 2.856e-6
0.450, -1.272e-6, 2.831e-6
0.460, -1.404e-6, 2.802e-6
0.470, -1.545e-6, 2.772e-6
0.480, -1.774e-6, 2.736e-6
0.490, -2.058e-6, 2.695e-6
0.500, -2.457e-6, 2.646e-6
0.510, -2.947e-6, 2.587e-6
0.520, -3.486e-6, 2.517e-6
0.530, -3.975e-6, 2.438e-6
0.540, -4.372e-6, 2.350e-6
0.550, -4.650e-6, 2.257e-6
0.560, -4.895e-6, 2.159e-6
0.570, -5.052e-6, 2.058e-6
0.580, -5.217e-6, 1.954e-6
0.590, -5.357e-6, 1.847e-6
0.600, -5.505e-6, 1.737e-6
0.610, -5.604e-6, 1.625e-6
0.620, -5.733e-6, 1.510e-6
0.630, -5.820e-6, 1.394e-6
0.640, -5.916e-6, 1.275e-6
0.650, -5.980e-6, 1.156e-6
0.660, -6.057e-6, 1.034e-6
0.670, -6.101e-6, 9.125e-7
0.680, -6.144e-6, 7.896e-7
0.690, -6.164e-6, 6.663e-7
0.700, -6.185e-6, 5.426e-7
0.710, -6.196e-6, 4.187e-7
0.720, -6.225e-6, 2.942e-7
0.730, -6.224e-6, 1.697e-7
0.740, -6.229e-6, 4.510e-8
0.750, -6.223e-6, -7.936e-8
0.760, -6.224e-6, -2.038e-7
0.770, -6.217e-6, -3.282e-7
0.780, -6.217e-6, -4.525e-7
0.790, -6.206e-6, -5.766e-7
0.800, -6.216e-6, -7.010e-7
0.810, -6.218e-6, -8.253e-7
0.820, -6.238e-6, -9.501e-7
0.830, -6.260e-6, -1.075e-6
0.840, -6.297e-6, -1.201e-6
0.850, -6.340e-6, -1.328e-6
0.860, -6.403e-6, -1.456e-6
0.870, -6.461e-6, -1.585e-6
0.880, -6.531e-6, -1.716e-6
0.890, -6.587e-6, -1.848e-6
